"","x"
"1","SI_POV_EMP1 BOTHSEX                 15+"
"2","SI_POV_NAHC          ALLAREA"
"3","SI_COV_SOCAST                       Q1"
"4","SP_ACS_BSRVH2O          RURAL"
"5","SP_LGL_LNDDOC BOTHSEX"
"6","VC_DSR_PDLN"
"7","VC_DSR_AGLH"
"8","SG_DSR_LGRGSR"
"9","SG_DSR_SILN"
"10","DC_ODA_POVLG"
"11","SD_XPD_ESED"
"12","SI_HEI_TOTL                       B40"
"13","SL_EMP_GTOTL"
"14","SI_DST_FISP"
"15","FI_FSI_FSKNL              A"
"16","SG_INT_MBRDEV                         IBRD"
"17","SM_DTH_MIGR"
"18","SM_POP_REFG_OR"
"19","TM_TRF_ZERO             AGR"
"20","DC_TRF_TOTL"
"21","SI_RMT_COST"
"22","EN_LND_SLUM          URBAN"
"23","VC_DSR_PDLN"
"24","VC_DSR_AGLH"
"25","EN_REF_WASCOL"
"26","EN_ATM_PM25          ALLAREA"
"27","SD_CPA_UPRDP"
"28","SG_DSR_LGRGSR"
"29","SG_DSR_SILN"
"30","SG_SCP_CNTRY"
"31","EN_MAT_DOMCMPC             FEO"
"32","AG_FOOD_WST           HHS   A"
"33","SG_HAZ_CMRROTDAM"
"34","EN_MWT_COLLV              A"
"35","EN_SCP_FRMN                      ADVANCED"
"36","SE_GCEDESD_CUR"
"37","EG_EGY_RNEW"
"38","ST_EEV_STDACCT"
"39","ER_FFS_CMPT_PC"
"40","VC_DSR_PDLN"
"41","SG_DSR_LGRGSR"
"42","SG_DSR_SILN"
"43","SE_GCEDESD_CUR"
"44","EN_MAR_CHLANM                    High"
"45","ER_H2O_FWTL"
"46","ER_MRN_MARIN              A"
"47","ER_REG_UNFCIM              A"
"48","EN_SCP_FSHGDP"
"49","ER_REG_SSFRAR              A"
"50","AG_LND_FRST"
"51","ER_PTD_FRHWTR"
"52","AG_LND_FRSTCHG"
"53","AG_LND_DGRD"
"54","ER_PTD_MTN"
"55","ER_MTN_GRNCVI   3           A"
"56","ER_RSK_LST"
"57","ER_CBD_ORSPGRFA"
"58","ER_IAS_GLOFUN"
"59","ER_BDY_ABT2NP                 ABT2ACHIEVE"
"60","DC_ODA_BDVL"
"61","DC_ODA_BDVL"
"62","VC_SNS_WALN BOTHSEX"
"63","SG_INF_ACCSS"
"64","VC_HTF_DETV BOTHSEX                 ALLAGE"
"65","VC_PRS_UNSNT"
"66","IC_FRM_BRIB"
"67","GF_XPD_GBPC"
"68","SG_DMK_PARLCC_LC FEMALE   FAFF_DEF              <=45Y"
"69","SG_INT_MBRDEV                         IBRD"
"70","SG_REG_BRTH                  <5Y"
"71","SG_NHR_IMPLN"
"72","GR_G14_GDP              A"
"73","GC_GOB_TAXD              A"
"74","TM_TAX_WMFN             ARM"
"75","TM_TAX_DMFN             AGR"
"76","NE_CON_GOVT_KD_ZG"
"77","GF_COM_PPPI"
"78","SG_STT_FPOS"
"79","SG_STT_NSDSFDDNR"
"80","SG_STT_CAPTY"
"81","GF_FRN_FDI"
"82","BX_TRF_PWKR"
"83","DT_TDS_DECT"
"84","IT_NET_BBND      ANYS"
"85","IT_USE_ii99"
"86","DC_FTA_TOTAL"
"87","SN_ITK_DEFC"
"88","AG_PRD_FIESMS MALE                 15+"
"89","SH_STA_STNT                  <5Y"
"90","SH_STA_WAST                  <5Y"
"91","SH_STA_ANEM_NPRG FEMALE                 15-49"
"92","PD_AGR_LSFP BOTHSEX"
"93","SI_AGR_LSFP BOTHSEX"
"94","ER_GRF_ANIMRCNTN"
"95","ER_RSK_LBREDS"
"96","AG_XPD_AGSGB              A"
"97","DC_TOF_AGRL"
"98","AG_PRD_XSUBDY"
"99","AG_FPA_CFPI"
"100","SH_STA_MORT FEMALE"
"101","SH_STA_BRTC"
"102","SH_DYN_MORTN FEMALE                 <5Y"
"103","SH_DYN_NMRT BOTHSEX                 <1M"
"104","SH_TBS_INCD"
"105","SH_STA_MALR"
"106","SH_HAP_HBSAG                  <5Y"
"107","SH_TRP_INTVN"
"108","SH_DTH_NCD BOTHSEX               CAN"
"109","SH_STA_SCIDE MALE"
"110","SH_SUD_ALCOL BOTHSEX                 15+"
"111","SH_ALC_CONSPT BOTHSEX             A    15+"
"112","SH_STA_TRAF BOTHSEX"
"113","SH_FPL_MTMM FEMALE                 15-49"
"114","SP_DYN_ADKL FEMALE                 15-19"
"115","SH_ACS_UNHC"
"116","SH_XPD_EARN10"
"117","SH_AAP_ASMORT"
"118","SH_STA_WASH"
"119","SH_STA_POISN BOTHSEX"
"120","SH_PRV_SMOK BOTHSEX                 15+"
"121","SH_ACS_DTP3"
"122","DC_TOF_HLTHL"
"123","SH_MED_DEN               DENT"
