indicator,related_indicator,similarity_score
1.1.1,1.2.1,0.486674568
1.2.2,1.b.1,0.212233703
1.3.1,17.1.1,0.236192296
1.4.1,6.2.1,0.375773069
1.4.1,11.6.1,0.363538521
1.4.1,7.1.1,0.355650836
1.4.1,11.2.1,0.320497185
1.4.1,6.1.1,0.316122815
1.4.1,16.6.2,0.255926013
1.4.1,9.1.1,0.242405612
1.4.1,3.8.1,0.211099086
1.4.2,5.a.2,0.40087175
1.4.2,5.a.1,0.398295554
1.4.2,11.3.1,0.282534782
1.4.2,15.3.1,0.271801023
1.4.2,10.3.1,0.240469789
1.4.2,16.b.1,0.240469789
1.4.2,2.4.1,0.212691193
1.4.2,14.b.1,0.20336389
1.5.1,11.5.1,1
1.5.1,13.1.1,1
1.5.1,1.5.2,0.259314064
1.5.1,9.5.2,0.204273596
1.5.2,11.5.2,0.349193836
1.5.2,12.3.1,0.268633346
1.5.2,11.5.1,0.259314064
1.5.2,13.1.1,0.259314064
1.5.2,11.b.2,0.212874593
1.5.2,13.1.3,0.212874593
1.5.3,13.1.2,1
1.5.3,11.b.1,0.966543002
1.5.3,11.5.2,0.685002153
1.5.3,13.1.3,0.593744834
1.5.3,11.b.2,0.593744834
1.5.3,1.5.4,0.371146987
1.5.4,13.1.3,0.940707639
1.5.4,11.b.2,0.940707639
1.5.4,13.1.2,0.371146987
1.5.4,11.b.1,0.358729523
1.5.4,11.5.2,0.276539984
1.5.4,2.5.2,0.213612525
1.a.1,8.a.1,0.398648194
1.a.1,17.2.1,0.377150835
1.a.1,10.b.1,0.353305332
1.a.1,3.b.2,0.277510646
1.a.1,2.a.2,0.259448444
1.a.1,6.a.1,0.256277463
1.a.1,17.12.1,0.252013519
1.a.1,9.a.1,0.243067946
1.a.1,17.9.1,0.240744474
1.a.1,17.5.1,0.239756938
1.a.1,7.a.1,0.224148047
1.a.2,3.8.2,0.335622923
1.a.2,17.1.2,0.318262611
1.a.2,2.a.1,0.302088883
1.a.2,9.5.1,0.300102995
1.a.2,1.b.1,0.273514892
1.a.2,16.6.1,0.269823326
1.a.2,11.4.1,0.238336822
1.a.2,13.3.1,0.224601656
1.a.2,12.8.1,0.224601656
1.a.2,4.7.1,0.215254515
1.a.2,12.c.1,0.20499661
2.2.1,2.2.2,0.807852847
2.2.1,8.7.1,0.239074211
2.2.1,5.3.1,0.235903489
2.2.2,8.7.1,0.240586939
2.2.3,5.3.1,0.24849724
2.2.3,16.2.3,0.218749157
2.3.1,2.3.2,0.908630496
2.3.1,2.4.1,0.206511679
2.3.2,2.4.1,0.280302344
2.4.1,5.a.1,0.278303087
2.4.1,15.1.1,0.27660442
2.4.1,15.3.1,0.267904808
2.4.1,11.3.1,0.248691235
2.5.1,15.6.1,0.503495566
2.5.2,13.1.3,0.200941744
2.5.2,11.b.2,0.200941744
2.a.1,8.3.1,0.299225927
2.a.1,9.5.1,0.220390969
2.a.1,16.6.1,0.211169586
2.a.1,5.a.1,0.207113631
2.a.1,3.8.2,0.20284698
2.a.2,9.a.1,0.725228657
2.a.2,17.9.1,0.700403582
2.a.2,4.b.1,0.613606358
2.a.2,3.b.2,0.587555509
2.a.2,10.b.1,0.475843914
2.a.2,8.a.1,0.456687175
2.a.2,17.2.1,0.281884191
2.a.2,6.a.1,0.236076361
2.b.1,17.11.1,0.271958011
2.b.1,12.c.1,0.221707481
2.c.1,8.9.1,0.211131403
3.1.1,3.2.2,0.271040852
3.1.1,3.2.1,0.224979946
3.1.1,3.7.2,0.209226549
3.2.1,3.2.2,0.372690187
3.2.1,5.3.1,0.223883111
3.2.1,3.7.2,0.222748469
3.3.1,3.3.2,0.31303604
3.3.2,3.3.3,0.324278765
3.4.1,3.9.1,0.345481782
3.4.2,3.9.3,0.334157485
3.6.1,8.8.1,0.368635137
3.6.1,16.1.1,0.210632803
3.7.2,5.3.2,0.343648955
3.7.2,5.3.1,0.310550093
3.7.2,16.9.1,0.242408848
3.7.2,16.2.3,0.215644404
3.7.2,5.5.2,0.208770957
3.8.2,9.5.1,0.350232876
3.9.2,6.b.1,0.248907277
3.b.2,4.b.1,0.534039687
3.b.2,9.a.1,0.465308571
3.b.2,17.9.1,0.449380739
3.b.2,8.a.1,0.291637582
3.b.2,17.2.1,0.21324098
4.1.1,4.c.1,0.367717563
4.1.1,4.1.2,0.297716686
4.1.1,4.2.2,0.21924228
4.1.2,16.2.3,0.278300612
4.1.2,5.3.1,0.259836719
4.1.2,4.2.2,0.201854345
4.2.1,4.2.2,0.202474703
4.2.2,4.3.1,0.295345318
4.2.2,4.c.1,0.229546454
4.2.2,5.3.1,0.2260034
4.3.1,8.6.1,0.31622639
4.3.1,4.6.1,0.256261517
