"ID","Indicator","weighted_degree"
"SI_POV_DAY1","1.1.1",0
"SI_POV_NAHC          ALLAREA","1.2.1",0
"SI_POV_NAHC          RURAL","1.2.1",0
"SI_POV_NAHC          URBAN","1.2.1",0
"SD_MDP_ANDI BOTHSEX         ALLAREA        ALLAGE","1.2.2",0
"SD_MDP_ANDI BOTHSEX         RURAL        ALLAGE","1.2.2",0
"SD_MDP_ANDI BOTHSEX         URBAN        ALLAGE","1.2.2",0
"SD_MDP_MUHC BOTHSEX         ALLAREA        <6Y","1.2.2",0
"SD_MDP_MUHC BOTHSEX         ALLAREA        ALLAGE","1.2.2",0
"SD_MDP_MUHC BOTHSEX         RURAL        ALLAGE","1.2.2",0
"SD_MDP_MUHC BOTHSEX         URBAN        ALLAGE","1.2.2",0
"SI_COV_BENFTS BOTHSEX","1.3.1",-2
"SI_COV_CHLD BOTHSEX","1.3.1",0
"SI_COV_DISAB BOTHSEX","1.3.1",-0.15832918395956
"SI_COV_PENSN BOTHSEX","1.3.1",-0.158329183959561
"SI_COV_POOR BOTHSEX","1.3.1",-2
"SI_COV_UEMP BOTHSEX","1.3.1",0
"SI_COV_VULN BOTHSEX","1.3.1",-2
"SI_COV_WKINJRY BOTHSEX","1.3.1",0
"SP_ACS_BSRVH2O          ALLAREA","1.4.1",0.911607189519801
"SP_ACS_BSRVSAN          ALLAREA","1.4.1",0.911607189519801
"VC_DSR_DAFF","1.5.1",6.72174816940382
"VC_DSR_IJILN","1.5.1",6.72096068720523
"VC_DSR_MISS","1.5.1",-0.617348218494547
"VC_DSR_MMHN","1.5.1",6.87622438538395
"VC_DSR_MORT","1.5.1",6.83770607796462
"VC_DSR_MTMP","1.5.1",6.85201725904895
"VC_DSR_PDAN","1.5.1",6.7701536960222
"VC_DSR_PDLN","1.5.1",6.71773888658366
"VC_DSR_PDYN","1.5.1",6.61966190632654
"VC_DSR_AGLH","1.5.2",0.0264526194335505
"VC_DSR_CHLN","1.5.2",0
"VC_DSR_CILN","1.5.2",-1.7755157834892
"VC_DSR_DDPA","1.5.2",0
"VC_DSR_GDPLS","1.5.2",1.30583099539816
"VC_DSR_HOLH","1.5.2",-1.27903132428159
"VC_DSR_LSGP","1.5.2",1.37336345180298
"SG_DSR_LGRGSR","1.5.3",0
"SG_DSR_SILN","1.5.4",1.57528633972267
"SG_DSR_SILS","1.5.4",0.999999999976357
"SG_GOV_LOGV","1.5.4",0.575286339746312
"SD_XPD_ESED","1.a.2",0
"SI_POV_50MI                       B50","10.2.1",0
"SL_EMP_GTOTL","10.4.1",0
"SI_DST_FISP","10.4.2",0
"FI_FSI_FSANL              A","10.5.1",2.02863140540182
"FI_FSI_FSERA              A","10.5.1",-3.8981367592786
"FI_FSI_FSKA              A","10.5.1",1.83468377229852
"FI_FSI_FSKNL              A","10.5.1",2.23496333433844
"FI_FSI_FSKRTC              A","10.5.1",2.35114570527852
"FI_FSI_FSLS              A","10.5.1",0.588093340156637
"FI_FSI_FSSNO              A","10.5.1",1.60472656988254
"SM_DTH_MIGR","10.7.3",0
"SI_RMT_COST","10.c.1",0
"EN_LND_SLUM          URBAN","11.1.1",0
"VC_DSR_DAFF","11.5.1",6.72174816940382
"VC_DSR_IJILN","11.5.1",6.72096068720523
"VC_DSR_MISS","11.5.1",-0.617348218494547
"VC_DSR_MMHN","11.5.1",6.87622438538395
"VC_DSR_MORT","11.5.1",6.83770607796462
"VC_DSR_MTMP","11.5.1",6.85201725904895
"VC_DSR_PDAN","11.5.1",6.7701536960222
"VC_DSR_PDLN","11.5.1",6.71773888658366
"VC_DSR_PDYN","11.5.1",6.61966190632654
"VC_DSR_AGLH","11.5.2",2.77923035153828
"VC_DSR_BSDN","11.5.2",-2.3128836725553
"VC_DSR_CDAN","11.5.2",2.91326891110728
"VC_DSR_CDYN","11.5.2",4
"VC_DSR_CHLN","11.5.2",0
"VC_DSR_CILN","11.5.2",-0.63046710144547
"VC_DSR_DDPA","11.5.2",0
"VC_DSR_EFDN","11.5.2",1.22572405031908
"VC_DSR_ESDN","11.5.2",0.996754643528815
"VC_DSR_GDPLS","11.5.2",4.82286870166694
"VC_DSR_HFDN","11.5.2",2.36992863103067
"VC_DSR_HOLH","11.5.2",-0.421926571382388
"VC_DSR_HSDN","11.5.2",-0.692823958407096
"VC_DSR_LSGP","11.5.2",5.01241533408114
"VC_DSR_OBDN","11.5.2",-3.62359168997974
"EN_ATM_PM25          ALLAREA","11.6.2",0
"SD_CPA_UPRDP","11.a.1",0
"SG_DSR_LGRGSR","11.b.1",0
"SG_DSR_SILN","11.b.2",1.57528633972267
"SG_DSR_SILS","11.b.2",0.999999999976357
"SG_GOV_LOGV","11.b.2",0.575286339746312
"SG_SCP_CNTRY","12.1.1",0
"SG_SCP_POLINS       POLICY_MACRO","12.1.1",0
"SG_SCP_TOTLN","12.1.1",0
"EN_HAZ_EXP","12.4.2",-1.42546673135318
"EN_HAZ_GENGDP","12.4.2",2.59588666536378
"EN_HAZ_GENV              A","12.4.2",2.59608116182792
"EN_HAZ_IMP","12.4.2",2.19277915370448
"EN_HAZ_PCAP","12.4.2",2.60454431079685
"EN_HAZ_TRTDISR","12.4.2",-2.70923557357372
"EN_HAZ_TRTDISV              A","12.4.2",2.2882981666556
"SE_GCEDESD_CUR","12.8.1",0
"SE_GCEDESD_NEP","12.8.1",0
"SE_GCEDESD_SAS","12.8.1",0
"SE_GCEDESD_TED","12.8.1",0
"EG_EGY_RNEW","12.a.1",0
"ST_EEV_ACCSEEA","12.b.1",0
"ST_EEV_ACCTSA","12.b.1",0
"ST_EEV_STDACCT","12.b.1",0
"ER_FFS_CMPT","12.c.1",1.97745195232866
"ER_FFS_CMPT_GDP","12.c.1",1.97184818679494
"ER_FFS_CMPT_PC","12.c.1",1.98917808462996
"VC_DSR_DAFF","13.1.1",6.72174816940382
"VC_DSR_IJILN","13.1.1",6.72096068720523
"VC_DSR_MISS","13.1.1",-0.617348218494547
"VC_DSR_MMHN","13.1.1",6.87622438538395
"VC_DSR_MORT","13.1.1",6.83770607796462
"VC_DSR_MTMP","13.1.1",6.85201725904895
"VC_DSR_PDAN","13.1.1",6.7701536960222
"VC_DSR_PDLN","13.1.1",6.71773888658366
"VC_DSR_PDYN","13.1.1",6.61966190632654
"SG_DSR_LGRGSR","13.1.2",0
"SG_DSR_SILN","13.1.3",1.57528633972267
"SG_DSR_SILS","13.1.3",0.999999999976357
"SG_GOV_LOGV","13.1.3",0.575286339746312
"SE_GCEDESD_CUR","13.3.1",0
"SE_GCEDESD_NEP","13.3.1",0
"SE_GCEDESD_SAS","13.3.1",0
"SE_GCEDESD_TED","13.3.1",0
"EN_MAR_BEALITSQ","14.1.1",-0.545954081891157
"EN_MAR_CHLDEV","14.1.1",-0.545954081891157
"ER_H2O_FWTL","14.4.1",0
"ER_MRN_MARIN              A","14.5.1",0
"ER_MRN_MARINT              A","14.5.1",0
"EN_SCP_FSHGDP","14.7.1",0
"ER_REG_SSFRAR              A","14.b.1",0
"AG_LND_FRST","15.1.1",0.999999999897822
"AG_LND_FRSTN","15.1.1",0.999999999897822
"AG_LND_TOTL","15.1.1",0
"AG_LND_FRSTBIOPHA","15.2.1",0
"AG_LND_FRSTCERT","15.2.1",-0.204694470808343
"AG_LND_FRSTCHG","15.2.1",0
"AG_LND_FRSTMGT","15.2.1",0.457948639508125
"AG_LND_FRSTPRCT","15.2.1",-0.108529820433139
"AG_LND_DGRD","15.3.1",0
"ER_RSK_LST","15.5.1",0
"ER_CBD_ABSCLRHS","15.6.1",0
"ER_CBD_NAGOYA","15.6.1",0
"ER_CBD_ORSPGRFA","15.6.1",0.927991396935815
"ER_CBD_PTYPGRFA","15.6.1",0
"ER_CBD_SMTA","15.6.1",0.927991396935815
"ER_IAS_GLOFUN","15.8.1",0
"ER_IAS_LEGIS","15.8.1",0
"ER_IAS_NATBUD","15.8.1",0
"ER_IAS_NBSAP","15.8.1",0
"ER_BDY_ABT2NP                 ABT2INSUFNT","15.9.1",0
"ER_BDY_SEEA                 LS_DISSEM","15.9.1",0
"SG_INF_ACCSS","16.10.2",0
"VC_HTF_DETV BOTHSEX                 ALLAGE","16.2.2",1
"VC_HTF_DETVOP BOTHSEX                 ALLAGE","16.2.2",1
"VC_PRS_UNSNT","16.3.2",0
"IC_FRM_BRIB","16.5.2",0
"GF_XPD_GBPC","16.6.1",0
"SG_DMK_PARLMP_LC","16.7.1",0
"SG_DMK_PARLYN_LC                  <=45Y","16.7.1",0
"SG_DMK_PARLYP_LC                  <=45Y","16.7.1",0
"SG_DMK_PARLYR_LC                  <=45Y","16.7.1",0
"SG_REG_BRTH                  <5Y","16.9.1",0
"SG_NHR_IMPLN","16.a.1",0
"GR_G14_GDP              A","17.1.1",-0.10800629794521
"GR_G14_XDC              A","17.1.1",-0.10800629794521
"BN_CAB_XOKA_GD_ZS","17.13.1",-4.26762872987398
"BN_KLT_PTXL_CD","17.13.1",0.185831230965372
"BX_KLT_DINV_WD_GD_ZS","17.13.1",0.962708282682949
"DT_DOD_DECT_GN_ZS","17.13.1",0.359675739799032
"FB_BNK_CAPA_ZS","17.13.1",-1.00084857738794
"FI_RES_TOTL_MO","17.13.1",-3.83298291001681
"FM_LBL_BMNY_IR_ZS","17.13.1",0.500743998013298
"FM_LBL_BMNY_ZG","17.13.1",-2.94015373355069
"FP_CPI_TOTL_ZG","17.13.1",-0.069491350984199
"GC_TAX_TOTL_GD_ZS","17.13.1",1.06723272109275
"NE_CON_GOVT_KD_ZG","17.13.1",1.74537056195703
"NE_EXP_GNFS_KD_ZG","17.13.1",2.49770027839813
"NE_GDI_TOTL_KD_ZG","17.13.1",0.987610211892228
