"Indicator","mean_others","top","diff","cut_winner"
"1.5.4",0.393821584930667,0.787643169861335,0.393821584930668,1
"11.b.2",0.393821584930667,0.787643169861335,0.393821584930668,1
"13.1.3",0.393821584930667,0.787643169861335,0.393821584930668,1
"10.5.1",0.295617892426569,0.649689459879767,0.354071567453198,1
"15.1.1",0.249999999974455,0.499999999948911,0.249999999974455,1
"11.5.2",0.136680960627352,0.358029666720081,0.221348706092729,1
"1.3.1",0.0880950687330433,0.285714285714286,0.197619216981242,1
"1.5.2",0.110685510858786,0.2959192972482,0.185233786389414,1
"17.13.1",0.103418057936223,0.284508581991599,0.181090524055376,1
"6.6.1",0.118497211017886,0.296296296296296,0.17779908527841,1
"15.6.1",0.0579994623084884,0.231997849233954,0.173998386925465,1
"3.b.1",0.172941012686386,0.333333333333333,0.160392320646948,1
"1.5.1",0.7477708578289,0.859528048172994,0.111757190344094,1
"11.5.1",0.7477708578289,0.859528048172994,0.111757190344094,1
"13.1.1",0.7477708578289,0.859528048172994,0.111757190344094,1
"15.2.1",0.0195765182025926,0.114487159877031,0.0949106416744386,0
"12.4.2",0.380640449713939,0.451539262262287,0.0708988125483475,0
"2.a.1",0.856725290696688,0.920148518151865,0.0634232274551775,0
"2.1.2",0.964520075642843,0.981703096462387,0.0171830208195433,0
"12.c.1",0.9873250347809,0.99458904231498,0.00726400753408007,0
"3.2.1",0.999902063878918,0.999938792903387,3.672902446894e-05,0
"1.4.1",0.911607189519801,0.911607189519801,0,0
"12.b.1",0,0,0,0
"14.1.1",0.545954081891157,0.545954081891157,0,0
"15.8.1",0,0,0,0
"16.2.2",1,1,0,0
"17.1.1",0.10800629794521,0.10800629794521,0,0
"17.17.1",0.999897766609907,0.999897766609907,0,0
"17.18.3",0,0,0,0
"17.19.2",0,0,0,0
"2.1.1",0.134243312121129,0.134243312121129,0,0
"2.2.1",0,0,0,0
"2.2.2",0,0,0,0
"2.5.1",0,0,0,0
"3.2.2",0.998804772314091,0.998804772314091,0,0
"3.4.1",1,1,0,0
"3.4.2",1,1,0,0
"4.5.1",0.813073409204781,0.813073409204781,0,0
"5.1.1",0,0,0,0
"6.2.1",0.774596669241483,0.774596669241483,0,0
"6.4.2",0,0,0,0
"9.4.1",0.972799393092233,0.972799393092233,0,0
