Year,VC_DSR_MISS,VC_DSR_MORT,VC_DSR_MTMP,VC_DSR_MMHN,VC_DSR_DAFF,VC_DSR_IJILN,VC_DSR_PDAN,VC_DSR_PDYN,VC_DSR_PDLN
2012.0,38.0,282.0,0.13039,320.0,110.62352,1198.0,216870.0,53430.0,
2013.0,44.0,468.0,0.20577,512.0,181.65881,3410.0,359955.0,88635.0,
2014.0,72.0,532.0,0.23953,604.0,110.87352,2104.0,177085.0,100395.0,
2015.0,57.0,219.0,0.10799,276.0,50.09236,370.0,101575.0,26085.0,
2016.0,96.0,482.0,0.2236,578.0,93.48869,2675.0,193845.0,45145.0,
2017.0,69.0,309.0,0.14463,378.0,95.53922,1042.0,196395.0,52260.0,
2018.0,1445.0,3369.0,1.82237,4814.0,4200.03929,21083.0,848260.0,752565.0,9472983.0
2019.0,111.0,478.0,0.21971,589.0,39.78488,3421.0,57910.0,15813.0,29509.15
2020.0,,,,,,,,,
2021.0,,,,,,,,,
