Year,VC_DSR_GDPLS,VC_DSR_LSGP,VC_DSR_AGLH,VC_DSR_HOLH,VC_DSR_CILN,VC_DSR_CDAN,VC_DSR_HFDN,VC_DSR_EFDN,VC_DSR_CDYN,VC_DSR_BSDN,VC_DSR_ESDN,VC_DSR_HSDN,VC_DSR_OBDN
2012,247532401,0.004905,,247532400,1,772,117,655,,,,,
2013,6615000,0.000125,,6615000,,,,,,,,,
2014,119050800,0.002055,,119050800,,,,,,1,1,,
2015,89476419,0.001428,46815601.5,40840537.5,1820280,145,,35,110,2043,,,2043
2016,8659143,0.000132,,8083425,575718,78,,11,67,2824,22,1,2801
2017,153084727.5,0.002152,2613727.522,150471000,,,,,,43,6,33,4
2018,147355221,0.002053,96770720.99,50584500,,,,,,242,242,,
2019,34780815.53,0.000452,34183251.53,,597564,9,9,,,9,,9,
2020,920066206.5,0.011941,118073432.6,23102158.66,335575.1516,686,257,429,,13,,,13
2021,,,,,,,,,,,,,
