Year,EN_LKRV_PWAN,EN_LKRV_PWAP,EN_LKRV_SWAN,EN_LKRV_SWAP,EN_LKRV_PWAC,EN_LKRV_SWAC,EN_RSRV_MNWAN,EN_RSRV_MNWAP,EN_RSRV_MXWAN,EN_RSRV_MXWAP,EN_LKW_QLTRB,EN_LKW_QLTRST,EN_WBE_MANGN,EN_WBE_MANGBN,EN_WBE_MANGGN,EN_WBE_MANGGP,EN_WBE_MANGLN,EN_WBE_MANGLP,EN_WBE_MANGC
2012,1072.564,0.01001,242.618,0.00226,-0.14765,13.13183,5.948,6.00E-05,7.7,7.00E-05,,,,,,,,,
2013,1075.522,0.01004,254.914,0.00238,0.12773,18.86541,5.91,6.00E-05,7.73,7.00E-05,,,,,,,,,
2014,1068.644,0.00997,279.662,0.00261,-0.51259,30.4053,5.882,5.00E-05,7.742,7.00E-05,,,,,,,,,
2015,1072.502,0.01001,301.148,0.00281,-0.15342,40.42414,5.906,6.00E-05,7.81,7.00E-05,,,243.44,246.7,8.28,3.36,11.54,4.68,-1.32
2016,1072.776,0.01001,305.97,0.00286,-0.12792,42.67262,5.902,6.00E-05,7.842,7.00E-05,,,241.29,246.7,8.32,3.37,13.73,5.56,-2.19
2017,1070.254,0.00999,315.486,0.00294,-0.36271,47.1099,5.828,5.00E-05,7.832,7.00E-05,15.70583,0.54917,,,,,,,
2018,1071.942,0.01,328.426,0.00306,-0.20556,53.14377,5.886,5.00E-05,7.85,7.00E-05,13.17417,69.35083,,,,,,,
2019,1079.312,0.01007,310.366,0.0029,0.48057,44.72246,5.89,5.00E-05,7.844,7.00E-05,13.25182,5.85273,,,,,,,
2020,1076.414,0.01004,294.79,0.00275,0.21077,37.45943,5.758,5.00E-05,7.864,7.00E-05,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,
