,Year,SI_COV_POOR_new,SI_COV_CHLD_new,SI_COV_VULN_new,SI_COV_WKINJRY_new,SI_COV_BENFTS_new,SI_COV_DISAB_new,SI_COV_PENSN_new
0,2012,0.0,3.933333333333337,0.0,21.800000000000068,5.1857142857147664,3.188461538461553,12.053846153846052
1,2013,0.0,3.7666666666666515,0.0,21.40000000000009,6.414285714286052,3.084615384615404,12.938461538461297
2,2014,0.0,3.6000000000000227,0.0,21.000000000000114,7.642857142857338,2.980769230769255,13.82307692307677
3,2015,0.0,3.433333333333337,0.0,20.600000000000136,8.871428571429078,2.8769230769230774,14.707692307692241
4,2016,1.800000000000182,3.2666666666666515,0.40000000000009095,20.200000000000045,10.100000000000364,2.3,8.3
5,2017,3.7,3.1,2.0,19.8,10.3,3.3,26.2
6,2018,5.600000000000364,2.933333333333337,3.599999999999909,19.40000000000009,14.1,2.5653846153846303,17.361538461538203
7,2019,7.500000000000455,2.7666666666666515,5.199999999999818,19.000000000000114,13.785714285714675,2.461538461538481,18.246153846153675
8,2020,9.4,2.6,6.8,18.6,14.5,2.2,16.7
9,2021,11.300000000000182,2.433333333333337,8.400000000000091,18.200000000000045,16.2428571428577,2.2538461538461547,20.01538461538439
