,Year,VC_DSR_GDPLS_new,VC_DSR_LSGP_new,VC_DSR_AGLH_new,VC_DSR_HOLH_new,VC_DSR_CILN_new,VC_DSR_CDAN_new,VC_DSR_HFDN_new,VC_DSR_EFDN_new,VC_DSR_CDYN_new,VC_DSR_BSDN_new,VC_DSR_ESDN_new,VC_DSR_HSDN_new,VC_DSR_OBDN_new
0,2012,247532401.0,0.004905,0.0,247532400.0,1.0,772.0,117.0,655.0,239.0,1920.3571428571595,0.0,11.28571428571422,3660.964285714319
1,2013,6615000.0,0.000125,0.0,6615000.0,667226.1406213592,431.91262135922443,106.19298245613936,337.6259541984764,196.0,1684.1428571428987,0.0,11.85714285714289,3171.8214285714785
2,2014,119050800.0,0.002055,11687864.40689087,119050800.0,666814.814062136,404.291262135921,111.56140350877104,317.58015267175506,153.0,1.0,1.0,12.428571428571558,2682.678571428638
3,2015,89476419.0,0.001428,46815601.5,40840537.5,1820280.0,145.0,116.92982456140271,35.0,110.0,2043.0,7.714285714289872,13.0,2043.0
4,2016,8659143.0,0.000132,36952855.155052185,8083425.0,575718.0,78.0,122.29824561403439,11.0,67.0,2824.0,22.0,1.0,2801.0
5,2017,153084727.5,0.002152,2613727.522,150471000.0,665580.8343844662,321.42718446601793,127.66666666666606,257.4427480916056,24.0,43.0,6.0,33.0,4.0
6,2018,147355221.0,0.002053,96770720.99,50584500.0,665169.5078252428,293.80582524272177,133.03508771929774,237.39694656488427,0.0,242.0,242.0,14.71428571428578,726.1071428571595
7,2019,34780815.53,0.000452,34183251.53,33246492.462104797,597564.0,9.0,9.0,217.35114503817022,0.0,9.0,199.82857142857392,9.0,236.96428571431898
8,2020,920066206.5,0.011941,118073432.6,23102158.66,335575.1516,686.0,257.0,429.0,0.0,13.0,247.85714285714494,15.85714285714289,13.0
9,2021,433084233.094162,0.005291861111111018,100115332.02545929,5075538.279647827,663935.528147573,210.9417475728187,149.14035087719094,177.25954198473482,0.0,0.0,295.88571428571595,16.42857142857156,0.0
