,Year,SH_DYN_IMRTN_new,SH_DYN_MORT_new,SH_DYN_IMRT_new,SH_DYN_MORTN_new
0,2012.0,10761.0,31.9,26.5,12966.0
1,2013.0,10415.0,30.6,25.5,12493.0
2,2014.0,10100.0,29.4,24.6,12072.0
3,2015.0,9804.0,28.3,23.7,11681.0
4,2016.0,9527.0,27.2,22.9,11317.0
5,2017.0,9261.0,26.2,22.1,10970.0
6,2018.0,9022.0,25.4,21.4,10664.0
7,2019.0,8785.0,24.5,20.7,10364.0
8,2020.0,8445.571428571362,23.19642857142844,19.7071428571428,9903.60714285716
9,2021.0,8164.726190476213,22.142857142856883,18.880952380952294,9534.214285714319
