,Year,EN_LKRV_PWAN,EN_LKRV_PWAP,EN_LKRV_SWAN,EN_LKRV_SWAP,EN_LKRV_PWAC,EN_LKRV_SWAC,EN_RSRV_MNWAN,EN_RSRV_MNWAP,EN_RSRV_MXWAN,EN_RSRV_MXWAP,EN_LKW_QLTRB_new,EN_LKW_QLTRST_new,EN_WBE_MANGN_new,EN_WBE_MANGBN_new,EN_WBE_MANGGN_new,EN_WBE_MANGGP_new,EN_WBE_MANGLN_new,EN_WBE_MANGLP_new,EN_WBE_MANGC_new
0,2012,1072.564,0.01001,242.618,0.00226,-0.14765,13.13183,5.948,6e-05,7.7,7e-05,21.405970000000252,9.340229999999792,249.89000000000033,246.7,8.159999999999997,3.330000000000002,4.970000000000255,2.0399999999997362,1.2899999999997362
1,2013,1075.522,0.01004,254.914,0.00238,0.12773,18.86541,5.91,6e-05,7.73,7e-05,20.178965000000062,11.992009999999937,247.73999999999978,246.7,8.199999999999989,3.34,7.160000000000764,2.9199999999998454,0.4199999999998454
2,2014,1068.644,0.00997,279.662,0.00261,-0.51259,30.4053,5.882,5e-05,7.742,7e-05,18.951960000000327,14.643789999999171,245.59000000000015,246.7,8.239999999999995,3.3500000000000014,9.350000000000364,3.799999999999727,0.0
3,2015,1072.502,0.01001,301.148,0.00281,-0.15342,40.42414,5.906,6e-05,7.81,7e-05,17.724955000000136,17.295569999999316,243.44,246.7,8.28,3.36,11.54,4.68,-1.32
4,2016,1072.776,0.01001,305.97,0.00286,-0.12792,42.67262,5.902,6e-05,7.842,7e-05,16.4979500000004,19.94734999999946,241.29,246.7,8.32,3.37,13.73,5.56,-2.19
5,2017,1070.254,0.00999,315.486,0.00294,-0.36271,47.1099,5.828,5e-05,7.832,7e-05,15.70583,0.54917,239.14000000000033,246.7,8.36,3.3800000000000026,15.920000000000073,6.439999999999827,0.0
6,2018,1071.942,0.01,328.426,0.00306,-0.20556,53.14377,5.886,5e-05,7.85,7e-05,13.17417,69.35083,236.98999999999978,246.7,8.399999999999991,3.3900000000000006,18.110000000000582,7.319999999999709,0.0
7,2019,1079.312,0.01007,310.366,0.0029,0.48057,44.72246,5.89,5e-05,7.844,7e-05,13.25182,5.85273,234.84000000000015,246.7,8.439999999999998,3.400000000000002,20.300000000000182,8.199999999999818,0.0
8,2020,1076.414,0.01004,294.79,0.00275,0.21077,37.45943,5.758,5e-05,7.864,7e-05,11.589930000000095,30.554469999999128,232.6899999999996,246.7,8.480000000000004,3.4100000000000037,22.49000000000069,9.0799999999997,0.0
9,2021,,,,,,,,,,,10.36292500000036,33.20624999999927,230.53999999999996,246.7,8.519999999999996,3.4200000000000017,24.68000000000029,9.959999999999809,0.0
