,Year,VC_DSR_MISS_new,VC_DSR_MORT_new,VC_DSR_MTMP_new,VC_DSR_MMHN_new,VC_DSR_DAFF_new,VC_DSR_IJILN_new,VC_DSR_PDAN_new,VC_DSR_PDYN_new,VC_DSR_PDLN_new
0,2012.0,38.0,282.0,0.13039,320.0,110.62352,1198.0,216870.0,53430.0,66133826.099998474
1,2013.0,44.0,468.0,0.20577,512.0,181.65881,3410.0,359955.0,88635.0,56690352.25
2,2014.0,72.0,532.0,0.23953,604.0,110.87352,2104.0,177085.0,100395.0,47246878.400001526
3,2015.0,57.0,219.0,0.10799,276.0,50.09236,370.0,101575.0,26085.0,37803404.54999924
4,2016.0,96.0,482.0,0.2236,578.0,93.48869,2675.0,193845.0,45145.0,28359930.700000763
5,2017.0,69.0,309.0,0.14463,378.0,95.53922,1042.0,196395.0,52260.0,18916456.849998474
6,2018.0,1445.0,3369.0,1.82237,4814.0,4200.03929,21083.0,848260.0,752565.0,9472983.0
7,2019.0,111.0,478.0,0.21971,589.0,39.78488,3421.0,57910.0,15813.0,29509.15
8,2020.0,645.75,1596.1785714285797,0.8442032142857272,2241.9285714285215,1659.9103228571475,9933.142857142724,348219.28571429104,298808.10714286566,0.0
9,2021.0,735.583333333343,1780.3571428571595,0.945859761904785,2515.940476190415,1893.1653865476255,11159.869047618937,365826.4880952388,333700.7976190448,0.0
