,Year,FB_BNK_CAPA_ZS_new,FM_LBL_BMNY_ZG_new,FM_LBL_BMNY_IR_ZS_new,BN_CAB_XOKA_GD_ZS_new,NE_EXP_GNFS_KD_ZG_new,DT_DOD_DECT_GN_ZS_new,BX_KLT_DINV_WD_GD_ZS_new,NY_GDP_MKTP_KD_ZG_new,NE_CON_GOVT_KD_ZG_new,NE_GDI_TOTL_KD_ZG_new,NE_IMP_GNFS_KD_ZG_new,FP_CPI_TOTL_ZG_new,TG_VAL_TOTL_GD_ZS_new,BN_KLT_PTXL_CD_new,GC_TAX_TOTL_GD_ZS_new,FI_RES_TOTL_MO_new,DP_DOD_DLD2_CR_CG_Z1_new
0,2012.0,12.2371,14.955,3.1239,-2.6603,1.6087,28.3222,2.3098,6.0301,4.5267,10.9812,7.9984,4.2795,41.5879,-9908345747.7812,11.3806,5.5894,22.4465
1,2013.0,12.4665,12.7797,3.5877,-3.19,4.167,29.7818,2.5514,5.5573,6.7456,2.8468,1.8619,6.4125,40.4571,-10872605550.4642,11.2853,4.9503,23.6709
2,2014.0,12.7618,11.8795,3.1443,-3.0882,1.0746,33.9818,2.82,5.0067,1.1639,5.658,2.1197,6.3949,39.7919,-26066630211.5518,10.8355,5.7443,23.9137
3,2015.0,13.6059,8.997,3.2072,-2.035,-2.1202,36.9758,2.2976,4.8763,5.3125,3.0023,-6.249,6.3631,34.043,-16182680883.3028,10.7535,6.4462,26.2852
4,2016.0,14.4057,10.0285,3.2318,-1.8192,-1.6605,35.3577,0.4874,5.0331,-0.141,4.9858,-2.4051,3.5258,30.0622,-18995589856.8672,10.3363,7.2259,26.9875
5,2017.0,15.2177,8.2755,3.1102,-1.5947,8.8973,35.9518,2.0195,5.0698,2.1247,5.6902,8.0679,3.8088,32.0727,-21059012442.533,9.8773,7.0872,28.0676
6,2018.0,15.1153,6.2903,3.3531,-2.9391,6.5141,37.4983,1.8143,5.1743,4.8207,8.5239,12.136,3.1983,35.396,-9311908007.4585,10.2301,5.5956,29.2789
7,2019.0,15.6323,6.5365,3.3575,-2.7057,-0.8623,37.0342,2.2334,5.0182,3.264,2.3598,-7.3943,3.0306,30.2888,-21990288572.0419,9.752,6.3178,29.7107
8,2020.0,16.35053214285722,12.4418,3.4814,-0.4102,-7.7047,39.92679285714303,1.6149607142857008,-2.0695,1.9426,-6.8832,-14.7125,1.921,28.8096,-3367921566.9224,9.486610714285746,8.4177,38.6702
9,2021.0,16.88836428571426,6.8524527777778985,3.3769000000000062,0.0,0.0,41.1632023809525,1.5145797619047414,1.6201166666667177,1.9186833333333198,0.0,0.0,1.948788888888771,27.02489444444427,0.0,9.24889642857147,7.688208333333364,35.63071666666701
