,Year,SH_DYN_IMRTN_new,SH_DYN_MORT_new,SH_DYN_IMRT_new,SH_DYN_MORTN_new
0,2012.0,130247.0,31.3,26.0,156767.0
1,2013.0,125256.0,30.1,25.1,150331.0
2,2014.0,120213.0,28.9,24.2,143968.0
3,2015.0,115140.0,27.8,23.3,137566.0
4,2016.0,110330.0,26.7,22.5,131492.0
5,2017.0,105617.0,25.7,21.7,125557.0
6,2018.0,101219.0,24.8,20.9,120070.0
7,2019.0,97168.0,23.9,20.2,114994.0
8,2020.0,91702.1785714291,22.632142857142753,19.24285714285702,108038.3214285709
9,2021.0,86936.27380952425,21.5726190476189,18.41071428571422,102026.1428571418
