Year,EN_HAZ_GENV,EN_HAZ_PCAP,EN_HAZ_GENGDP,EN_HAZ_TRTDISR,EN_HAZ_TRTDISV,EN_HAZ_EXP,EN_HAZ_IMP
2012.0,14.11,0.00092,0.0,44825.65487,6324.8999,400.88699,6320.8999
2013.0,17247.63086,1.10591,0.0003,59.57966,10276.08008,0.0,8912.4502
2014.0,20363.63086,1.27886,0.00034,100.0,20363.63086,0.0,19000.0
2015.0,11414.62988,0.70233,0.00018,11.97157,1366.51001,58578.0,2.88
2016.0,4883.62988,0.29449000000000003,8e-05,100.0,4883.62988,0.0,3520.0
2017.0,15563.62988,0.92011,0.00024,79.43924,12363.62988,3000.0,11000.0
2018.0,,,,,,,
2019.0,,,,,,,
2020.0,,,,,,,
2021.0,,,,,,,
