Year,EN_WBE_HMWTL,EN_LKRV_PWAN,EN_LKRV_PWAP,EN_LKRV_SWAN,EN_LKRV_SWAP,EN_LKRV_PWAC,EN_LKRV_SWAC,EN_RSRV_MNWAN,EN_RSRV_MNWAP,EN_RSRV_MXWAN,EN_RSRV_MXWAP,EN_WBE_WTLN,EN_WBE_WTLP,EN_LKW_QLTRB,EN_LKW_QLTRST,EN_WBE_MANGN,EN_WBE_MANGBN,EN_WBE_MANGGN,EN_WBE_MANGGP,EN_WBE_MANGLN,EN_WBE_MANGLP,EN_WBE_MANGC
2012.0,,8381.565999999999,0.00463,7977.941999999999,0.0044,5.01152,3.69494,256.052,0.00014,384.036,0.00021,,,,,,,,,,,
2013.0,,8345.26,0.00461,7704.968000000002,0.00425,4.55665,0.1469,256.07,0.00014,385.838,0.00021,,,,,,,,,,,
2014.0,,8296.296,0.00458,8090.446,0.00447,3.94319,5.15723,257.63,0.00014,390.756,0.00022,,,,,,,,,,,
2015.0,,8216.014000000001,0.00454,8412.532,0.00464,2.9373400000000003,9.34361,259.068,0.00014,392.042,0.00022,,,,,26501.43,28239.78,278.91,0.99,2017.26,7.14,-6.16
2016.0,,7966.376,0.00424,9078.0,0.00484,-0.19034,17.99316,256.386,0.00014,397.134,0.00021,,,,,26508.1,28239.78,284.38,1.01,2016.06,7.14,-6.13
2017.0,,8042.226,0.00428,10255.462,0.00546,0.75998,33.297470000000004,260.116,0.00014,408.596,0.00022,194031.36,10.27,10.855,19.37833,,,,,,,
2018.0,,8193.862,0.00436,11314.268,0.00603,2.6598,47.05952,265.476,0.00014,420.79,0.00022,,,56.67583000000001,58.09,,,,,,,
2019.0,,8229.83,0.004379999999999999,11824.05,0.0063,3.11044,53.68551,265.926,0.00014,425.334,0.00023,,,56.71167,66.88667,,,,,,,
2020.0,,8266.08,0.0044,12083.35,0.00644,3.56461,57.05582,262.04200000000003,0.00014,430.464,0.00023,,,,,,,,,,,
2021.0,74639.48,,,,,,,,,,,,,,,,,,,,,
