Target,1.1,1.2,1.3,1.4,1.5,1.a,10.4,10.5,10.6,10.7,10.a,10.b,10.c,11.1,11.5,11.a,11.b,12.1,12.2,12.3,12.4,12.6,12.8,12.a,12.b,12.c,13.1,13.3,14.1,14.4,14.5,14.6,14.7,14.b,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.a,15.b,16.10,16.2,16.3,16.5,16.6,16.8,16.9,16.a,17.1,17.10,17.12,17.13,17.17,17.18,17.19,17.3,17.4,17.6,17.8,17.9,2.1,2.2,2.3,2.5,2.a,2.c,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.b,3.c,3.d,4.1,4.3,4.5,4.7,4.b,5.2,5.3,5.5,5.a,6.2,6.4,6.5,6.6,6.a,6.b,7.1,7.2,7.3,7.a,7.b,8.1,8.10,8.2,8.3,8.4,8.5,8.6,8.8,8.a,8.b,9.1,9.2,9.4,9.5,9.a,9.b,9.c
1.1,1.0,,,-0.9193397975178572,-0.4966551552312988,-0.09302129297051005,0.7840303081504919,-0.7127171486340799,0.7071067811865475,-0.6245592137682247,0.9615538025083626,-0.002669364751806301,-0.9990867578003672,0.9754172691319667,,,-0.8216267645731931,,-0.7900197676187443,,,,,-0.9396526791749061,,-0.9440464448122474,-0.4966551552312988,,,,,,0.9851835083503412,,0.9486832980505158,,,-0.9451201658186278,0.9677664096406582,,,0.15467727124169434,0.15467727124169434,,-0.8686766065846853,-1.0,,0.012997787816148645,0.7071067811865475,,,0.15390560115269522,0.426220188909195,0.5410986980982186,0.46159207304573835,0.6471310486133127,,,0.6290346312712181,0.1931426310848582,-0.9821165655906916,-0.9352202744269443,0.08038941002972329,0.6577643884911122,,,,0.8801316339594113,-0.054728268302045864,0.9812521235184233,0.9741600620094105,0.6161220105418089,,,,,1.0,,0.5032364681487991,-1.0,0.0890988366974389,,0.8658866141183594,1.0,,0.8871263484384385,,,,,,-0.9655664816664299,,1.0,-0.5342598222697507,,-0.8024253366960761,0.8883491024964125,-0.7133520322113543,0.626440445694545,-0.9396526791749061,0.06081999186181981,-0.9644695330486212,-0.10605310731984299,0.424926531218014,-0.7900197676187443,-0.8020565799219693,-0.7724797970204899,0.6757659502004502,0.9100135386996177,,-0.9591975709073435,0.7629176924916611,-0.9437689520412054,0.8878705620401388,-0.1854562467688028,1.395293266718711e-16,-0.9369697990666286
1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,-0.9193397975178572,,,1.0,0.46561731352566516,-0.19888610991463188,-0.7054756215026596,0.3539096620866701,-0.7462025072446363,0.441004868587238,-0.9801165197701202,-0.40991371664476023,-0.4490981096318139,-0.8660254037844387,0.9980773211454136,,0.5187911924194145,,0.6353040168954092,,1.0,,,0.8841939451097599,,0.9352573049777139,0.46561731352566516,,-0.9647345840854233,,,,-0.9829051122514745,1.0,-0.9710070697249307,,,0.8124220936144742,-0.9786750359168853,0.9128709291752768,,-0.3788995039501945,-0.3788995039501945,,0.8602840504164848,1.0,,-0.39657658657445966,-0.7462025072446363,,,-0.10908328350189131,0.20736414168596887,0.6759977619968963,-0.26315456964994144,0.4436938320205291,,,-0.848935189835826,-0.18890645877028553,0.9354587436620798,0.9478181017032338,-0.0389568516751183,-0.639914861678084,,,,-0.7971544775552156,-0.5020448600700198,-0.9654086022835962,-0.9577933898781783,-0.9140066262099442,1.0,,0.9999999999999999,,-1.0,,-0.07096687036291512,1.0,-0.38261745389019003,,-0.9493906133501734,,,-0.7489287199466275,,,1.0,,,0.8617315542080657,-1.0,-0.997282039668054,0.7963941335433878,,0.883122336659573,-0.7380554390600121,0.7375660517482926,-0.36849257143520525,0.8841939451097599,0.046544038388758605,0.7539996984901887,-0.04007986721382146,-0.18789561844264355,0.6353040168954092,0.6806602525555326,0.6359458791693099,-0.67576595020045,-0.6334431962365326,,0.9352522196371262,-0.9320509678366322,0.7914417445796258,-0.766176282425133,0.36010790719038943,5.912072924288081e-15,0.9571275736955179
1.5,-0.4966551552312988,,,0.46561731352566516,1.0,0.18509796063907674,-0.26742050191979433,0.34656093514244973,-0.11725779302204567,0.05137429454059934,0.2162306597905979,-0.1842693576931036,0.3177250834039541,-0.5000158306611733,1.0,,-0.23720494659987174,,0.2759412997167676,,1.0,,,0.4769957113997283,,-0.11829319503627765,1.0,,-0.256456423970344,,,,-0.7591672321992016,1.0,-0.30056883951656194,,,0.413217231037145,-0.5688215920924179,0.08932242136175186,,-0.35414660912751766,-0.35414660912751766,,0.8336787503074298,1.0,,-0.7065741141088641,-0.11725779302204567,,,0.03189510080012916,-0.009106363324063008,-0.21880761083153394,-0.5806931164185457,0.660802664260068,,,-0.05285004525520275,0.25947558865282716,0.7056884649336758,0.8706982173105822,-0.2952397593388481,-0.5327030563809436,,,,-0.2682057730778307,-0.004226253083122295,-0.809114360631115,-0.2949314840216184,-0.20031744898521556,1.0,,1.0,,-1.0,,-0.13486915789831722,-0.9999999999999999,-0.7464573154831254,,-0.9513573346625003,-1.0,,-0.55157240753552,,,1.0,,,0.45231330545199455,-1.0,0.8991021500300511,0.0057736678329245285,,0.30979551327163896,-0.4123737827989772,0.7549943924598003,-0.27071017687243254,0.4769957113997283,-0.6143235360759309,0.5494846961360165,-0.1263034137223323,-0.018450369086519564,0.2759412997167676,0.4814663896876706,0.4870550265172201,-0.205765023467207,-0.596438550723245,,0.29043783310229176,-0.02388305312103043,0.572080691226989,-0.5593933089529486,-0.43640799098038835,0.0,0.9567521725862884
1.a,-0.09302129297051005,,,-0.19888610991463188,0.18509796063907674,1.0,0.4386897313043746,0.3392925228923852,-0.3580574370197165,-0.25759852612848916,0.42878892749877295,0.17390857661823803,0.9371622390223179,-0.49999999999999994,1.0,,-0.517448361904798,,-0.5022974982619177,,,,,0.06682996857870821,,-0.02527433924608231,0.18509796063907674,,0.9999999999999999,,,,-0.8932809698540037,,0.12401983866650676,,,-0.10276236585072723,0.1286641218113116,-0.6793662204867577,,-0.8091860266369194,-0.8091860266369194,,-0.3424338065146125,1.0,,0.23122887089256886,-0.3580574370197165,,,-0.3312984104241283,-0.978479374560779,-0.5170452629271213,0.4031245193195311,-0.34432537646901196,,,-0.11688457702371575,-0.17962664836697523,-0.13798920703496814,0.19015217658917666,0.5553976726628999,-0.45231994245788776,,,,0.12177573935430444,-0.1505462963679137,-0.021665874271866236,0.0966310927012926,-0.02531968844531925,-1.0,,-1.0,,-1.0,,0.40723023612348397,-1.0,-0.29716357701692586,,-0.22734771028616182,-1.0000000000000002,,-0.01152168549700475,,,-1.0,,,-0.05703846210401241,,0.9042538433155779,0.28207057699749205,,0.02753390825711539,0.048884771810278935,0.08772537481027588,0.12788558421208276,0.06682996857870821,-0.48686118874997486,-0.13067995405867142,-0.3692377275395214,0.3927820574873794,-0.5022974982619177,-0.3708552032346104,-0.3858932560834558,-0.8812983903088419,-0.05009357536000105,,-0.17486090157816578,0.31841305087613103,-0.06108623160441028,0.315612815134091,0.1611307791036767,-1.0401841735117342e-16,0.4508888043105869
10.4,0.7840303081504919,,,-0.7054756215026596,-0.26742050191979433,0.4386897313043746,1.0,-0.24035742719353126,-0.9819805060619651,-0.047565149415450314,-0.6773934794127024,0.12210195215039614,1.0,-1.0000000000000002,1.0,,-0.3018864501143134,,-0.8770302882635986,,,,,-0.5334452928088206,,0.9011857456751564,-0.26742050191979433,,,,,,0.7657797584596373,,-0.9449111825230626,,,-0.8862192453395572,0.6278171203991354,,,-0.20046774478038198,-0.20046774478038198,,-0.6551463212762653,,,0.26281638255979173,-0.9819805060619651,,,-0.2206424210293255,-0.7557522170050265,0.49322106669093957,0.6847073389395585,0.1733048959295232,,,-0.07046668567199423,0.4034452839370444,-0.8109397387563083,-0.5677974728737034,0.9240473764113085,0.05295205657922718,,,,0.49064078018971535,-0.5681403966614006,0.7059652246978422,0.6800519197119499,0.11245341337370134,,,,,-1.0,,0.9174235347384493,,-0.28652995645497203,,0.8645217171352961,-1.0,,0.6635285741451585,,,,,,-0.9068249633362183,,,0.17811518681463046,,-0.17753895725205238,0.7215690332540182,-0.3134303283141925,0.40559258180221586,-0.5334452928088206,-0.44276581109220614,-0.7775409647354934,-0.05147285909810089,0.8517914615844867,-0.8770302882635986,-0.6817501196411548,-0.59675445658604,-0.997948715788673,0.8289890622863966,,-0.7046070477932455,0.8024881477887781,-0.7744157672084366,0.8827969366004074,0.6430717482091156,1.7053571381258303e-15,0.8311717350807961
10.5,-0.7127171486340799,,,0.3539096620866701,0.34656093514244973,0.3392925228923852,-0.24035742719353126,1.0,-0.2122478293901485,0.29905859282231234,-0.19604647313128354,-0.385678260124975,0.4713892989938417,-0.9965358060524414,-0.9471537168205182,,0.044320495261284745,,0.23691678072840783,,1.0,,,0.8189100225732653,,0.472238364620314,0.34656093514244973,,0.7000772040002049,,,,-0.7522467885258276,-1.0,0.13713361508397268,,,0.4997028886452818,-0.40164724461674023,-0.894332655055892,,-0.5834409818801003,-0.5834409818801003,,0.7373739007833803,1.0,,0.3479181801531562,-0.2122478293901485,,,0.0072570977750755945,-0.35979497274043776,0.0005544042699241674,-0.2694392027769477,-0.35098962575727377,,,-0.5298040888812512,-0.0034694914709722377,0.679784692344651,0.8638458064786679,0.11420809446181988,-0.8795557552535118,,,,-0.518768465554043,-0.4431207100192985,-0.7878746701538449,-0.6798515024001288,-0.6812307397789222,1.0,,1.0,,-1.0,,0.04312091894011142,-0.9999999999999999,-0.7459171828280532,,-0.9642778002528567,1.0,,-0.8375651540837885,,,-1.0,,,0.6205513217573928,1.0,0.9975246876199045,0.586061120122265,,0.6645964113060505,-0.48439896467352644,0.806764556542169,-0.2640970186929968,0.8189100225732653,-0.5672458198354561,0.714455358399213,-0.1833852539765215,-0.052729066070704086,0.23691678072840783,0.4441714487332231,0.43103372214348223,-0.7478470448222779,-0.7414691451784633,,0.6533744052124913,-0.4601893305773772,0.6194673896425932,-0.5893030861214151,0.10480995898951437,3.474752768209649e-16,0.9038690575691489
10.6,0.7071067811865475,,,-0.7462025072446363,-0.11725779302204567,-0.3580574370197165,-0.9819805060619651,-0.2122478293901485,1.0,0.20701966780270625,0.6793105288788978,0.5824053844149581,-0.0370074361578138,,-0.5527158974743578,,-0.3188341605864715,,0.8559014858073849,,-1.0,,,-0.7082581920525174,,-0.8846846314465527,-0.11725779302204567,,,,,,0.9999999999999998,,0.8280834067470353,,,-0.9999155835712087,0.7776731109570421,-0.408248290463863,,0.9239612774588931,0.9239612774588931,,1.0,-1.0,,0.129618458415034,1.0,,,-0.3457081297216498,0.46830293226431113,-0.4029169282840434,-0.7038084628146463,-0.3099592504139657,,,0.7512550390959664,-0.06320418099269462,-0.7191322446365106,-0.877674485527442,-0.46863445237241846,0.5263166562644538,,,,-0.025796968518378892,0.8278229997878201,0.7857142857142857,0.879400270928389,0.8671501160606666,-1.0,,-0.9999999999999999,,1.0,,-0.8411910241920599,,0.38124642583151164,,1.0,,,0.21516574145596754,,,,,,-0.60923365318389,,,-0.9429583138131656,,-0.816496580927726,-0.8713416654196134,0.13333333333333347,0.06734198593251427,-0.7082581920525174,-0.058459476860174144,-0.32063338209549025,0.09056324361218603,-0.5618006477335928,0.8559014858073849,-0.755928946018453,-0.49999999999999994,0.9822239654235128,0.08890388256837743,,-0.48939439389946904,0.7657252216271963,0.8446910084023529,-0.4448585140945457,-0.5365913081168303,,-0.5
10.7,-0.6245592137682247,,,0.441004868587238,0.05137429454059934,-0.25759852612848916,-0.047565149415450314,0.29905859282231234,0.20701966780270625,1.0,-0.3372022517910076,-0.13460320311153995,-0.07094432652673423,-0.9819805060619657,-0.17605933402475094,,0.19525023891794097,,-0.23610519939615943,,1.0,,,0.6354259177278743,,0.2532512023302248,0.05137429454059934,,0.7038723651123726,,,,1.0,-1.0,-0.0857160956131923,,,0.09047155174571696,-0.3976151380253349,-0.14237369936287486,,-0.07802924793156135,-0.07802924793156135,,0.961176370510635,1.0,,0.1359082794449386,0.20701966780270625,,,-0.17044958002341304,0.4852172180612032,0.19624257075911403,-0.22167232975631498,-0.08572270088686443,,,-0.6000300228969287,-0.11362057987016326,0.3423373370825629,0.1924137769508824,0.3644078985960845,-0.585569369509433,,,,-0.6852019454597197,-0.39420715030046416,-0.3029727202242298,-0.48171667812292923,-0.40557157897373103,1.0,,1.0,,1.0,,0.5638760540930623,1.0,-0.5354398333291546,,1.0,-1.0,,-0.7400495643294668,,,-1.0,,,0.69999371501169,-1.0,-0.7697050977003134,0.3038515021488517,,0.5457807031938432,-0.6730625614957613,0.7965714733692676,0.17364269506909882,0.6354259177278743,-0.5591071380545235,0.3943938491785564,-0.3651739988148712,0.32798090359136656,-0.23610519939615943,0.10846522890933116,0.4976191547007877,0.26397828212340385,-0.017802069850492496,,0.8083632906508503,-0.26984576720121217,0.6530383973614082,-0.7212221775603225,0.47101729503827133,,0.5139525009972132
