Target,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.b,3.c,3.d
3.1,1.0,0.9984314631392196,0.6203862995010119,,,,,1.0,,0.5928842274898053,,0.22172188580947388
3.2,0.9984314631392196,1.0,0.8347887108329523,-1.0,,-1.0,,1.0,,0.22420069426748096,-1.0,0.2119179382395389
3.3,0.6203862995010119,0.8347887108329523,1.0,-1.0000000000000002,,-1.0,,1.0,,-0.2596785118674844,-1.0,0.7942426593786556
3.4,,-1.0,-1.0000000000000002,1.0,,1.0,,,,1.0,,
3.5,,,,,,,,,,,,
3.6,,-1.0,-1.0,1.0,,1.0,,,,0.9999999999999999,,
3.7,,,,,,,,,,,,
3.8,1.0,1.0,1.0,,,,,1.0,,-1.0,,1.0
3.9,,,,,,,,,,,,
3.b,0.5928842274898053,0.22420069426748096,-0.2596785118674844,1.0,,0.9999999999999999,,-1.0,,1.0,1.0,-0.5471635059665997
3.c,,-1.0,-1.0,,,,,,,1.0,1.0,
3.d,0.22172188580947388,0.2119179382395389,0.7942426593786556,,,,,1.0,,-0.5471635059665997,,1.0
