UniqueID,SE_AGP_CPRA         LOWSEC ALLAREA             Q1  ,SE_AGP_CPRA         LOWSEC ALLAREA             Q2  ,SE_AGP_CPRA         LOWSEC ALLAREA             Q3  ,SE_AGP_CPRA         LOWSEC ALLAREA             Q4  ,SE_AGP_CPRA         LOWSEC ALLAREA             Q5  ,SE_AGP_CPRA         LOWSEC ALLAREA             _T  ,SE_AGP_CPRA         PRIMAR ALLAREA             Q1  ,SE_AGP_CPRA         PRIMAR ALLAREA             Q2  ,SE_AGP_CPRA         PRIMAR ALLAREA             Q3  ,SE_AGP_CPRA         PRIMAR ALLAREA             Q4  ,SE_AGP_CPRA         PRIMAR ALLAREA             Q5  ,SE_AGP_CPRA         PRIMAR ALLAREA             _T  ,SE_AGP_CPRA         UPPSEC ALLAREA             Q1  ,SE_AGP_CPRA         UPPSEC ALLAREA             Q2  ,SE_AGP_CPRA         UPPSEC ALLAREA             Q3  ,SE_AGP_CPRA         UPPSEC ALLAREA             Q4  ,SE_AGP_CPRA         UPPSEC ALLAREA             Q5  ,SE_AGP_CPRA         UPPSEC ALLAREA             _T  ,SE_ALP_CPLR BOTHSEX        LOWSEC              Q1  ,SE_ALP_CPLR BOTHSEX        LOWSEC              Q2  ,SE_ALP_CPLR BOTHSEX        LOWSEC              Q3  ,SE_ALP_CPLR BOTHSEX        LOWSEC              Q4  ,SE_ALP_CPLR BOTHSEX        LOWSEC              Q5  ,SE_ALP_CPLR BOTHSEX        LOWSEC              _T  ,SE_ALP_CPLR BOTHSEX        PRIMAR              Q1  ,SE_ALP_CPLR BOTHSEX        PRIMAR              Q2  ,SE_ALP_CPLR BOTHSEX        PRIMAR              Q3  ,SE_ALP_CPLR BOTHSEX        PRIMAR              Q4  ,SE_ALP_CPLR BOTHSEX        PRIMAR              Q5  ,SE_ALP_CPLR BOTHSEX        PRIMAR              _T  ,SE_ALP_CPLR BOTHSEX        UPPSEC              Q1  ,SE_ALP_CPLR BOTHSEX        UPPSEC              Q2  ,SE_ALP_CPLR BOTHSEX        UPPSEC              Q3  ,SE_ALP_CPLR BOTHSEX        UPPSEC              Q4  ,SE_ALP_CPLR BOTHSEX        UPPSEC              Q5  ,SE_ALP_CPLR BOTHSEX        UPPSEC              _T  ,SE_AWP_CPRA BOTHSEX        LOWSEC ALLAREA             _T  ,SE_AWP_CPRA BOTHSEX        PRIMAR ALLAREA             _T  ,SE_AWP_CPRA BOTHSEX        UPPSEC ALLAREA             _T  ,SE_GPI_PART                         ,SE_GPI_PTNPRE                         ,SE_LGP_ACHI        SKILL_MATH LOWSEC                ,SE_LGP_ACHI        SKILL_READ LOWSEC                ,SE_NAP_ACHI        SKILL_MATH LOWSEC                ,SE_NAP_ACHI        SKILL_READ LOWSEC                ,SE_TOT_GPI        SKILL_MATH GRAD23                ,SE_TOT_GPI        SKILL_MATH LOWSEC                ,SE_TOT_GPI        SKILL_MATH PRIMAR                ,SE_TOT_GPI        SKILL_READ GRAD23                ,SE_TOT_GPI        SKILL_READ LOWSEC                ,SE_TOT_GPI        SKILL_READ PRIMAR                ,SE_TOT_RUPI        SKILL_MATH LOWSEC                ,SE_TOT_RUPI        SKILL_READ LOWSEC                ,SE_TOT_SESPI        SKILL_MATH LOWSEC                ,SE_TOT_SESPI        SKILL_READ LOWSEC                
SE_AGP_CPRA         LOWSEC ALLAREA             Q1  ,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-0.9999999999999999,-1.0,1.0,1.0000000000000002,1.0,1.0,,1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         LOWSEC ALLAREA             Q2  ,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0,1.0,1.0,-0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999998,1.0,1.0,1.0,,0.9999999999999998,,,,,,,,,,,,,,
SE_AGP_CPRA         LOWSEC ALLAREA             Q3  ,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,,1.0000000000000002,,,,,,,,,,,,,,
SE_AGP_CPRA         LOWSEC ALLAREA             Q4  ,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,,1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         LOWSEC ALLAREA             Q5  ,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,-1.0,0.9999999999999998,1.0,-1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,-0.9999999999999999,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999998,1.0,,1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         LOWSEC ALLAREA             _T  ,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,-0.9999999999999999,0.9999999999999999,1.0,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,,0.9999999999999999,,,,,,,,,,,,,,
SE_AGP_CPRA         PRIMAR ALLAREA             Q1  ,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,,-1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         PRIMAR ALLAREA             Q2  ,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,-1.0,1.0,1.0,-1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-0.9999999999999998,-0.9999999999999999,-1.0,-0.9999999999999998,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999999,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         PRIMAR ALLAREA             Q3  ,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
SE_AGP_CPRA         PRIMAR ALLAREA             Q4  ,-1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0,,-1.0,,,,,,,,,,,,,,
