,UniqueID,Goal,Target,Indicator,SeriesCode
3887,ER_FFS_CMPT                         ,12.0,12.c,12.c.1,ER_FFS_CMPT
3888,ER_FFS_CMPT                         ,12.0,12.c,12.c.1,ER_FFS_CMPT
3889,ER_FFS_CMPT                         ,12.0,12.c,12.c.1,ER_FFS_CMPT
3890,ER_FFS_CMPT                         ,12.0,12.c,12.c.1,ER_FFS_CMPT
3891,ER_FFS_CMPT                         ,12.0,12.c,12.c.1,ER_FFS_CMPT
3892,ER_FFS_CMPT_PC                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_PC
3893,ER_FFS_CMPT_PC                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_PC
3894,ER_FFS_CMPT_PC                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_PC
3895,ER_FFS_CMPT_PC                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_PC
3896,ER_FFS_CMPT_PC                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_PC
3897,ER_FFS_CMPT_GDP                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_GDP
3898,ER_FFS_CMPT_GDP                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_GDP
3899,ER_FFS_CMPT_GDP                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_GDP
3900,ER_FFS_CMPT_GDP                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_GDP
3901,ER_FFS_CMPT_GDP                         ,12.0,12.c,12.c.1,ER_FFS_CMPT_GDP
