,UniqueID,Goal,Target,Indicator,SeriesCode
749,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
750,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
751,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
752,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
753,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
754,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
755,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
756,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
757,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
758,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
759,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
760,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
761,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
762,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
763,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
764,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
765,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
766,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
767,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
768,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
769,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
770,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
771,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
772,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
773,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
774,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
775,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
776,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
777,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
778,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
779,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
780,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
781,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
782,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
783,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
784,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
785,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
786,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
787,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
788,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
789,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
790,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
791,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
792,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
793,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
794,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
795,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
796,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
797,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
798,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
799,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
800,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
801,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
802,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
803,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
804,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
805,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
806,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
807,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
808,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
809,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
810,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
811,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
812,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
813,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
814,SH_HIV_INCD FEMALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
815,SH_HIV_INCD MALE                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
816,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
817,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
818,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
819,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
820,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
821,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
822,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
823,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
824,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
825,SH_HIV_INCD MALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
826,SH_HIV_INCD BOTHSEX                 50+       ,3.0,3.3,3.3.1,SH_HIV_INCD
827,SH_HIV_INCD BOTHSEX                 <15Y       ,3.0,3.3,3.3.1,SH_HIV_INCD
828,SH_HIV_INCD FEMALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
829,SH_HIV_INCD BOTHSEX                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
830,SH_HIV_INCD BOTHSEX                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
831,SH_HIV_INCD FEMALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
832,SH_HIV_INCD MALE                 15-24       ,3.0,3.3,3.3.1,SH_HIV_INCD
833,SH_HIV_INCD MALE                 ALLAGE       ,3.0,3.3,3.3.1,SH_HIV_INCD
834,SH_HIV_INCD BOTHSEX                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
835,SH_HIV_INCD FEMALE                 15-49       ,3.0,3.3,3.3.1,SH_HIV_INCD
