,UniqueID,Goal,Target,Indicator,SeriesCode
831,SH_PRV_SMOK BOTHSEX                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
832,SH_PRV_SMOK MALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
833,SH_PRV_SMOK FEMALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
834,SH_PRV_SMOK MALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
835,SH_PRV_SMOK FEMALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
836,SH_PRV_SMOK BOTHSEX                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
837,SH_PRV_SMOK BOTHSEX                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
838,SH_PRV_SMOK FEMALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
839,SH_PRV_SMOK MALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
840,SH_PRV_SMOK MALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
841,SH_PRV_SMOK FEMALE                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
842,SH_PRV_SMOK BOTHSEX                 15+       ,3.0,3.a,3.a.1,SH_PRV_SMOK
