UniqueID,TimePeriod,SI_COV_BENFTS BOTHSEX                        ,SI_COV_BENFTS FEMALE                        ,SI_COV_BENFTS MALE                        ,SI_COV_CHLD BOTHSEX                        ,SI_COV_CHLD FEMALE                        ,SI_COV_CHLD MALE                        ,SI_COV_DISAB BOTHSEX                        ,SI_COV_DISAB FEMALE                        ,SI_COV_DISAB MALE                        ,SI_COV_LMKT                       Q1  ,SI_COV_LMKT                       _T  ,SI_COV_MATNL FEMALE                        ,SI_COV_PENSN BOTHSEX                        ,SI_COV_PENSN FEMALE                        ,SI_COV_PENSN MALE                        ,SI_COV_POOR BOTHSEX                        ,SI_COV_SOCAST                       Q1  ,SI_COV_SOCAST                       _T  ,SI_COV_SOCINS                       Q1  ,SI_COV_SOCINS                       _T  ,SI_COV_UEMP BOTHSEX                        ,SI_COV_UEMP FEMALE                        ,SI_COV_UEMP MALE                        ,SI_COV_VULN BOTHSEX                        ,SI_COV_VULN FEMALE                        ,SI_COV_VULN MALE                        ,SI_COV_WKINJRY BOTHSEX                        ,SI_COV_WKINJRY FEMALE                        ,SI_COV_WKINJRY MALE                        
TimePeriod,1.0,0.8095933132509728,,,-1.0,-1.0,-1.0,-0.35538623538254277,,,,,1.0,0.20562188097670642,-1.0,-1.0,1.0,,,,,,,,0.9999999999999999,,,-1.0,-1.0,-1.0
SI_COV_BENFTS BOTHSEX                        ,0.8095933132509728,1.0,,,-1.0,-1.0,-0.9999999999999999,-1.0,,,,,,-1.0,-1.0,-1.0,1.0000000000000002,,,,,,,,1.0,,,-1.0,-1.0,-1.0
SI_COV_BENFTS FEMALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_BENFTS MALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_CHLD BOTHSEX                        ,-1.0,-1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,1.0
SI_COV_CHLD FEMALE                        ,-1.0,-1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,1.0
SI_COV_CHLD MALE                        ,-1.0,-0.9999999999999999,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0000000000000002,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,1.0000000000000002
SI_COV_DISAB BOTHSEX                        ,-0.35538623538254277,-1.0,,,1.0,1.0,1.0,1.0,,,,,-1.0,0.841670816040439,0.9999999999999999,0.9999999999999999,-1.0,,,,,,,,-0.9999999999999998,,,1.0000000000000002,0.9999999999999999,1.0
SI_COV_DISAB FEMALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_DISAB MALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_LMKT                       Q1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_LMKT                       _T  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_MATNL FEMALE                        ,1.0,,,,,,,-1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
SI_COV_PENSN BOTHSEX                        ,0.20562188097670642,-1.0,,,1.0,1.0,1.0,0.841670816040439,,,,,1.0,1.0,1.0000000000000002,1.0,-1.0,,,,,,,,-0.9999999999999999,,,1.0,1.0,1.0
SI_COV_PENSN FEMALE                        ,-1.0,-1.0,,,1.0,1.0,1.0000000000000002,0.9999999999999999,,,,,,1.0000000000000002,1.0,1.0,-0.9999999999999998,,,,,,,,-1.0000000000000002,,,1.0,1.0,1.0
SI_COV_PENSN MALE                        ,-1.0,-1.0,,,1.0,1.0,1.0,0.9999999999999999,,,,,,1.0,1.0,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,1.0
SI_COV_POOR BOTHSEX                        ,1.0,1.0000000000000002,,,-1.0,-1.0,-1.0,-1.0,,,,,,-1.0,-0.9999999999999998,-1.0,1.0,,,,,,,,1.0,,,-1.0,-1.0000000000000002,-1.0
SI_COV_SOCAST                       Q1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_SOCAST                       _T  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_SOCINS                       Q1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_SOCINS                       _T  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_UEMP BOTHSEX                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_UEMP FEMALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_UEMP MALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_VULN BOTHSEX                        ,0.9999999999999999,1.0,,,-1.0,-1.0,-1.0,-0.9999999999999998,,,,,,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,,,,,,,,1.0,,,-1.0,-1.0000000000000002,-1.0000000000000002
SI_COV_VULN FEMALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_VULN MALE                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_COV_WKINJRY BOTHSEX                        ,-1.0,-1.0,,,1.0,1.0,1.0,1.0000000000000002,,,,,,1.0,1.0,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,1.0
SI_COV_WKINJRY FEMALE                        ,-1.0,-1.0,,,1.0,1.0,1.0,0.9999999999999999,,,,,,1.0,1.0,1.0,-1.0000000000000002,,,,,,,,-1.0000000000000002,,,1.0,1.0,1.0000000000000002
SI_COV_WKINJRY MALE                        ,-1.0,-1.0,,,1.0,1.0,1.0000000000000002,1.0,,,,,,1.0,1.0,1.0,-1.0,,,,,,,,-1.0000000000000002,,,1.0,1.0000000000000002,1.0
