UniqueID,TimePeriod,VC_DSR_AGLH                         ,VC_DSR_BSDN                         ,VC_DSR_CDAN                         ,VC_DSR_CDYN                         ,VC_DSR_CHLN                         ,VC_DSR_CILN                         ,VC_DSR_DDPA                         ,VC_DSR_EFDN                         ,VC_DSR_ESDN                         ,VC_DSR_GDPLS                         ,VC_DSR_HFDN                         ,VC_DSR_HOLH                         ,VC_DSR_HSDN                         ,VC_DSR_LSGP                         ,VC_DSR_OBDN                         
TimePeriod,1.0,0.5163696881787561,-0.4316857250734866,-0.24526169650496502,-1.0,,-0.0019164392975260826,,-0.21114483615873042,0.7040029550955289,0.4652667542874661,0.18819145483848412,-0.44157947898919525,0.05241424183609594,0.3653938115737479,-0.7402820759176578
VC_DSR_AGLH                         ,0.5163696881787561,1.0,-0.1156521510630776,0.9987029539422685,,,-0.5223109339347934,,1.0,1.0,0.7003706367063393,0.9999999999999998,-0.8517042629625201,-1.0,0.7000971796245248,-0.1302730707744596
VC_DSR_BSDN                         ,-0.4316857250734866,-0.1156521510630776,1.0,-0.4480626319607811,-1.0,,0.44626897194970544,,-0.9756056353478859,-0.18764896792611915,-0.3669488769838225,1.0,-0.6020131968673382,-0.6857542571087304,-0.37737909838687556,0.9999121711396263
VC_DSR_CDAN                         ,-0.24526169650496502,0.9987029539422685,-0.4480626319607811,1.0,1.0,,-0.5832253085213052,,0.9790170879018926,,0.7212265098356224,0.7641759468834203,0.6528110113389252,-1.0,0.81497901338014,-0.9863556716928987
VC_DSR_CDYN                         ,-1.0,,-1.0,1.0,1.0,,1.0,,1.0,,0.9999999999999999,,1.0,,1.0,-1.0
VC_DSR_CHLN                         ,,,,,,,,,,,,,,,,
VC_DSR_CILN                         ,-0.0019164392975260826,-0.5223109339347934,0.44626897194970544,-0.5832253085213052,1.0,,1.0,,-0.7461938047939244,,-0.3516068302075393,-0.3693063465844553,-0.4902614482386435,1.0,-0.41133657110822397,0.397505169993709
VC_DSR_DDPA                         ,,,,,,,,,,,,,,,,
VC_DSR_EFDN                         ,-0.21114483615873042,1.0,-0.9756056353478859,0.9790170879018926,1.0,,-0.7461938047939244,,1.0,,0.5191843599796182,-1.0,0.7862913693891619,,0.6400306353541882,-0.9769999621639689
VC_DSR_ESDN                         ,0.7040029550955289,1.0,-0.18764896792611915,,,,,,,1.0,0.33525801950940454,,-0.3895697480915641,-1.0,0.2387153400370936,1.0
VC_DSR_GDPLS                         ,0.4652667542874661,0.7003706367063393,-0.3669488769838225,0.7212265098356224,0.9999999999999999,,-0.3516068302075393,,0.5191843599796182,0.33525801950940454,1.0,0.976555844842642,-0.03230063373387242,0.9974070521545217,0.9893678226332335,-0.6656452030692087
VC_DSR_HFDN                         ,0.18819145483848412,0.9999999999999998,1.0,0.7641759468834203,,,-0.3693063465844553,,-1.0,,0.976555844842642,1.0,-1.0000000000000002,,0.9985031858890628,
VC_DSR_HOLH                         ,-0.44157947898919525,-0.8517042629625201,-0.6020131968673382,0.6528110113389252,1.0,,-0.4902614482386435,,0.7862913693891619,-0.3895697480915641,-0.03230063373387242,-1.0000000000000002,1.0,1.0,0.0952350206534421,-0.5904146828699783
VC_DSR_HSDN                         ,0.05241424183609594,-1.0,-0.6857542571087304,-1.0,,,1.0,,,-1.0,0.9974070521545217,,1.0,1.0,0.9955232465471126,-1.0
VC_DSR_LSGP                         ,0.3653938115737479,0.7000971796245248,-0.37737909838687556,0.81497901338014,1.0,,-0.41133657110822397,,0.6400306353541882,0.2387153400370936,0.9893678226332335,0.9985031858890628,0.0952350206534421,0.9955232465471126,1.0,-0.6713204405425636
VC_DSR_OBDN                         ,-0.7402820759176578,-0.1302730707744596,0.9999121711396263,-0.9863556716928987,-1.0,,0.397505169993709,,-0.9769999621639689,1.0,-0.6656452030692087,,-0.5904146828699783,-1.0,-0.6713204405425636,1.0
