UniqueID,TimePeriod,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,AG_PRD_FIESMS FEMALE                 15+       ,AG_PRD_FIESMS MALE                 15+       ,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESMSN FEMALE             A    15+       ,AG_PRD_FIESMSN MALE             A    15+       ,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,AG_PRD_FIESS FEMALE             A    15+       ,AG_PRD_FIESS MALE             A    15+       ,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESSN FEMALE             A    15+       ,AG_PRD_FIESSN MALE             A    15+       
TimePeriod,1.0,0.8618412663675966,0.9096525045575449,0.7422763198669825,0.935466741285774,0.9707678296584792,0.9342642388647968,0.97376621453478,0.950929855135854,0.9325690534057405,0.9873800779316305,0.9868650930722453,0.9837761152238174
AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,0.8618412663675966,1.0,0.9884271477570927,0.9621665036016895,0.9854482548914465,0.9551306222757088,0.9803849895753066,0.9449981204781948,0.7703775551424171,0.8744088239279247,0.9252828079085511,0.8268843210847958,0.9021940257662577
AG_PRD_FIESMS FEMALE                 15+       ,0.9096525045575449,0.9884271477570927,1.0,0.9219450772614838,0.9937543278223828,0.9826765965074147,0.9858005929479728,0.9726384162133248,0.8506636637139784,0.8825646747180523,0.9590232954788694,0.8923522403649604,0.9287481302104504
AG_PRD_FIESMS MALE                 15+       ,0.7422763198669825,0.9621665036016895,0.9219450772614838,1.0,0.9179638410660097,0.8622036599142063,0.9317588120817312,0.869124574866341,0.6507663243192503,0.8491425609862285,0.8352199558522112,0.7046639517418102,0.8279616979895927
AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,0.935466741285774,0.9854482548914465,0.9937543278223828,0.9179638410660097,1.0,0.9909008964168794,0.9956060151512478,0.9843792943693804,0.8555545918339199,0.9198861263881417,0.9752817401263294,0.9068847108729128,0.9573922577185211
AG_PRD_FIESMSN FEMALE             A    15+       ,0.9707678296584792,0.9551306222757088,0.9826765965074147,0.8622036599142063,0.9909008964168794,1.0,0.9851148397711952,0.9947438018723359,0.9124603265906668,0.9236943694007035,0.9931954067160584,0.9537221220088292,0.9739885460020384
AG_PRD_FIESMSN MALE             A    15+       ,0.9342642388647968,0.9803849895753066,0.9858005929479728,0.9317588120817312,0.9956060151512478,0.9851148397711952,1.0,0.987989808662847,0.8598455490996679,0.9472247513443222,0.9772134844184923,0.9077866747074589,0.9681886558195963
AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,0.97376621453478,0.9449981204781948,0.9726384162133248,0.869124574866341,0.9843792943693804,0.9947438018723359,0.987989808662847,1.0,0.9264363904535532,0.9528345243188244,0.9975047673124743,0.9616640573543247,0.9872258714616954
AG_PRD_FIESS FEMALE             A    15+       ,0.950929855135854,0.7703775551424171,0.8506636637139784,0.6507663243192503,0.8555545918339199,0.9124603265906668,0.8598455490996679,0.9264363904535532,1.0,0.8591792457793381,0.9382508304124375,0.9883456508462993,0.9195635987802461
AG_PRD_FIESS MALE             A    15+       ,0.9325690534057405,0.8744088239279247,0.8825646747180523,0.8491425609862285,0.9198861263881417,0.9236943694007035,0.9472247513443222,0.9528345243188244,0.8591792457793381,1.0,0.9517244546634269,0.9037764764957681,0.9802849313764932
AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,0.9873800779316305,0.9252828079085511,0.9590232954788694,0.8352199558522112,0.9752817401263294,0.9931954067160584,0.9772134844184923,0.9975047673124743,0.9382508304124375,0.9517244546634269,1.0,0.974386675481939,0.9916938899340716
AG_PRD_FIESSN FEMALE             A    15+       ,0.9868650930722453,0.8268843210847958,0.8923522403649604,0.7046639517418102,0.9068847108729128,0.9537221220088292,0.9077866747074589,0.9616640573543247,0.9883456508462993,0.9037764764957681,0.974386675481939,1.0,0.9618056406725831
AG_PRD_FIESSN MALE             A    15+       ,0.9837761152238174,0.9021940257662577,0.9287481302104504,0.8279616979895927,0.9573922577185211,0.9739885460020384,0.9681886558195963,0.9872258714616954,0.9195635987802461,0.9802849313764932,0.9916938899340716,0.9618056406725831,1.0
