UniqueID,TimePeriod,SH_DTH_NCD BOTHSEX               CAN         ,SH_DTH_NCD BOTHSEX               CAR         ,SH_DTH_NCD BOTHSEX               DIA         ,SH_DTH_NCD BOTHSEX               RES         ,SH_DTH_NCD FEMALE               CAN         ,SH_DTH_NCD FEMALE               CAR         ,SH_DTH_NCD FEMALE               DIA         ,SH_DTH_NCD FEMALE               RES         ,SH_DTH_NCD MALE               CAN         ,SH_DTH_NCD MALE               CAR         ,SH_DTH_NCD MALE               DIA         ,SH_DTH_NCD MALE               RES         ,SH_DTH_NCOM BOTHSEX                 30-70       ,SH_DTH_NCOM FEMALE                 30-70       ,SH_DTH_NCOM MALE                 30-70       
TimePeriod,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD BOTHSEX               CAN         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0
SH_DTH_NCD BOTHSEX               CAR         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0
SH_DTH_NCD BOTHSEX               DIA         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD BOTHSEX               RES         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD FEMALE               CAN         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0
SH_DTH_NCD FEMALE               CAR         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD FEMALE               DIA         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999999,-1.0
SH_DTH_NCD FEMALE               RES         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0
SH_DTH_NCD MALE               CAN         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD MALE               CAR         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCD MALE               DIA         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002
SH_DTH_NCD MALE               RES         ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
SH_DTH_NCOM BOTHSEX                 30-70       ,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002
SH_DTH_NCOM FEMALE                 30-70       ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
SH_DTH_NCOM MALE                 30-70       ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0
