UniqueID,TimePeriod,SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,SL_ISV_IFEM BOTHSEX                    NONAGR    ,SL_ISV_IFEM BOTHSEX                    TOTAL    ,SL_ISV_IFEM FEMALE                    ISIC4_A    ,SL_ISV_IFEM FEMALE                    NONAGR    ,SL_ISV_IFEM FEMALE                    TOTAL    ,SL_ISV_IFEM MALE                    ISIC4_A    ,SL_ISV_IFEM MALE                    NONAGR    ,SL_ISV_IFEM MALE                    TOTAL    
TimePeriod,1.0,-0.7931134245100597,-0.3158548118052032,-0.40356806426724207,-0.3997859521745084,-0.29122855955373045,-0.29730058149296706,-0.7599786920768339,-0.1804074572876428,-0.43082021842766544
SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,-0.7931134245100597,1.0,0.495918095285077,0.6387706056510718,0.3207166651859774,0.6116495132113181,0.5998743771552687,0.9907749714483637,0.2310578985387303,0.5977343967062954
SL_ISV_IFEM BOTHSEX                    NONAGR    ,-0.3158548118052032,0.495918095285077,1.0,0.9652727854297681,0.3165526634553736,0.9026362444522613,0.881613077772065,0.4550555851842067,0.9033225084564214,0.9153478264065454
SL_ISV_IFEM BOTHSEX                    TOTAL    ,-0.40356806426724207,0.6387706056510718,0.9652727854297681,1.0,0.39831841287215264,0.9231248541189847,0.9142166528582829,0.5953459841403403,0.8113955254964923,0.9456325256871453
SL_ISV_IFEM FEMALE                    ISIC4_A    ,-0.3997859521745084,0.3207166651859774,0.3165526634553736,0.39831841287215264,1.0,0.38743804835982143,0.44360436650893137,0.19351807921642156,0.15894524935001383,0.2836064345984152
SL_ISV_IFEM FEMALE                    NONAGR    ,-0.29122855955373045,0.6116495132113181,0.9026362444522613,0.9231248541189847,0.38743804835982143,1.0,0.9945442084726217,0.5641491547282509,0.6373813679291324,0.755693858030329
SL_ISV_IFEM FEMALE                    TOTAL    ,-0.29730058149296706,0.5998743771552687,0.881613077772065,0.9142166528582829,0.44360436650893137,0.9945442084726217,1.0,0.5437096172873905,0.6009093970782651,0.7338923049348948
SL_ISV_IFEM MALE                    ISIC4_A    ,-0.7599786920768339,0.9907749714483637,0.4550555851842067,0.5953459841403403,0.19351807921642156,0.5641491547282509,0.5437096172873905,1.0,0.20728967831029294,0.5743621739578728
SL_ISV_IFEM MALE                    NONAGR    ,-0.1804074572876428,0.2310578985387303,0.9033225084564214,0.8113955254964923,0.15894524935001383,0.6373813679291324,0.6009093970782651,0.20728967831029294,1.0,0.8813380795517178
SL_ISV_IFEM MALE                    TOTAL    ,-0.43082021842766544,0.5977343967062954,0.9153478264065454,0.9456325256871453,0.2836064345984152,0.755693858030329,0.7338923049348948,0.5743621739578728,0.8813380795517178,1.0
