UniqueID,TimePeriod,SD_MDP_ANDI BOTHSEX         ALLAREA        ALLAGE       ,SD_MDP_ANDI BOTHSEX         RURAL        ALLAGE       ,SD_MDP_ANDI BOTHSEX         URBAN        ALLAGE       ,SD_MDP_MUHC BOTHSEX         ALLAREA        <6Y       ,SD_MDP_MUHC BOTHSEX         ALLAREA        ALLAGE       ,SD_MDP_MUHC BOTHSEX         RURAL        ALLAGE       ,SD_MDP_MUHC BOTHSEX         URBAN        ALLAGE       ,SD_MDP_MUHC FEMALE         ALLAREA        ALLAGE       ,SD_MDP_MUHC MALE         ALLAREA        ALLAGE       
TimePeriod,,,,,,,,,,
SD_MDP_ANDI BOTHSEX         ALLAREA        ALLAGE       ,,,,,,,,,,
SD_MDP_ANDI BOTHSEX         RURAL        ALLAGE       ,,,,,,,,,,
SD_MDP_ANDI BOTHSEX         URBAN        ALLAGE       ,,,,,,,,,,
SD_MDP_MUHC BOTHSEX         ALLAREA        <6Y       ,,,,,,,,,,
SD_MDP_MUHC BOTHSEX         ALLAREA        ALLAGE       ,,,,,,,,,,
SD_MDP_MUHC BOTHSEX         RURAL        ALLAGE       ,,,,,,,,,,
SD_MDP_MUHC BOTHSEX         URBAN        ALLAGE       ,,,,,,,,,,
SD_MDP_MUHC FEMALE         ALLAREA        ALLAGE       ,,,,,,,,,,
SD_MDP_MUHC MALE         ALLAREA        ALLAGE       ,,,,,,,,,,
