UniqueID,SH_HIV_INCD BOTHSEX                 15-24       ,SH_HIV_INCD BOTHSEX                 15-49       ,SH_HIV_INCD BOTHSEX                 50+       ,SH_HIV_INCD BOTHSEX                 <15Y       ,SH_HIV_INCD BOTHSEX                 ALLAGE       ,SH_HIV_INCD FEMALE                 15-24       ,SH_HIV_INCD FEMALE                 15-49       ,SH_HIV_INCD FEMALE                 50+       ,SH_HIV_INCD FEMALE                 ALLAGE       ,SH_HIV_INCD MALE                 15-24       ,SH_HIV_INCD MALE                 15-49       ,SH_HIV_INCD MALE                 50+       ,SH_HIV_INCD MALE                 ALLAGE       
SH_HIV_INCD BOTHSEX                 15-24       ,1.0,0.9739948620086161,0.8571428571428573,0.6831300510639732,0.9686648999069226,0.9571992303027342,0.9509146221003927,0.8783100656536799,0.9285714285714288,0.9296696802013681,0.977897823397447,0.9078412990032038,0.9596449173246002
SH_HIV_INCD BOTHSEX                 15-49       ,0.9739948620086161,1.0,0.9004858158192863,0.7657976367739546,0.9675588936937934,0.9745248136930935,0.9633207704136306,0.866230113727916,0.9556176004612837,0.9350035713766004,0.9812211900659494,0.8642123963540457,0.9616067832220556
SH_HIV_INCD BOTHSEX                 50+       ,0.8571428571428573,0.9004858158192863,1.0,0.6831300510639734,0.9116846116771036,0.8478050325538501,0.8320502943378436,0.6831300510639732,0.8571428571428573,0.8451542547285167,0.922017947774736,0.786795792469443,0.9091372900969896
SH_HIV_INCD BOTHSEX                 <15Y       ,0.6831300510639732,0.7657976367739546,0.6831300510639734,1.0,0.7784989441615229,0.7286220229694002,0.730798148647035,0.46666666666666656,0.7807200583588265,0.808290376865476,0.7443778346080288,0.53748384988657,0.6900655593423541
SH_HIV_INCD BOTHSEX                 ALLAGE       ,0.9686648999069226,0.9675588936937934,0.9116846116771036,0.7784989441615229,1.0,0.9162969990049791,0.9166023347994701,0.7784989441615229,0.9116846116771038,0.9438798074485388,0.980687837122385,0.8690481892534816,0.9669875568304562
SH_HIV_INCD FEMALE                 15-24       ,0.9571992303027342,0.9745248136930935,0.8478050325538501,0.7286220229694002,0.9162969990049791,1.0,0.9936510959242711,0.878082950757995,0.9845477797399553,0.8736994822822741,0.9360430438707554,0.7994661932314686,0.8895638590830266
SH_HIV_INCD FEMALE                 15-49       ,0.9509146221003927,0.9633207704136306,0.8320502943378436,0.730798148647035,0.9166023347994701,0.9936510959242711,1.0,0.8390645410391883,0.9905360646879093,0.8438530156892916,0.9221481946955402,0.755369620047666,0.8685143127548147
SH_HIV_INCD FEMALE                 50+       ,0.8783100656536799,0.866230113727916,0.6831300510639732,0.46666666666666656,0.7784989441615229,0.878082950757995,0.8390645410391883,1.0,0.7807200583588265,0.808290376865476,0.8207242791832112,0.8682431421244591,0.8280786712108251
SH_HIV_INCD FEMALE                 ALLAGE       ,0.9285714285714288,0.9556176004612837,0.8571428571428573,0.7807200583588265,0.9116846116771038,0.9845477797399553,0.9905360646879093,0.7807200583588265,1.0,0.8451542547285167,0.922017947774736,0.726273039202563,0.8586296628693793
SH_HIV_INCD MALE                 15-24       ,0.9296696802013681,0.9350035713766004,0.8451542547285167,0.808290376865476,0.9438798074485388,0.8736994822822741,0.8438530156892916,0.808290376865476,0.8451542547285167,1.0,0.958710427115565,0.9309493362512627,0.9561828874675149
SH_HIV_INCD MALE                 15-49       ,0.977897823397447,0.9812211900659494,0.922017947774736,0.7443778346080288,0.980687837122385,0.9360430438707554,0.9221481946955402,0.8207242791832112,0.922017947774736,0.958710427115565,1.0,0.9114500577598249,0.9878259746169995
SH_HIV_INCD MALE                 50+       ,0.9078412990032038,0.8642123963540457,0.786795792469443,0.53748384988657,0.8690481892534816,0.7994661932314686,0.755369620047666,0.8682431421244591,0.726273039202563,0.9309493362512627,0.9114500577598249,1.0,0.9415130835240084
SH_HIV_INCD MALE                 ALLAGE       ,0.9596449173246002,0.9616067832220556,0.9091372900969896,0.6900655593423541,0.9669875568304562,0.8895638590830266,0.8685143127548147,0.8280786712108251,0.8586296628693793,0.9561828874675149,0.9878259746169995,0.9415130835240084,1.0
