UniqueID,TimePeriod,SE_TOT_PRFL BOTHSEX       SKILL_MATH GRAD23                ,SE_TOT_PRFL BOTHSEX       SKILL_MATH LOWSEC                ,SE_TOT_PRFL BOTHSEX       SKILL_MATH PRIMAR                ,SE_TOT_PRFL BOTHSEX       SKILL_READ GRAD23                ,SE_TOT_PRFL BOTHSEX       SKILL_READ LOWSEC                ,SE_TOT_PRFL BOTHSEX       SKILL_READ PRIMAR                ,SE_TOT_PRFL FEMALE       SKILL_MATH GRAD23                ,SE_TOT_PRFL FEMALE       SKILL_MATH LOWSEC                ,SE_TOT_PRFL FEMALE       SKILL_MATH PRIMAR                ,SE_TOT_PRFL FEMALE       SKILL_READ GRAD23                ,SE_TOT_PRFL FEMALE       SKILL_READ LOWSEC                ,SE_TOT_PRFL FEMALE       SKILL_READ PRIMAR                ,SE_TOT_PRFL MALE       SKILL_MATH GRAD23                ,SE_TOT_PRFL MALE       SKILL_MATH LOWSEC                ,SE_TOT_PRFL MALE       SKILL_MATH PRIMAR                ,SE_TOT_PRFL MALE       SKILL_READ GRAD23                ,SE_TOT_PRFL MALE       SKILL_READ LOWSEC                ,SE_TOT_PRFL MALE       SKILL_READ PRIMAR                
TimePeriod,1.0,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_MATH GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_MATH LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_READ GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_READ LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL BOTHSEX       SKILL_READ PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_MATH GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_MATH LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_READ GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_READ LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL FEMALE       SKILL_READ PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_MATH GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_MATH LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_READ GRAD23                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_READ LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_TOT_PRFL MALE       SKILL_READ PRIMAR                ,,,,,,,,,,,,,,,,,,,
