UniqueID,SL_DOM_TSPD FEMALE         ALLAREA        15+       ,SL_DOM_TSPD FEMALE         ALLAREA        15-24       ,SL_DOM_TSPD FEMALE         ALLAREA        25-44       ,SL_DOM_TSPD FEMALE         ALLAREA        45-54       ,SL_DOM_TSPD FEMALE         ALLAREA        55-64       ,SL_DOM_TSPD FEMALE         ALLAREA        65+       ,SL_DOM_TSPD FEMALE         RURAL        15+       ,SL_DOM_TSPD FEMALE         URBAN        15+       ,SL_DOM_TSPD MALE         ALLAREA        15+       ,SL_DOM_TSPD MALE         ALLAREA        15-24       ,SL_DOM_TSPD MALE         ALLAREA        25-44       ,SL_DOM_TSPD MALE         ALLAREA        45-54       ,SL_DOM_TSPD MALE         ALLAREA        55-64       ,SL_DOM_TSPD MALE         ALLAREA        65+       ,SL_DOM_TSPD MALE         RURAL        15+       ,SL_DOM_TSPD MALE         URBAN        15+       ,SL_DOM_TSPDCW FEMALE         ALLAREA        15+       ,SL_DOM_TSPDCW MALE         ALLAREA        15+       ,SL_DOM_TSPDDC FEMALE         ALLAREA        15+       ,SL_DOM_TSPDDC MALE         ALLAREA        15+       
SL_DOM_TSPD FEMALE         ALLAREA        15+       ,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002
SL_DOM_TSPD FEMALE         ALLAREA        15-24       ,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
SL_DOM_TSPD FEMALE         ALLAREA        25-44       ,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
SL_DOM_TSPD FEMALE         ALLAREA        45-54       ,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0
SL_DOM_TSPD FEMALE         ALLAREA        55-64       ,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002
SL_DOM_TSPD FEMALE         ALLAREA        65+       ,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
SL_DOM_TSPD FEMALE         RURAL        15+       ,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002
SL_DOM_TSPD FEMALE         URBAN        15+       ,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,1.0,-1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002
SL_DOM_TSPD MALE         ALLAREA        15+       ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
SL_DOM_TSPD MALE         ALLAREA        15-24       ,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0
SL_DOM_TSPD MALE         ALLAREA        25-44       ,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002
SL_DOM_TSPD MALE         ALLAREA        45-54       ,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
