UniqueID,TimePeriod,SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,SL_ISV_IFEM BOTHSEX                    NONAGR    ,SL_ISV_IFEM BOTHSEX                    TOTAL    ,SL_ISV_IFEM FEMALE                    ISIC4_A    ,SL_ISV_IFEM FEMALE                    NONAGR    ,SL_ISV_IFEM FEMALE                    TOTAL    ,SL_ISV_IFEM MALE                    ISIC4_A    ,SL_ISV_IFEM MALE                    NONAGR    ,SL_ISV_IFEM MALE                    TOTAL    
TimePeriod,1.0,-0.7931134245100598,-0.31585481180520447,-0.4035680642672454,-0.3997859521744946,-0.29122855955373106,-0.29730058149296423,-0.7599786920768374,-0.18040745728764215,-0.4308202184276704
SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,-0.7931134245100598,1.0,0.4959180952850798,0.6387706056510765,0.32071666518596387,0.6116495132113197,0.5998743771552679,0.9907749714483627,0.2310578985387325,0.5977343967063001
SL_ISV_IFEM BOTHSEX                    NONAGR    ,-0.31585481180520447,0.4959180952850798,1.0,0.9652727854297668,0.3165526634553664,0.90263624445226,0.8816130777720657,0.45505558518421174,0.9033225084564206,0.9153478264065448
SL_ISV_IFEM BOTHSEX                    TOTAL    ,-0.4035680642672454,0.6387706056510765,0.9652727854297668,1.0,0.3983184128721462,0.9231248541189844,0.9142166528582841,0.5953459841403453,0.8113955254964926,0.9456325256871461
SL_ISV_IFEM FEMALE                    ISIC4_A    ,-0.3997859521744946,0.32071666518596387,0.3165526634553664,0.3983184128721462,1.0,0.38743804835981993,0.4436043665089294,0.19351807921641903,0.158945249350012,0.2836064345984132
SL_ISV_IFEM FEMALE                    NONAGR    ,-0.29122855955373106,0.6116495132113197,0.90263624445226,0.9231248541189844,0.38743804835981993,1.0,0.9945442084726226,0.5641491547282531,0.6373813679291326,0.7556938580303284
SL_ISV_IFEM FEMALE                    TOTAL    ,-0.29730058149296423,0.5998743771552679,0.8816130777720657,0.9142166528582841,0.4436043665089294,0.9945442084726226,1.0,0.5437096172873912,0.6009093970782653,0.7338923049348932
SL_ISV_IFEM MALE                    ISIC4_A    ,-0.7599786920768374,0.9907749714483627,0.45505558518421174,0.5953459841403453,0.19351807921641903,0.5641491547282531,0.5437096172873912,1.0,0.2072896783102933,0.5743621739578764
SL_ISV_IFEM MALE                    NONAGR    ,-0.18040745728764215,0.2310578985387325,0.9033225084564206,0.8113955254964926,0.158945249350012,0.6373813679291326,0.6009093970782653,0.2072896783102933,1.0,0.8813380795517164
SL_ISV_IFEM MALE                    TOTAL    ,-0.4308202184276704,0.5977343967063001,0.9153478264065448,0.9456325256871461,0.2836064345984132,0.7556938580303284,0.7338923049348932,0.5743621739578764,0.8813380795517164,1.0
