,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value,UniqueIDNew
4,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,6.3,SI_POV_EMP1BOTHSEX15+
10,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,5.7,SI_POV_EMP1BOTHSEX15+
25,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,5.0,SI_POV_EMP1BOTHSEX15+
28,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,4.3,SI_POV_EMP1BOTHSEX15+
38,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2016.0,4.0,SI_POV_EMP1BOTHSEX15+
54,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.0,SI_POV_EMP1BOTHSEX15+
61,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.7,SI_POV_EMP1BOTHSEX15+
66,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2014.0,59.3,SI_POV_NAHCALLAREA
80,SI_COV_SOCAST                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2014.0,71.64628,SI_COV_SOCASTQ1
122,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,86.0,SP_ACS_BSRVH2ORURAL
125,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,86.0,SP_ACS_BSRVH2ORURAL
129,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,87.0,SP_ACS_BSRVH2ORURAL
132,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,87.0,SP_ACS_BSRVH2ORURAL
135,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,88.0,SP_ACS_BSRVH2ORURAL
139,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,88.0,SP_ACS_BSRVH2ORURAL
141,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,89.0,SP_ACS_BSRVH2ORURAL
144,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,90.0,SP_ACS_BSRVH2ORURAL
147,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2020.0,90.0,SP_ACS_BSRVH2ORURAL
266,VC_DSR_PDLN                         ,1.0,1.5,1.5.1,VC_DSR_PDLN,2016.0,42639.0,VC_DSR_PDLN
267,VC_DSR_PDLN                         ,1.0,1.5,1.5.1,VC_DSR_PDLN,2017.0,44365.0,VC_DSR_PDLN
268,VC_DSR_PDLN                         ,1.0,1.5,1.5.1,VC_DSR_PDLN,2020.0,67572.0,VC_DSR_PDLN
269,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2012.0,0.0,SG_DSR_LGRGSR
270,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2013.0,0.0,SG_DSR_LGRGSR
271,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2014.0,0.0,SG_DSR_LGRGSR
272,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2015.0,0.225,SG_DSR_LGRGSR
273,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2016.0,0.4,SG_DSR_LGRGSR
274,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2017.0,0.8,SG_DSR_LGRGSR
275,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2018.0,0.9,SG_DSR_LGRGSR
276,SG_DSR_LGRGSR                         ,1.0,1.5,1.5.3,SG_DSR_LGRGSR,2020.0,0.375,SG_DSR_LGRGSR
283,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2012.0,0.0,SG_DSR_SILN
284,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2013.0,0.0,SG_DSR_SILN
285,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2014.0,0.0,SG_DSR_SILN
286,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2015.0,15.0,SG_DSR_SILN
