,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Substance use disorders],[Tariff regime (status)],[Severity of price levels],[Sex],[Deviation Level],[Mountain Elevation],[Parliamentary committees],[Mode of transportation],[Fiscal intervention stage],[Type of support],[Type of speed],[Policy instruments],[Policy Domains],[Counterpart],[Type of skill],[Education level],[Type of waste treatment],[Location],[Food Waste Sector],[Name of international agreement],[Reporting Type],[Freq],[Type of product],[Cause of death],[Report Ordinal],[Type of facilities],[Government_Name],[Observation Status],[Type of occupation],[Type of mobile technology],[Name of non-communicable disease],[Grounds of discrimination],[Units],[Level/Status],[Age],[Disability status],[Frequency of Chlorophyll-a concentration],[Activity],[Nature],[Sampling Stations],[Cities],[Level of requirement],[Quantile],[IHR Capacity],[Hazard type],[Migratory status],[Name of international institution]
0,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),320.0,Guatemala,2014.0,8.8,2014,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from ENCOVI. Estimated from unit-record income data.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
64,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),320.0,Guatemala,2014.0,42.2,2014,,,,,"World Development Indicators database, World Bank",,"Source: National Statistical Institute, Encuesta nacional de condiciones de vida. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,URBAN,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
65,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),320.0,Guatemala,2014.0,76.1,2014,,,,,"World Development Indicators database, World Bank",,"Source: National Statistical Institute, Encuesta nacional de condiciones de vida. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,RURAL,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
66,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),320.0,Guatemala,2014.0,59.3,2014,,,,,"World Development Indicators database, World Bank",,"Source: National Statistical Institute, Encuesta nacional de condiciones de vida. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
67,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),320.0,Guatemala,2014.0,61.6,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
68,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),320.0,Guatemala,2014.0,82.5,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,RURAL,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
69,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),320.0,Guatemala,2014.0,40.3,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,URBAN,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
70,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),320.0,Guatemala,2014.0,67.9,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,<6Y,,,,C,,,,,,,,
73,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),320.0,Guatemala,2014.0,48.6,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
74,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),320.0,Guatemala,2014.0,44.0,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,URBAN,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
75,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),320.0,Guatemala,2014.0,50.8,2014,,,,,Ministry of Social Development,,"Data source: National Survey of Living Conditions –Encovi- 2014; Topics included: Health and Food Security, Education, Dwelling characteristics, Employment, Basic services; Overall number of indicators: 17; Official publication: http://www.mides.gob.gt/webtwo/ipm/#resultados; Methodological documentation: https://filessijdes.mides.gob.gt/filesSijdes/Assets/PWM/IPM/06%20PRESENTACION%20METODOLOGIA.pdf",,,,BOTHSEX,,,,,,,,,,,,,,RURAL,,,G,,,,,,,,,,,,PERCENT,,ALLAGE,,,,C,,,,,,,,
78,1.0,1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",320.0,Guatemala,2017.0,3.7,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
79,1.0,1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",320.0,Guatemala,2020.0,9.4,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
85,1.0,1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",320.0,Guatemala,2017.0,3.1,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
89,1.0,1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",320.0,Guatemala,2020.0,2.6,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
92,1.0,1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",320.0,Guatemala,2020.0,0.0,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,No unemployment protection programme anchored in national legislation,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
93,1.0,1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",320.0,Guatemala,2017.0,2.0,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
96,1.0,1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",320.0,Guatemala,2020.0,6.8,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
99,1.0,1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",320.0,Guatemala,2017.0,19.8,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
102,1.0,1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",320.0,Guatemala,2020.0,18.6,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
