Target,1.1,1.2,1.3,1.4,1.5,1.a,10.1,10.4,10.5,10.6,10.7,10.a,10.b,10.c,11.1,11.5,11.6,11.a,11.b,12.1,12.2,12.3,12.4,12.6,12.8,12.a,12.b,12.c,13.1,13.3,14.1,14.4,14.5,14.6,14.7,14.b,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.9,15.a,15.b,16.1,16.10,16.2,16.3,16.5,16.6,16.7,16.8,16.9,16.a,17.1,17.10,17.12,17.13,17.17,17.18,17.19,17.3,17.4,17.6,17.8,17.9,2.1,2.2,2.3,2.5,2.a,2.b,2.c,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.a,3.b,3.c,3.d,4.1,4.2,4.3,4.4,4.5,4.7,4.a,4.b,5.2,5.3,5.5,5.a,5.b,6.2,6.4,6.5,6.6,6.a,6.b,7.1,7.2,7.3,7.a,7.b,8.1,8.10,8.2,8.3,8.4,8.5,8.6,8.8,8.9,8.a,8.b,9.1,9.2,9.3,9.4,9.5,9.a,9.b,9.c
1.1,1.0,0.9986254289035239,0.24898438133086537,-0.9818345626107529,-0.5559931649445,0.3472071874686216,,0.8972383754766668,-0.0997778611450985,0.9014410719200638,0.07329653068592454,-0.7210226610806107,-0.7390735016326905,2.155787765003995e-15,-0.8051240391513006,,1.0,,,,-0.7321224541770625,,,,,-0.967546957319115,-0.7954360171774308,-0.7955972990496527,-0.5559931649445,,,,,,0.17751017689187484,,0.9218825721898984,,,-0.9691537126583619,0.9837315915944674,,,,-0.34730402975156843,-0.34730402975156843,,,-0.6030209318705175,1.0,,0.4138504652004468,,0.9014410719200638,,,0.8671709083226721,0.46866747639583206,0.4827227777985413,0.32207196439753377,-0.49910124010884277,,,0.1119393939429616,-0.4313277635103194,-0.8563347410175246,-0.9061233851318702,-0.3205214835495114,0.9808272283675415,1.0,,,-0.7464928076291474,,0.27780623262235454,0.9752729838912899,0.9850311114861703,0.9883247514137867,,,,0.9183902658069774,-1.0,,0.926125686988154,0.5772526261001136,-0.9874624031596817,-0.9590786632191035,-0.24498928329013347,,0.9997138494617843,-1.0,-1.0,,-0.9916709412228284,0.6652986319749824,,,,,-0.9284446533229559,-0.9745036904880963,-0.9706741505400693,,-1.0,0.9353455778070181,,-0.9381486736660428,0.7905736330066352,0.9436760908992163,-0.8340867633987412,-0.967546957319115,0.6465546827480039,-0.9478880052528209,0.2585495285596617,0.840253568056642,-0.7321224541770625,,0.8204938923942627,0.7430274115620781,-0.5350504073943411,-0.6160990893180636,,-0.9379416793885227,0.9236198670734654,-0.4499979510338162,-0.03982519266592356,-0.8824882222794219,-0.29778881691980635,0.6262225714235214,-0.8740755685046762
1.2,0.9986254289035239,1.0,,-1.0,,-0.8660254037844395,,0.8660254037844396,0.9625043556288096,0.8660254037844394,0.0443678254708074,-0.36369927075461167,-0.9999741089316865,-1.0000000000000002,,,,,,,-0.9999984220944645,,,,,-0.995517991176179,-0.8660254037844377,-0.2737439330465017,,,,,,,0.9999999999999998,,0.7662455467873132,,,-0.9993681785489672,0.9986055254554482,,,,-0.9539428962660653,-0.9539428962660653,,,,,,-0.8863131517959978,,0.8660254037844394,,,0.9351981044274986,0.19241479767921427,-0.9721155539115128,0.5817765011577926,-0.9974571808513507,,,-0.22614515794154802,-0.8127102096299664,-0.9970891964461382,-0.9811579557842759,0.8436610719697173,0.981980506061966,,,,-0.4422739927071396,,0.5000000000000016,0.999260081289737,0.9999536367025408,0.8259207859254231,,,,0.8660254037844378,-1.0,,0.8660254037844378,-0.8660254037844396,-1.0,-0.8660254037844377,,,,-1.0,,,-0.9999999999999998,0.9811315306784866,,,,,-0.9982691162986146,-0.9819805060619655,-0.9594570102390747,,,0.9897308991204301,,,0.6251641058865685,0.6185895741317412,-0.4908799273125853,-0.995517991176179,-0.9707253433941506,-0.9888084697515681,0.9416630090006233,-1.0,-0.9999984220944645,,0.9707253433941512,0.8630748482517548,0.8660254037844377,-0.21649503403606626,,-0.9999988455113787,0.996162717355825,,-0.10282035146870191,0.9999999999999998,0.6920137603952509,,-0.9469357045464932
1.3,0.24898438133086537,,1.0,-0.4275285222312809,,0.10807241355304359,,0.8088924520873493,-0.4347328675176746,,-1.0,,-0.504707944868182,,,,1.0,,,,-0.9800699931588214,,,,,-0.0946542679837245,,,,,,,,,,,,,,-0.49633354142655967,0.43018683153661386,,,,0.9213470456641468,0.9213470456641468,,,0.4286304410768033,,,0.6037121422898817,,,,,0.8442024206444578,,0.9171103390302193,-0.8992999250094313,0.4331726791769844,,,0.9918236378450994,0.5304918771307738,-0.6898535180714171,-0.7217665038116287,-0.9665528898753517,0.3855518086901756,,,,-0.981953535488792,,-0.569124314614682,0.4122685160419233,0.4255755789829654,0.261677015255039,,,,1.0,,,,0.9851156174194741,-1.0,-0.10807241355304358,-1.0000000000000002,,-1.0,,,,,0.723362509850165,,,,,-1.0,-0.3436940614870305,-0.44995004269765665,,,0.1963340054346001,,-0.5906649679023295,0.7885506525771622,0.43385703407149734,-0.26885332502940007,-0.0946542679837245,0.17585347287757327,-0.3119526492261306,-0.6920587688668001,,-0.9800699931588214,,-0.7052223959797916,,-0.7325144459563283,-0.8443786077100369,,-0.39339507308209615,0.27615137537057965,1.0000000000000002,-0.23559300665543495,,-0.9567861402064352,-0.2198462782666598,1.0
1.4,-0.9818345626107529,-1.0,-0.4275285222312809,1.0,0.41437397588655805,-0.50709255283711,,-0.9563820714895629,-0.3553792574577962,-0.828078671210825,0.06826614510317425,0.8246483029129816,0.7814275653572009,-0.654046258875232,0.8511524665957575,-1.0,-1.0,,0.5773502691896257,,0.848870068407767,,-1.0,,,0.9555840919379317,0.6662825314191775,0.4617604767231748,0.41437397588655805,,-0.19507518770396856,,,,-0.21094160060948058,,-0.9711652187911936,,,0.9768028190611442,-0.999271407653611,0.8660254037844386,,,0.2927136956795421,0.2927136956795421,,,0.5993928421296505,-0.9999999999999999,,-0.3465975188658037,,-0.828078671210825,,,-0.9024230801417236,-0.7225505846051078,-0.48948862199681487,-0.3426958426649762,0.5793271769598362,,,0.1071558319684233,0.36819432908336597,0.941271975954905,0.9676451541321031,0.14231892782364486,-0.9150972597832574,-1.0,,,0.8345791917104662,,-0.40980057093238403,-0.9998238894011791,-0.9990609952328098,-0.9634754755131382,1.0,,-1.0,-0.9449111825230676,1.0,,-0.9233805168766387,-0.6235477811794194,0.9959509134725475,0.8953453270691031,0.12690782930800926,,-0.9967482342385352,1.0,1.0,,0.9916709412228285,-0.7130109675788165,,,1.0,,0.9592457811240775,0.990519260120297,0.9929111578643166,1.0,0.9209530546318191,-0.8042957437882221,,0.9575058014734608,-0.8522183545948283,-0.899508132411075,0.8438272720983098,0.9555840919379317,-0.4525793451950805,0.8421216026158477,-0.5760555989610798,-0.9352868499880791,0.848870068407767,1.0,-0.8851925731008301,-0.7710759196268476,0.48795003647426555,0.2991488542333145,,0.9635434480248627,-0.9713016775255172,0.35430739740106604,0.1866451090164399,0.8824882222794218,0.19783238950377888,-0.4700109866929746,0.9101475178379062
1.5,-0.5559931649445,,,0.41437397588655805,1.0,-0.48968563008923477,,,-0.5251352385420921,-0.4098373226127419,-0.22866139334555421,0.3573790380361725,-0.0931499823785567,0.15777508587408837,0.4746603861976176,1.0,,,-0.13980360711401787,,,,,,,0.3757841204212774,0.4751887027998985,0.9913619780268311,1.0,,-1.0000000000000002,,,,-0.5784693560706057,,-0.37587519685914,,,0.4787920631846478,-0.4061538342717752,-0.33056006185984954,,,-0.1661220762155667,-0.1661220762155667,,,,-0.9999999999999998,,0.30372579010730916,,-0.4098373226127419,,,-0.22407416833461333,0.22497965661536481,-0.3141975398608699,0.23524676624521287,0.12960856561408274,,,0.16394484946060708,-0.10588814055207846,0.4990107148726582,0.4366167716935841,0.28921543050659265,-0.34240904253475496,-1.0,,,0.44805636068830346,,0.06078676560576853,,-0.41170114870923646,-0.4562588510350037,1.0,,-1.0,,,,-0.9271726499455308,-0.18687206164818831,0.429242652073796,,-0.3860518528237875,,,,,,0.79441357759089,-0.20762171709164673,,,,,0.4163877955223993,0.44775566688782914,0.5505287762055241,,0.3921604832544039,-0.2803526573856752,,0.4694313875874993,-0.888034256235936,-0.3573737737856379,0.9098424160282674,0.3757841204212774,0.06365322922851177,0.27026947931702616,-0.03178049750508251,-0.16978051048270854,,1.0,-0.22153186684905374,-0.33030997918556587,,0.21585991722634287,,0.4683765484701471,-0.44680206288787694,,0.5350253113699238,0.24209232305334163,0.09461841140466151,-0.08676366482143728,0.49170232742258235
1.a,0.3472071874686216,-0.8660254037844395,0.10807241355304359,-0.50709255283711,-0.48968563008923477,1.0,,-0.2683281572999752,-0.07113865515595666,-4.49353084043327e-17,-0.03044577370399277,-0.2971571370159538,-0.25705240087710796,0.6865893732701336,-0.47466038619761763,,1.0,,-0.48795003647426655,,0.23029311092999954,,,,,-0.5063235419122054,-0.04637388957601679,-0.521526969810751,-0.48968563008923477,,,,,,0.09937201294289887,,0.342986655237905,,,-0.45450661289392785,0.4903758885111536,-0.4714045207910317,,,0.30709417089917657,0.30709417089917657,,,-0.8935220934857988,1.0,,0.2633318918390509,,-4.49353084043327e-17,,,0.29329252637486236,0.4478535949477643,0.5670188306729091,0.02887103792619552,0.544968205153565,,,-0.02505081633086031,-0.31929128953353936,-0.5786441082472353,-0.5298857816343034,-0.201769406621785,0.3800830792818035,0.9999999999999999,,,-0.2039652371792965,,-0.1264911064067352,-0.12288268422851506,0.49560262924127463,0.47406373028093984,-1.0,,1.0,-0.14213381090374105,1.0,,0.47368421052631576,0.33073420335460985,-0.47786821338125746,-0.07705141285294188,-0.12690782930800917,,0.8229198469387176,1.0000000000000002,1.0,,-0.20289850241565927,-0.16264885961624606,,,,,-0.28723627463553447,-0.5329708913388167,-0.2888781739212486,,-0.9924055131777694,0.3545473096376271,,-0.6100425384628332,0.4582868421175619,0.3171447859879796,-0.6091219222711827,-0.5063235419122054,0.3009587981254077,-0.37088482014224133,0.047711872361369756,0.7496746909411064,0.23029311092999954,-1.0,0.3701246385503345,-0.13125187658782897,-0.44721359549995787,0.33085006785272686,,-0.5984765044221153,0.4000006556425839,0.160725298851371,-0.15030925972867,-0.2122136811275012,-0.09201136205552829,0.32259285975297525,-0.19207610308874856
10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.4,0.8972383754766668,0.8660254037844396,0.8088924520873493,-0.9563820714895629,,-0.2683281572999752,,1.0,-0.4147197240362874,0.9999999999999999,-0.07207223787567726,-0.7807310177370121,-0.8924143839948853,-1.0,-1.0,,1.0,,,,-0.8593547254538628,,,,,-0.8009041552777186,-0.7778174593052021,-0.7179705047647711,,,,,,,-0.3902521318514427,,0.9848620428044382,,,-0.964522841440698,0.954483991425711,,,,-0.2998932956439221,-0.2998932956439221,,,-0.27758879638260736,,,0.6079803895498638,,0.9999999999999999,,,0.9641250641025416,0.657292944657672,0.46519469483240533,0.3616936181394676,-0.6862097960934629,,,0.28419776551918036,-0.21171803373859108,-0.9344464530522716,-0.9730879107476892,-0.3934884485635711,0.913071797765579,,,,-0.8746666666666665,,0.43124298947405054,0.9525499886676831,0.9542531022572229,0.8975214566241794,,,,0.8635060518172721,-1.0,,0.5,0.6883333617524334,-0.9957678174451668,-0.7753148860571076,-1.0000000000000002,,0.9034987371169899,-1.0,-1.0,,-1.0,0.8350055522429678,,,,,-0.954802508978231,-0.9333333333333336,-0.9427100356633535,,,0.8251603799409463,,-0.8913376232498487,0.9030617256233924,0.8577313798827614,-0.8022243510928457,-0.8009041552777186,0.5717878004120299,-0.8615832753939863,0.35811147934694537,-1.0,-0.8593547254538628,,0.7160390103945321,0.494906723887525,-0.5333333333333322,-0.7889367619587339,,-0.9149947094324369,0.8958161940679411,-0.7744037126475147,0.0486287551289473,-0.89251072447511,-0.4948052366440954,0.33393758955913155,-0.7797699606334775
10.5,-0.0997778611450985,0.9625043556288096,-0.4347328675176746,-0.3553792574577962,-0.5251352385420921,-0.07113865515595666,,-0.4147197240362874,1.0,0.8424768740607207,0.11079010814198263,-0.7352625077076379,0.5269507252961703,0.09281103562350815,-0.35525659128178133,-1.0,-1.0,,-0.07565618128224072,,0.39497026772716753,,1.0000000000000002,,,-0.06707791956918437,-0.13921503430758628,-0.7887992563222724,-0.5251352385420921,,0.9724554139451631,,,,0.9997585931608298,,0.8932105562016656,,,-0.29165838194103955,0.3524140862455446,-0.4552208599483922,,,0.03924660651632527,0.03924660651632527,,,0.7764464575044688,0.9999999999999999,,-0.8383285606683031,,0.8424768740607207,,,-0.20198894322095004,0.2130538478996189,-0.3912321052350197,-0.2413999071109995,-0.6140723768703329,,,-0.48534083898133745,0.5059586440539005,-0.29994496727528025,-0.2105110577773657,0.29243373325808025,-0.2187989203705506,1.0,,,-0.19279196419339875,,-0.050212152513734655,-0.5118960039894462,0.012824523942684329,-0.04869350929868652,-1.0,,1.0,-0.3254244316449258,-1.0,,0.9126633926359095,-0.41888003458286516,-0.18833495262172548,0.5399644563720292,0.9518751980984677,,-0.7854874624792768,-1.0,1.0000000000000002,,-0.9956563815368225,0.13756860461415016,,,-1.0,,-0.629751473282974,-0.2973668076758923,0.05730420185157697,-0.9999999999999998,-0.3881274686338135,-0.4035384569747005,,0.12358473608457565,0.3329339304735739,-0.30526536629757334,-0.28335049568859594,-0.06707791956918437,-0.7265545114290952,0.3807603459520863,0.2249997301197176,0.42013140171242347,0.39497026772716753,1.0000000000000002,0.22899902724652277,0.6425550017659332,0.8511879308990005,0.08337495274019874,,-0.20277360222721086,0.2284835289367573,-0.22259288576955916,-0.4203328401551275,0.44495518851886784,0.39869953222794674,-0.4243209693881747,-0.5784506867974077
10.6,0.9014410719200638,0.8660254037844394,,-0.828078671210825,-0.4098373226127419,-4.49353084043327e-17,,0.9999999999999999,0.8424768740607207,1.0,0.5182455236672951,-0.8680516230188654,0.05565150839594202,0.23362021135876535,1.0,,,,-0.40824829046386296,,-0.8651358074963378,,1.0000000000000002,,,-0.8380712656741901,-0.3227486121839514,-0.48463620044439615,-0.4098373226127419,,,,,,0.91689287875003,,0.872257831813895,,,-0.9166476871722665,0.8134021370430229,-0.408248290463863,,,-0.4175109960226225,-0.4175109960226225,,,,0.9999999999999999,,-0.9034288531349436,,1.0,,,0.5090365490652867,0.4431528365476035,-0.48261081887391283,-0.11560254455624196,-0.36277398282154943,,,-0.798268084410836,-0.19836287522519933,-0.8110982785185215,-0.8477393856708513,0.45208623223789857,0.9525793444156802,,,,-0.8736986027687493,,0.6645939079964468,0.8461538461538461,0.8758855983096293,0.9640621281639628,-0.9999999999999998,,1.0,0.5,-1.0,,0.6882472016116853,-0.9999999999999999,-0.923532031992084,-0.5,1.0,,,-0.9999999999999999,,,-0.9232108769966986,0.6836818550679538,,,,,-0.824751180865303,-0.8528028654224418,-0.8030662827201341,,,0.3704999901934476,,-0.6666666666666667,0.7903615888232355,0.3823595564509366,-0.6458719541121757,-0.8380712656741901,-0.8333869221783349,-0.4181743771296316,0.8560992833228996,0.5006500544456951,-0.8651358074963378,,0.8602680757063526,0.5721136661964183,0.49999999999999994,-0.1516219647667552,,-0.7883502178933668,0.8965885231518617,,-0.7429916695420116,0.7918457551211636,0.3776306091725728,,-0.9883134368042004
