Target,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.9,15.a,15.b
15.1,1.0,,,-0.8898966772918402,0.9626898924656542,-0.7963375323670149,,,-0.16917990916159234,-0.16917990916159234
15.2,,,,,,,,,,
15.3,,,,,,,,,,
15.4,-0.8898966772918402,,,1.0,-0.9750992008402175,0.6089083229420954,,,0.28658500893400196,0.28658500893400196
15.5,0.9626898924656542,,,-0.9750992008402175,1.0,-0.8750226780776784,,,-0.3066649809595161,-0.3066649809595161
15.6,-0.7963375323670149,,,0.6089083229420954,-0.8750226780776784,1.0,,,,
15.8,,,,,,,,,,
15.9,,,,,,,,,,
15.a,-0.16917990916159234,,,0.28658500893400196,-0.3066649809595161,,,,1.0,1.0
15.b,-0.16917990916159234,,,0.28658500893400196,-0.3066649809595161,,,,1.0,1.0
