Target,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.a,3.b,3.c,3.d
3.1,1.0,0.9996198888155516,0.957222555570249,,,,0.9496471369660593,-1.0,,0.8846153846153849,0.6661691467338889,-0.9993026965192067,-0.8944147260890367
3.2,0.9996198888155516,1.0,0.9701293860570809,-1.0,,1.0,0.9423271988658243,-1.0,,0.9156839843709018,0.6368769979765507,-0.9966694241332149,-0.9004486516641498
3.3,0.957222555570249,0.9701293860570809,1.0,-1.0,,1.0,0.8535146175321899,-1.0,,0.8272716061913482,0.6106436029772586,-0.9782314937884022,-0.9061551962806748
3.4,,-1.0,-1.0,1.0,,-1.0,,,,,1.0,0.9999999999999998,
3.5,,,,,,,,,,,,,
3.6,,1.0,1.0,-1.0,,1.0,,,,,-1.0,-1.0,
3.7,0.9496471369660593,0.9423271988658243,0.8535146175321899,,,,1.0,-1.0,,1.0000000000000002,0.6735753140545624,-0.9826756439923767,-0.9385638197228469
3.8,-1.0,-1.0,-1.0,,,,-1.0,1.0,,-1.0,1.0,1.0,1.0
3.9,,,,,,,,,,,,,
3.a,0.8846153846153849,0.9156839843709018,0.8272716061913482,,,,1.0000000000000002,-1.0,,1.0,-0.6882472016116853,-0.9335983298345889,-1.0
3.b,0.6661691467338889,0.6368769979765507,0.6106436029772586,1.0,,-1.0,0.6735753140545624,1.0,,-0.6882472016116853,1.0,-0.5827346570255915,-0.3654958791997336
3.c,-0.9993026965192067,-0.9966694241332149,-0.9782314937884022,0.9999999999999998,,-1.0,-0.9826756439923767,1.0,,-0.9335983298345889,-0.5827346570255915,1.0,0.9804697423478578
3.d,-0.8944147260890367,-0.9004486516641498,-0.9061551962806748,,,,-0.9385638197228469,1.0,,-1.0,-0.3654958791997336,0.9804697423478578,1.0
