UniqueID,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q1  ,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q2  ,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q3  ,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q4  ,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q5  ,SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             _T  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q1  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q2  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q3  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q4  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q5  ,SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             _T  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             Q1  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             Q2  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             Q3  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             Q4  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             Q5  ,SE_TOT_CPLR BOTHSEX        UPPSEC ALLAREA             _T  
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q1  ,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q2  ,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q3  ,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q4  ,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q5  ,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0
SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             _T  ,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q1  ,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q2  ,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999
SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q3  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
SE_TOT_CPLR BOTHSEX        PRIMAR ALLAREA             Q4  ,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998
