UniqueID,SE_GPI_PART                         ,SE_GPI_PTNPRE                         ,SE_LGP_ACHI        SKILL_MATH LOWSEC                ,SE_LGP_ACHI        SKILL_MATH PRIMAR                ,SE_LGP_ACHI        SKILL_READ LOWSEC                ,SE_NAP_ACHI        SKILL_MATH LOWSEC                ,SE_NAP_ACHI        SKILL_MATH PRIMAR                ,SE_NAP_ACHI        SKILL_READ LOWSEC                ,SE_TOT_GPI        SKILL_MATH LOWSEC                ,SE_TOT_GPI        SKILL_MATH PRIMAR                ,SE_TOT_GPI        SKILL_READ LOWSEC                ,SE_TOT_RUPI        SKILL_MATH LOWSEC                ,SE_TOT_RUPI        SKILL_MATH PRIMAR                ,SE_TOT_RUPI        SKILL_READ LOWSEC                ,SE_TOT_SESPI        SKILL_MATH LOWSEC                ,SE_TOT_SESPI        SKILL_MATH PRIMAR                ,SE_TOT_SESPI        SKILL_READ LOWSEC                
SE_GPI_PART                         ,1.0,0.9913712162677296,,,,,,,,,,,,,,,
SE_GPI_PTNPRE                         ,0.9913712162677296,1.0,1.0,,-1.0,-1.0000000000000002,,-1.0,1.0,,1.0,-1.0000000000000002,,-1.0,0.9999999999999999,,-1.0000000000000002
SE_LGP_ACHI        SKILL_MATH LOWSEC                ,,1.0,1.0,,0.10210372104799662,-0.9999999999999999,,-1.0,0.06769634435201786,,0.9575372255362875,-1.0,,-1.0,0.9963329152037077,,0.003994466001594669
SE_LGP_ACHI        SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,
SE_LGP_ACHI        SKILL_READ LOWSEC                ,,-1.0,0.10210372104799662,,1.0,1.0,,1.0,-0.9855796699587601,,-0.18903477312421624,1.0000000000000002,,1.0,0.01661524332687821,,0.9951736718984929
SE_NAP_ACHI        SKILL_MATH LOWSEC                ,,-1.0000000000000002,-0.9999999999999999,,1.0,1.0,,1.0,-0.9999999999999998,,-1.0,1.0,,1.0000000000000002,-1.0,,1.0
SE_NAP_ACHI        SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,
SE_NAP_ACHI        SKILL_READ LOWSEC                ,,-1.0,-1.0,,1.0,1.0,,1.0,-1.0000000000000002,,-1.0,1.0000000000000002,,1.0000000000000002,-0.9999999999999998,,1.0000000000000002
SE_TOT_GPI        SKILL_MATH LOWSEC                ,,1.0,0.06769634435201786,,-0.9855796699587601,-0.9999999999999998,,-1.0000000000000002,1.0,,0.35247004196279974,-1.0,,-1.0,0.15281303454505696,,-0.9974276008410802
SE_TOT_GPI        SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,
SE_TOT_GPI        SKILL_READ LOWSEC                ,,1.0,0.9575372255362875,,-0.18903477312421624,-1.0,,-1.0,0.35247004196279974,,1.0,-1.0,,-1.0,0.9786939813465753,,-0.2844825128824327
SE_TOT_RUPI        SKILL_MATH LOWSEC                ,,-1.0000000000000002,-1.0,,1.0000000000000002,1.0,,1.0000000000000002,-1.0,,-1.0,1.0,,1.0,-1.0000000000000002,,1.0
SE_TOT_RUPI        SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,
SE_TOT_RUPI        SKILL_READ LOWSEC                ,,-1.0,-1.0,,1.0,1.0000000000000002,,1.0000000000000002,-1.0,,-1.0,1.0,,1.0,-1.0,,1.0
SE_TOT_SESPI        SKILL_MATH LOWSEC                ,,0.9999999999999999,0.9963329152037077,,0.01661524332687821,-1.0,,-0.9999999999999998,0.15281303454505696,,0.9786939813465753,-1.0000000000000002,,-1.0,1.0,,-0.08158071777162529
SE_TOT_SESPI        SKILL_MATH PRIMAR                ,,,,,,,,,,,,,,,,,
SE_TOT_SESPI        SKILL_READ LOWSEC                ,,-1.0000000000000002,0.003994466001594669,,0.9951736718984929,1.0,,1.0000000000000002,-0.9974276008410802,,-0.2844825128824327,1.0,,1.0,-0.08158071777162529,,1.0
