UniqueID,SE_ACC_HNDWSH         LOWSEC                ,SE_ACC_HNDWSH         PRIMAR                ,SE_ACC_HNDWSH         UPPSEC                ,SE_ACS_CMPTR         LOWSEC                ,SE_ACS_CMPTR         PRIMAR                ,SE_ACS_CMPTR         SECOND                ,SE_ACS_CMPTR         UPPSEC                ,SE_ACS_ELECT         LOWSEC                ,SE_ACS_ELECT         PRIMAR                ,SE_ACS_ELECT         UPPSEC                ,SE_ACS_H2O         LOWSEC                ,SE_ACS_H2O         PRIMAR                ,SE_ACS_H2O         UPPSEC                ,SE_ACS_INTNT         LOWSEC                ,SE_ACS_INTNT         SECOND                ,SE_ACS_INTNT         UPPSEC                ,SE_ACS_SANIT         LOWSEC                ,SE_ACS_SANIT         PRIMAR                ,SE_ACS_SANIT         UPPSEC                
SE_ACC_HNDWSH         LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_ACC_HNDWSH         PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_ACC_HNDWSH         UPPSEC                ,,,,,,,,,,,,,,,,,,,
SE_ACS_CMPTR         LOWSEC                ,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,
SE_ACS_CMPTR         PRIMAR                ,,,,1.0,1.0,,,1.0,1.0000000000000002,1.0000000000000002,,1.0,1.0,,,1.0,,,
SE_ACS_CMPTR         SECOND                ,,,,,,,,,,,,,,,,,,,
SE_ACS_CMPTR         UPPSEC                ,,,,,,,1.0,0.9999999999999998,1.0,,,1.0,-0.9999999999999998,,,,,,
SE_ACS_ELECT         LOWSEC                ,,,,1.0,1.0,,0.9999999999999998,1.0,0.9972772685986033,1.0,1.0,0.9254674752692398,0.24447569280373532,,,1.0,,,
SE_ACS_ELECT         PRIMAR                ,,,,1.0,1.0000000000000002,,1.0,0.9972772685986033,1.0,1.0000000000000002,1.0,0.9347565579581556,0.26893242025030156,,,1.0000000000000002,,,
SE_ACS_ELECT         UPPSEC                ,,,,1.0,1.0000000000000002,,,1.0,1.0000000000000002,1.0,,1.0,1.0,,,1.0,,,
SE_ACS_H2O         LOWSEC                ,,,,,,,,1.0,1.0,,1.0,0.9999999999999998,1.0,,,,,,
SE_ACS_H2O         PRIMAR                ,,,,1.0,1.0,,1.0,0.9254674752692398,0.9347565579581556,1.0,0.9999999999999998,1.0,0.5935860284252953,,,1.0000000000000002,,,
SE_ACS_H2O         UPPSEC                ,,,,1.0,1.0,,-0.9999999999999998,0.24447569280373532,0.26893242025030156,1.0,1.0,0.5935860284252953,1.0,,,0.9999999999999998,,,
SE_ACS_INTNT         LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_ACS_INTNT         SECOND                ,,,,,,,,,,,,,,,,,,,
SE_ACS_INTNT         UPPSEC                ,,,,1.0,1.0,,,1.0,1.0000000000000002,1.0,,1.0000000000000002,0.9999999999999998,,,1.0,,,
SE_ACS_SANIT         LOWSEC                ,,,,,,,,,,,,,,,,,,,
SE_ACS_SANIT         PRIMAR                ,,,,,,,,,,,,,,,,,,,
SE_ACS_SANIT         UPPSEC                ,,,,,,,,,,,,,,,,,,,
