,UniqueID,Goal,Target,Indicator,SeriesCode
587,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
588,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
589,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
590,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
591,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
592,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
593,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
594,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
595,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
596,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
597,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
598,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
599,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
600,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
601,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
602,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
603,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
604,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
605,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
606,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
607,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
608,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
609,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
610,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
611,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
612,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM
613,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM
614,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM
615,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM
616,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM
617,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
618,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
619,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
620,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
621,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
622,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
623,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
624,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
625,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI
