,UniqueID,Goal,Target,Indicator,SeriesCode
1015,SH_IHR_CAPS                        IHR02 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1016,SH_IHR_CAPS                        IHR03 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1017,SH_IHR_CAPS                        IHR06 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1018,SH_IHR_CAPS                        IHR10 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1019,SH_IHR_CAPS                        IHR01 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1020,SH_IHR_CAPS                        IHR11 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1021,SH_IHR_CAPS                        IHR04 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1022,SH_IHR_CAPS                        IHR12 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1023,SH_IHR_CAPS                        IHR13 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1024,SH_IHR_CAPS                        IHR07 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1025,SH_IHR_CAPS                        IHR05 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1026,SH_IHR_CAPS                        IHR08 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1027,SH_IHR_CAPS                        IHR09 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1028,SH_IHR_CAPS                        IHR05 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1029,SH_IHR_CAPS                        IHR04 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1030,SH_IHR_CAPS                        IHR13 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1031,SH_IHR_CAPS                        IHR09 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1032,SH_IHR_CAPS                        IHR08 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1033,SH_IHR_CAPS                        IHR07 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1034,SH_IHR_CAPS                        IHR11 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1035,SH_IHR_CAPS                        IHR03 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1036,SH_IHR_CAPS                        IHR12 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1037,SH_IHR_CAPS                        IHR02 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1038,SH_IHR_CAPS                        IHR01 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1039,SH_IHR_CAPS                        IHR10 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1040,SH_IHR_CAPS                        IHR06 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1041,SH_IHR_CAPS                        IHR08 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1042,SH_IHR_CAPS                        IHR09 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1043,SH_IHR_CAPS                        IHR13 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1044,SH_IHR_CAPS                        IHR04 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1045,SH_IHR_CAPS                        IHR05 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1046,SH_IHR_CAPS                        IHR06 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1047,SH_IHR_CAPS                        IHR07 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1048,SH_IHR_CAPS                        IHR01 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1049,SH_IHR_CAPS                        IHR10 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1050,SH_IHR_CAPS                        IHR11 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1051,SH_IHR_CAPS                        IHR12 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1052,SH_IHR_CAPS                        IHR03 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1053,SH_IHR_CAPS                        IHR02 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1054,SH_IHR_CAPS                        IHR06 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1055,SH_IHR_CAPS                        IHR07 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1056,SH_IHR_CAPS                        IHR02 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1057,SH_IHR_CAPS                        IHR12 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1058,SH_IHR_CAPS                        IHR11 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1059,SH_IHR_CAPS                        IHR04 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1060,SH_IHR_CAPS                        IHR05 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1061,SH_IHR_CAPS                        IHR03 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1062,SH_IHR_CAPS                        IHR09 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1063,SH_IHR_CAPS                        IHR08 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1064,SH_IHR_CAPS                        IHR13 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1065,SH_IHR_CAPS                        IHR10 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1066,SH_IHR_CAPS                        IHR01 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1067,SH_IHR_CAPS                        IHR06 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1068,SH_IHR_CAPS                        IHR11 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1069,SH_IHR_CAPS                        IHR10 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1070,SH_IHR_CAPS                        IHR05 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1071,SH_IHR_CAPS                        IHR04 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1072,SH_IHR_CAPS                        IHR03 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1073,SH_IHR_CAPS                        IHR09 ,3.0,3.d,3.d.1,SH_IHR_CAPS
1074,SH_IHR_CAPS                        IHR07 ,3.0,3.d,3.d.1,SH_IHR_CAPS
