,UniqueID,Goal,Target,Indicator,SeriesCode
2925,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2926,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2927,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2928,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2929,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2930,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2931,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2932,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML
2933,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2934,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2935,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2936,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2937,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2938,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2939,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
2940,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML
