UniqueID,SI_COV_BENFTS BOTHSEX                        ,SI_COV_CHLD BOTHSEX                        ,SI_COV_DISAB BOTHSEX                        ,SI_COV_LMKT                       Q1  ,SI_COV_LMKT                       _T  ,SI_COV_MATNL FEMALE                        ,SI_COV_PENSN BOTHSEX                        ,SI_COV_POOR BOTHSEX                        ,SI_COV_SOCAST                       Q1  ,SI_COV_SOCAST                       _T  ,SI_COV_SOCINS                       Q1  ,SI_COV_SOCINS                       _T  ,SI_COV_UEMP BOTHSEX                        ,SI_COV_UEMP FEMALE                        ,SI_COV_UEMP MALE                        ,SI_COV_VULN BOTHSEX                        ,SI_COV_WKINJRY BOTHSEX                        
SI_COV_BENFTS BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_CHLD BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_DISAB BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_LMKT                       Q1  ,,,,1.0,0.8975122088491543,,,,-0.30088124457994064,-0.3046725825325388,-1.000000000000001,-1.0000000000000013,,,,,
SI_COV_LMKT                       _T  ,,,,0.8975122088491543,1.0,,,,-0.690599453009507,-0.6934710672023993,-1.0000000000000004,-1.0000000000000002,,,,,
SI_COV_MATNL FEMALE                        ,,,,,,,,,,,,,,,,,
SI_COV_PENSN BOTHSEX                        ,,,,,,,1.0,,,,,,,,,,
SI_COV_POOR BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_SOCAST                       Q1  ,,,,-0.30088124457994064,-0.690599453009507,,,,1.0,0.9999920875065867,1.0,1.0000000000000002,,,,,
SI_COV_SOCAST                       _T  ,,,,-0.3046725825325388,-0.6934710672023993,,,,0.9999920875065867,1.0,0.9999999999999996,0.9999999999999997,,,,,
SI_COV_SOCINS                       Q1  ,,,,-1.000000000000001,-1.0000000000000004,,,,1.0,0.9999999999999996,1.0,1.0,,,,,
SI_COV_SOCINS                       _T  ,,,,-1.0000000000000013,-1.0000000000000002,,,,1.0000000000000002,0.9999999999999997,1.0,1.0,,,,,
SI_COV_UEMP BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_UEMP FEMALE                        ,,,,,,,,,,,,,,,,,
SI_COV_UEMP MALE                        ,,,,,,,,,,,,,,,,,
SI_COV_VULN BOTHSEX                        ,,,,,,,,,,,,,,,,,
SI_COV_WKINJRY BOTHSEX                        ,,,,,,,,,,,,,,,,,1.0
