UniqueID,SG_INT_MBRDEV                         ADB,SG_INT_MBRDEV                         FSB,SG_INT_MBRDEV                         IBRD,SG_INT_MBRDEV                         IFC,SG_INT_MBRDEV                         IMF,SG_INT_MBRDEV                         UNGA,SG_INT_MBRDEV                         UNSC,SG_INT_MBRDEV                         WTO,SG_INT_VRTDEV                         ADB,SG_INT_VRTDEV                         FSB,SG_INT_VRTDEV                         IBRD,SG_INT_VRTDEV                         IFC,SG_INT_VRTDEV                         IMF,SG_INT_VRTDEV                         UNGA,SG_INT_VRTDEV                         UNSC,SG_INT_VRTDEV                         WTO
SG_INT_MBRDEV                         ADB,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         FSB,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IBRD,,,1.0,-0.3162277660164514,1.0,,,0.9234841160326442,0.5960512881712235,0.31622776601778135,0.5044189158022327,0.4182900806410435,-0.5691985516715978,,,0.9235947872314331
SG_INT_MBRDEV                         IFC,,,-0.3162277660164514,1.0,-0.3162277660168088,,,-0.29203131896500784,0.08044667207243568,0.20000000000056994,-0.2785008341018175,-0.9856795454154214,0.18086103693789177,,,-0.29129501437939964
SG_INT_MBRDEV                         IMF,,,1.0,-0.3162277660168088,1.0,,,0.9234841160326442,0.5960512881712235,0.31622776601778135,0.5044189158022327,0.4182900806410435,-0.5691985516715978,,,0.9235947872314331
SG_INT_MBRDEV                         UNGA,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         UNSC,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         WTO,,,0.9234841160326442,-0.29203131896500784,0.9234841160326442,,,1.0,0.6816935716659717,0.29203131896590484,0.2648682406854407,0.38628424536601763,-0.8410651737532311,,,0.9999969817299279
SG_INT_VRTDEV                         ADB,,,0.5960512881712235,0.08044667207243568,0.5960512881712235,,,0.6816935716659717,1.0,,0.025355402755649955,0.04630359018961764,-0.6102317165052517,,,0.681694759033313
SG_INT_VRTDEV                         FSB,,,0.31622776601778135,0.20000000000056994,0.31622776601778135,,,0.29203131896590484,,1.0,0.6932803178394563,-0.10038411227979895,-0.17501719202479368,,,0.29438022194480645
SG_INT_VRTDEV                         IBRD,,,0.5044189158022327,-0.2785008341018175,0.5044189158022327,,,0.2648682406854407,0.025355402755649955,0.6932803178394563,1.0,0.3844809145527518,0.14696734522684457,,,0.2664400574777126
SG_INT_VRTDEV                         IFC,,,0.4182900806410435,-0.9856795454154214,0.4182900806410435,,,0.38628424536601763,0.04630359018961764,-0.10038411227979895,0.3844809145527518,1.0,-0.2385202784261092,,,0.38573237014609235
SG_INT_VRTDEV                         IMF,,,-0.5691985516715978,0.18086103693789177,-0.5691985516715978,,,-0.8410651737532311,-0.6102317165052517,-0.17501719202479368,0.14696734522684457,-0.2385202784261092,1.0,,,-0.840889863236199
SG_INT_VRTDEV                         UNGA,,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         UNSC,,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         WTO,,,0.9235947872314331,-0.29129501437939964,0.9235947872314331,,,0.9999969817299279,0.681694759033313,0.29438022194480645,0.2664400574777126,0.38573237014609235,-0.840889863236199,,,1.0
