UniqueID,TimePeriod,SG_INT_MBRDEV                         ADB,SG_INT_MBRDEV                         FSB,SG_INT_MBRDEV                         IBRD,SG_INT_MBRDEV                         IFC,SG_INT_MBRDEV                         IMF,SG_INT_MBRDEV                         UNGA,SG_INT_MBRDEV                         UNSC,SG_INT_MBRDEV                         WTO,SG_INT_VRTDEV                         ADB,SG_INT_VRTDEV                         FSB,SG_INT_VRTDEV                         IBRD,SG_INT_VRTDEV                         IFC,SG_INT_VRTDEV                         IMF,SG_INT_VRTDEV                         UNGA,SG_INT_VRTDEV                         UNSC,SG_INT_VRTDEV                         WTO
TimePeriod,1.0,,,-0.828078671210825,0.39279220242478624,-0.828078671210825,0.0,,-0.8295639309012222,-0.5966809140791621,-0.6546536707079771,-0.694924900727332,-0.5176587866172899,0.6077519139473734,,,-0.8306190859088104
SG_INT_MBRDEV                         ADB,,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         FSB,,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IBRD,-0.828078671210825,,,1.0,-0.31622776601683794,1.0,2.793758823280759e-14,,0.9234841160326395,0.5960512881712364,0.316227766016838,0.5044189158022322,0.4182900806410343,-0.5691985516715982,,,0.9235947872314333
SG_INT_MBRDEV                         IFC,0.39279220242478624,,,-0.31622776601683794,1.0,-0.31622776601683794,-1.2412670766223952e-11,,-0.29203131896503604,0.08044667207240007,0.2,-0.27850083410184945,-0.9856795454155401,0.1808610369379115,,,-0.2912950143794336
SG_INT_MBRDEV                         IMF,-0.828078671210825,,,1.0,-0.31622776601683794,1.0,2.793758823280759e-14,,0.9234841160326395,0.5960512881712364,0.316227766016838,0.5044189158022322,0.4182900806410343,-0.5691985516715982,,,0.9235947872314333
SG_INT_MBRDEV                         UNGA,0.0,,,2.793758823280759e-14,-1.2412670766223952e-11,2.793758823280759e-14,1.0,,0.0,,-1.9860273225848075e-11,2.6231161239331996e-15,-3.301848124263847e-14,0.0,,,-3.191305480439536e-15
SG_INT_MBRDEV                         UNSC,,,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         WTO,-0.8295639309012222,,,0.9234841160326395,-0.29203131896503604,0.9234841160326395,0.0,,1.0,0.6816935716659597,0.292031318965036,0.2648682406854374,0.3862842453660072,-0.841065173753236,,,0.9999969817299305
SG_INT_VRTDEV                         ADB,-0.5966809140791621,,,0.5960512881712364,0.08044667207240007,0.5960512881712364,,,0.6816935716659597,1.0,,0.025355402755645656,0.04630359018960161,-0.6102317165052483,,,0.6816947590332969
SG_INT_VRTDEV                         FSB,-0.6546536707079771,,,0.316227766016838,0.2,0.316227766016838,-1.9860273225848075e-11,,0.292031318965036,,1.0,0.6932803178415096,-0.10038411228011151,-0.1750171920253131,,,0.294380221945671
SG_INT_VRTDEV                         IBRD,-0.694924900727332,,,0.5044189158022322,-0.27850083410184945,0.5044189158022322,2.6231161239331996e-15,,0.2648682406854374,0.025355402755645656,0.6932803178415096,1.0,0.3844809145527407,0.14696734522684202,,,0.2664400574777093
SG_INT_VRTDEV                         IFC,-0.5176587866172899,,,0.4182900806410343,-0.9856795454155401,0.4182900806410343,-3.301848124263847e-14,,0.3862842453660072,0.04630359018960161,-0.10038411228011151,0.3844809145527407,1.0,-0.23852027842610782,,,0.3857323701460913
SG_INT_VRTDEV                         IMF,0.6077519139473734,,,-0.5691985516715982,0.1808610369379115,-0.5691985516715982,0.0,,-0.841065173753236,-0.6102317165052483,-0.1750171920253131,0.14696734522684202,-0.23852027842610782,1.0,,,-0.8408898632361993
SG_INT_VRTDEV                         UNGA,,,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         UNSC,,,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         WTO,-0.8306190859088104,,,0.9235947872314333,-0.2912950143794336,0.9235947872314333,-3.191305480439536e-15,,0.9999969817299305,0.6816947590332969,0.294380221945671,0.2664400574777093,0.3857323701460913,-0.8408898632361993,,,1.0
