UniqueID,TimePeriod,SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,SL_ISV_IFEM BOTHSEX                    NONAGR    ,SL_ISV_IFEM BOTHSEX                    TOTAL    ,SL_ISV_IFEM FEMALE                    ISIC4_A    ,SL_ISV_IFEM FEMALE                    NONAGR    ,SL_ISV_IFEM FEMALE                    TOTAL    ,SL_ISV_IFEM MALE                    ISIC4_A    ,SL_ISV_IFEM MALE                    NONAGR    ,SL_ISV_IFEM MALE                    TOTAL    
TimePeriod,1.0,-0.8782184270634535,-0.9461049920764102,-0.9485661983403777,-0.7453559924999288,-0.9406705506504843,-0.9521386414800338,-0.8862974422219619,-0.9352868499880791,-0.9468950150315117
SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,-0.8782184270634535,1.0,0.9703176264408877,0.9781438169272367,0.9730323027961701,0.9682508024178743,0.9701691230506251,0.9997409854686129,0.9791298271598365,0.980437821618701
SL_ISV_IFEM BOTHSEX                    NONAGR    ,-0.9461049920764102,0.9703176264408877,1.0,0.9986474256118795,0.8946377187634528,0.9997112760764283,0.9997407994126751,0.9714039976208673,0.999126839619271,0.9979861169309838
SL_ISV_IFEM BOTHSEX                    TOTAL    ,-0.9485661983403777,0.9781438169272367,0.9986474256118795,1.0,0.9060323965729404,0.9972633808414304,0.9992175752616773,0.9798119124270195,0.9988472138762015,0.9999202694658335
SL_ISV_IFEM FEMALE                    ISIC4_A    ,-0.7453559924999288,0.9730323027961701,0.8946377187634528,0.9060323965729404,1.0,0.8936027073178545,0.8921719615196285,0.9693020207710992,0.9124925771832904,0.9103460110327856
SL_ISV_IFEM FEMALE                    NONAGR    ,-0.9406705506504843,0.9682508024178743,0.9997112760764283,0.9972633808414304,0.8936027073178545,1.0,0.9989285414761735,0.9688722133566251,0.9988234523988674,0.9964344959635391
SL_ISV_IFEM FEMALE                    TOTAL    ,-0.9521386414800338,0.9701691230506251,0.9997407994126751,0.9992175752616773,0.8921719615196285,0.9989285414761735,1.0,0.9717554228692751,0.9986059417435527,0.9986393442679731
SL_ISV_IFEM MALE                    ISIC4_A    ,-0.8862974422219619,0.9997409854686129,0.9714039976208673,0.9798119124270195,0.9693020207710992,0.9688722133566251,0.9717554228692751,1.0,0.979727843144674,0.9821146745389864
SL_ISV_IFEM MALE                    NONAGR    ,-0.9352868499880791,0.9791298271598365,0.999126839619271,0.9988472138762015,0.9124925771832904,0.9988234523988674,0.9986059417435527,0.979727843144674,1.0,0.9986295066283408
SL_ISV_IFEM MALE                    TOTAL    ,-0.9468950150315117,0.980437821618701,0.9979861169309838,0.9999202694658335,0.9103460110327856,0.9964344959635391,0.9986393442679731,0.9821146745389864,0.9986295066283408,1.0
