,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Substance use disorders],[Tariff regime (status)],[Severity of price levels],[Sex],[Deviation Level],[Mountain Elevation],[Parliamentary committees],[Mode of transportation],[Fiscal intervention stage],[Type of support],[Type of speed],[Policy instruments],[Policy Domains],[Counterpart],[Type of skill],[Education level],[Type of waste treatment],[Location],[Food Waste Sector],[Name of international agreement],[Reporting Type],[Freq],[Type of product],[Cause of death],[Report Ordinal],[Type of facilities],[Government_Name],[Observation Status],[Type of occupation],[Type of mobile technology],[Name of non-communicable disease],[Grounds of discrimination],[Units],[Level/Status],[Age],[Disability status],[Frequency of Chlorophyll-a concentration],[Activity],[Nature],[Sampling Stations],[Cities],[Level of requirement],[Quantile],[IHR Capacity],[Hazard type],[Migratory status],[Name of international institution]
0,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2012.0,9.5,2012,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
1,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2013.0,7.3,2013,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
2,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2014.0,6.2,2014,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
3,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2015.0,5.8,2015,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
4,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2016.0,5.2,2016,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
5,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2017.0,4.5,2017,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
6,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2018.0,3.6,2018,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
7,1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),360.0,Indonesia,2019.0,2.7,2019,,,,,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",,Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
71,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),360.0,Indonesia,2015.0,11.2,2015,,,,,"World Development Indicators database, World Bank",,"Source: Biro Pusat Statistik (BPS), Indonesia. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
72,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),360.0,Indonesia,2016.0,10.9,2016,,,,,"World Development Indicators database, World Bank",,"Source: Biro Pusat Statistik (BPS), Indonesia. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
