,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,2.b.1,7.1.1,3.d.2,17.18.3,7.3.1,3.9.3,7.1.2,17.18.2,17.8.1,11.5.1,4.5.1,16.a.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,8.b.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
13.1.3,1.0,-0.6761055520136798,0.4728081379794596,0.033007825047266716,-0.11553382684750538,0.5501250658917831,0.4844378126817852,-0.38493496966279367,-0.4424656600227827,-0.4131658292119787,-0.4937623734389446,-0.4446137090769552,,0.45873095099685574,0.4424656600227752,,0.523027145739231,,0.4163287991097235,,-0.464193104991072,-0.11553382684750538,-0.4594634654299359,,0.4539094700043571,-0.2629734706762946,0.31367222636687314,-0.41570310586919157,0.3549611385743219,0.44365621930480503,-0.35708299229550544,-0.18590467646241757,0.4934213405079948,-0.41910317844377676,,-0.4424656600227666,0.37927014066867687,-0.4028569456658099,-0.47649052766207606,0.5073696803227972,0.40004213896247726,-0.5088417810179598,0.45776596960264304,-0.24750452796333852,-0.6761055520136798,0.42604776024330515,0.37276395299505044,-0.44246566002276666,-0.43606211822911206,-0.5240934477190863,1.0,0.24446446207497663,0.4424656600227687,0.4692888852246604,1.0,-0.4950597963257422,0.4821187675671311,-0.40171293555452325,0.4736497102260255,-0.4680459808565691,0.21428707899922514,0.4424656600227666,-0.6761055520136798,0.23526404154049727,-0.456672822875861,0.4317427446412393,-0.2629734706762946,-0.5242602847545209,0.4463107013920324,0.3833309321570139,0.3898592552734598,0.4336236917843121,-0.23159294844165534,-0.11553382684750538,0.3739680467194793,-0.3671565909545249,-0.5543471206935432,-0.2551104936818635,-0.4424656600227653,0.4727214909448128,0.4736497102260255,-0.3778545227434901,0.29904961734749524,0.42528035892926336,0.07490655365914359,-0.39294135733841246,-0.6832083657498985,0.3251590823598016,0.3555856457392515,0.44462642471819563,-0.4546000117228377,-0.4424656600227719,-0.5624053876432556,0.09915903956555472
13.1.2,-0.6761055520136798,1.0,-0.62790287571089,-0.16127061706891363,-0.008632564808538206,-0.7519583251030365,-0.5536486079373235,0.6368902095909782,0.6454972243679011,0.6172638209163694,0.6152392027276955,0.7669649888473675,,-0.5585191314342227,-0.6454972243679009,,-0.6126525602280327,,-0.5970104962223465,,0.7355547562546444,-0.008632564808538206,0.6303998501167157,,-0.6343567544862024,0.072208080994303,-0.5290369761236194,0.46423834544262593,-0.5363120925812788,-0.6454269262347824,0.5952683399353993,0.591237387834237,-0.6306146406647157,0.6763723320186806,,0.6454972243679006,-0.46386068567305805,0.6389861239787382,-0.033453861182928334,-0.6297274182484491,0.20684878897226722,0.8730466256791796,-0.6204719176885632,0.1946943849950435,1.0,-0.614108245803057,-0.6422396150286986,0.6454972243679007,0.6290865995930722,0.6805975133131019,-0.6761055520136798,-0.15221139645057236,-0.6454972243679036,-0.21134343718583326,-0.6761055520136798,0.7413468032113995,-0.625113754327913,0.5638855575469264,-0.6510398423222948,0.5920440559905555,-0.010638220225993554,-0.6454972243679008,1.0,-0.2576026978733505,0.5439519722037298,-0.6241123003862752,0.072208080994303,0.725965626011565,-0.593912475701835,-0.6456716179318274,-0.6022914441217173,-0.6254125848204048,0.2802213766524747,-0.008632564808538206,-0.46939334336441924,0.35170389479130476,0.8234828885442637,-0.3542017681685071,0.6454972243679025,-0.6392103453719155,-0.6510398423222948,0.5205761025302086,-0.39782969001497587,-0.6097505930821668,-0.6399912550762799,0.21973891895627196,0.8295498624807311,-0.5232296371846189,-0.40428175561929286,-0.6614846607661066,0.6583707399103909,0.6454972243679163,0.6978518654233814,-0.5331016177641156
8.8.2,0.4728081379794596,-0.62790287571089,1.0,-0.013240626025567023,-0.41130204529588077,0.9212177087126505,0.9068576025748024,-0.9431400453008882,-0.972742952265595,-0.9100218298202731,-0.969478489182854,-0.8376200187221451,,0.9205489090191953,0.9727429522655914,,0.934971286424591,,0.9718551657607182,,-0.9372808609161534,-0.41130204529588077,-0.9715872556513383,,0.9662396598921209,0.37187187495279816,0.8765257470057767,-0.5896843560110053,0.7814331360440882,0.972637015305723,-0.8360807130116361,-0.8177584717808871,0.9728639410403083,-0.9508149128323435,,-0.9727429522655908,0.9392580686039478,-0.9523455284485419,-0.2736296064233012,0.9869914306791188,-0.15682319596826838,-0.8109994265345788,0.9511425790537795,-0.6631662631427886,-0.62790287571089,0.9739014688831678,0.9677169298011822,-0.972742952265591,-0.9759841511272968,-0.9763963297189081,0.4728081379794596,0.49340702707244133,0.9727429522655906,0.43139580596903393,0.4728081379794596,-0.9247349738682803,0.9869126844758408,-0.9665836250665464,0.9454821500843974,-0.8329871284939413,-0.5795350025106664,0.972742952265591,-0.62790287571089,0.4455256133189714,-0.8956616360781231,0.973343522829531,0.37187187495279816,-0.9307500910328513,0.9541187428036935,0.936938182419382,0.9191161691018331,0.9746190241819445,-0.4490814802703469,-0.41130204529588077,0.9450649105941401,0.2941372957883657,-0.9331686269501774,-0.019945385143119512,-0.9727429522655895,0.9720260306558164,0.9454821500843974,-0.9664987217572591,0.9058106355050061,0.9724301237177694,0.651345474859206,-0.3380557554940502,-0.8738266658088147,0.9246068428132368,0.9254541396510148,0.9576572508523676,-0.9722716683208231,-0.9727429522655928,-0.8730593432721524,0.7831628315942788
17.9.1,0.033007825047266716,-0.16127061706891363,-0.013240626025567023,1.0,0.24835943662604182,-0.19281907332284343,-0.04810447692601386,0.26485789195654824,0.16937012747592053,0.35545694149759477,0.16689329475600945,0.037006325570905746,,-0.33895803799088187,-0.16937012747593222,,-0.23703810172532924,,-0.20349184695657524,,0.12059793211924116,0.24835943662604182,0.18696858789744247,,-0.18210499159065008,0.3581301552774651,0.1043361872207055,0.6764012985797849,-0.42794376822818003,-0.17100194433473934,0.24116278394341092,0.2726610989789125,-0.1816815609247168,0.12441350104031933,,0.16937012747592958,-0.24505131278504472,0.1518654559013861,-0.13955533496372258,-0.1517705101758597,-0.017654992829915655,0.19315895930823299,-0.1707317419589377,0.38097515702208323,-0.16127061706891363,-0.18200436145444363,-0.15602845346853178,0.16937012747592955,0.1732629939214471,0.15352851827261116,0.033007825047266716,-0.3442645682267647,-0.16937012747593266,-0.42128647504692757,0.033007825047266716,0.1394562934453823,-0.11129163643654555,0.19544859335478856,-0.0880735542890906,0.22747751427938306,-0.06085361236386851,-0.16937012747592955,-0.16127061706891363,0.4751724751669169,0.19582784679665446,-0.18290768833565335,0.3581301552774651,0.12707647072387307,-0.2936835383441983,-0.23685378041134106,-0.009729093406647822,-0.1853441413971938,-0.2230990528121885,0.24835943662604182,-0.28923697813607696,0.4223120419331759,0.07197419283235987,0.09454854834361946,0.1693701274759284,-0.17228115908147448,-0.0880735542890906,-0.042257307853027365,-0.30451086421576323,-0.21852490232092436,0.2679147080468829,0.6265165886556069,0.2124760744089462,-0.2485306937158417,-0.13879769931569433,-0.19909079580659608,0.17923544065284783,0.1693701274759047,0.022344075118081883,-0.29808990617404635
13.1.1,-0.11553382684750538,-0.008632564808538206,-0.41130204529588077,0.24835943662604182,1.0,-0.3589199710572399,-0.43433999016362534,0.4855783261599219,0.5004718511509918,0.45964057888621024,0.393170794472829,0.5017005974818757,,-0.5309845722048632,-0.500471851150985,,-0.3501616402335046,,-0.4875337000506106,,0.5151790340797225,1.0,0.45499242344944685,,-0.5208075975918829,-0.5884013084483074,-0.411659991027202,0.3224118363470192,-0.4709041578924241,-0.5010047039022953,0.7048957423691534,0.5692843144239144,-0.3611013927504221,0.5493588112204026,,0.5004718511509838,-0.352217632924592,0.5774243168650813,-0.10908553305331564,-0.39935303014407114,-0.13782951107810712,0.2103320003991127,-0.47770162897765056,0.9272379339301206,-0.008632564808538206,-0.4967310167906445,-0.4550720240416057,0.500471851150984,0.4945051745865668,0.47583587313884107,-0.11553382684750538,-0.029365242661253302,-0.5004718511509814,0.2191975429825741,-0.11553382684750538,0.49274130479420347,-0.3438927626850561,0.5292538818695226,-0.48421443803947634,0.7364513285236645,0.27044429419713306,-0.5004718511509839,-0.008632564808538206,-0.6158430674454223,0.26455349676578166,-0.498667633724879,-0.5884013084483074,0.5499425623450386,-0.5074400751647664,-0.50488235007986,-0.46416876581138133,-0.4982850015443382,-0.009130462753737665,1.0,-0.4107634942659742,-0.21916662993705593,0.3344550749941082,-0.16866636882127725,0.5004718511510012,-0.44892132032748205,-0.48421443803947634,0.46608174088340837,-0.42550479955687803,-0.4792072335242934,-0.12371837511929791,0.3354441681432332,0.2879005365715742,-0.5305871390725126,-0.4219405965761457,-0.4873971935508911,0.4828439543052405,0.5004718511509761,0.6193286902875077,-0.5186967473347204
3.b.1,0.5501250658917831,-0.7519583251030365,0.9212177087126505,-0.19281907332284343,-0.3589199710572399,1.0,0.8496665118517661,-0.9468400132473028,-0.9479705879819835,-0.962039385560965,-0.9527119976619735,-0.8608256346893582,,0.9464515134394951,0.9479705879819827,,0.8845440315629655,,0.9361720843384923,,-0.9552630274904765,-0.3589199710572399,-0.9605358887765799,,0.9479886619646009,0.11252290151967943,0.8203491555443382,-0.7637253434343934,0.8521255775861541,0.9453267888714838,-0.8852162248796701,-0.8602427204913384,0.9372863436081315,-0.9446271837755259,,-0.9479705879819817,0.838839428295596,-0.9330347636028824,-0.1294809446120555,0.9440812478156771,-0.2860402738726778,-0.9335088792409971,0.9003658172165924,-0.6389352336793699,-0.7519583251030365,0.9415337701658484,0.9378898876186075,-0.9479705879819819,-0.9414285875253617,-0.9595687292524091,0.5501250658917831,0.44222598765646626,0.9479705879819831,0.4319843138840307,0.5501250658917831,-0.9366603464394079,0.9476097763671703,-0.9162738663854445,0.8669083411533248,-0.8391058035833217,-0.37991326209707194,0.9479705879819817,-0.7519583251030365,0.2205615417023525,-0.8533439245193801,0.943212444697866,0.11252290151967943,-0.9184849775369343,0.9446841315610601,0.9390440864290264,0.9116736622024472,0.9457494146539813,-0.3814631374930796,-0.3589199710572399,0.9033113321961048,-0.02330795863469228,-0.9573381704767604,0.0925385830132595,-0.9479705879819816,0.9214295760708835,0.8669083411533248,-0.858427094494571,0.8211708000097062,0.9479555074461811,0.7141023195096683,-0.49950836435374985,-0.9533010000497898,0.8861818776666289,0.8095890663171276,0.9487754863283837,-0.9552759997056604,-0.9479705879819802,-0.8359537977186701,0.8108837358446735
11.6.2,0.4844378126817852,-0.5536486079373235,0.9068576025748024,-0.04810447692601386,-0.43433999016362534,0.8496665118517661,1.0,-0.8652469708942073,-0.8577087352768997,-0.8776046327641285,-0.949605196025539,-0.7643323771416323,,0.8040816491011559,0.8577087352768883,,0.7831275491540437,,0.8456157356748896,,-0.8640259393773095,-0.43433999016362534,-0.9358594513224044,,0.8495084859813511,0.4459245536911052,0.9542860194242037,-0.4301083293062024,0.8850186439339486,0.8587691702671372,-0.7678409414245349,-0.7570409547237481,0.8349443894930493,-0.8533481100506324,,-0.8577087352768881,0.8339337444955922,-0.8655329434720499,-0.43087278284521235,0.9189898155362509,0.025516815244045823,-0.6975079008321567,0.7778106219298492,-0.6165085296432793,-0.5536486079373235,0.8542878861433505,0.8413716975574713,-0.8577087352768882,-0.8608339929006212,-0.8691031938729945,0.4844378126817852,0.17490550409996206,0.8577087352768873,0.29879491346586373,0.4844378126817852,-0.8207649545003747,0.8834510023858173,-0.8565332841013994,0.7852098312153989,-0.7253945225945218,-0.5960389424036504,0.8577087352768883,-0.5536486079373235,0.48163689813199234,-0.8147015125472366,0.8539248018010999,0.4459245536911052,-0.8326431066070696,0.8776048221168892,0.8062053062348011,0.7409330557970882,0.8638498335022559,-0.0674790555191715,-0.43433999016362534,0.828154595949587,0.3407778985588933,-0.8074822407436391,-0.1944096180818965,-0.857708735276896,0.8416765836916117,0.7852098312153989,-0.960615612912648,0.7308242518464436,0.8678825180963002,0.5823296440976948,-0.18252488598360628,-0.7563564166097854,0.743765324230373,0.8018558176937233,0.8282739697877487,-0.8618057993198085,-0.8577087352768835,-0.7382339562390333,0.6317373487899285
10.4.1,-0.38493496966279367,0.6368902095909782,-0.9431400453008882,0.26485789195654824,0.4855783261599219,-0.9468400132473028,-0.8652469708942073,1.0,0.9866660700433718,0.9830386401711806,0.9523747902001232,0.8897177541890485,,-0.9592048853225512,-0.9866660700433724,,-0.9274918613442696,,-0.9820161112892413,,0.9759162212537285,0.4855783261599219,0.9796411192032104,,-0.9807209685690277,-0.310959959919611,-0.8239656915418698,0.7391721428228227,-0.898052544631641,-0.9871067912279182,0.927233405541033,0.944010254732446,-0.954857726578203,0.9799011374280714,,0.9866660700433731,-0.9168214762855535,0.983838577967848,0.052938300317813325,-0.9633773699731911,0.24483103248375387,0.8937224866722425,-0.9531384969379175,0.7455169494028836,0.6368902095909782,-0.983053247446926,-0.9876498979542073,0.9866660700433734,0.9854846324369984,0.9762292796765377,-0.38493496966279367,-0.4621478041472554,-0.9866660700433738,-0.38507093829373057,-0.38493496966279367,0.9622154237276975,-0.9460432126446562,0.9736877113764895,-0.9367892201092916,0.8992090812422994,0.5165016504144492,-0.9866660700433731,0.6368902095909782,-0.341952584718271,0.8671769152136855,-0.9853181255360939,-0.310959959919611,0.9606705881115426,-0.9902753992239739,-0.9899966626572247,-0.8854463939621442,-0.987467390633061,0.3081872952980229,0.4855783261599219,-0.9393622302221382,-0.10799051852245911,0.9444637401636947,-0.1505669944479304,0.9866660700433754,-0.9722546485401711,-0.9367892201092916,0.8977961259744552,-0.9056043208030943,-0.9890380068562483,-0.6470815431491638,0.4510040976348934,0.9033878183863329,-0.9542428197665418,-0.8682149174716554,-0.9856506846450788,0.9887074989890033,0.9866660700433708,0.8754925316030372,-0.9121887486810578
6.5.1,-0.4424656600227827,0.6454972243679011,-0.972742952265595,0.16937012747592053,0.5004718511509918,-0.9479705879819835,-0.8577087352768997,0.9866660700433718,1.0,0.9562609994502032,0.9531244744392944,0.8911327886790057,,-0.9696813389509936,-1.0,,-0.9491172651098272,,-0.9964227255892502,,0.9770201162915961,0.5004718511509918,0.9766112483814838,,-0.9965453386929354,-0.3228695919625289,-0.8195805592219215,0.7191949522280706,-0.8308511211747851,-0.9998910946004576,0.9221857468377852,0.9063919816167281,-0.9769440004676233,0.9887898619676506,,1.0,-0.9267484796056468,0.9899130466509168,0.09966634402141675,-0.9755695214106164,0.2184877949652801,0.8757156462534508,-0.9822997871164141,0.7568187244008122,0.6454972243679011,-0.9976850262509761,-0.9949533333123516,1.0,0.9992714076536109,0.995391000452586,-0.4424656600227827,-0.5186501228216773,-1.0000000000000002,-0.40399412574269616,-0.4424656600227827,0.9703682442484393,-0.9684220639988838,0.9884879675559658,-0.9682829840462279,0.9171907076290101,0.5091118809071714,-0.9999999999999998,0.6454972243679011,-0.39907638352064356,0.8780401836207474,-0.9993810113611729,-0.3228695919625289,0.974059274153372,-0.9875803689386089,-0.991325693929846,-0.9330658930586636,-0.9993584885712891,0.4278235460527816,0.5004718511509918,-0.9514287535718561,-0.14812341491974498,0.9589946115250574,-0.12776174298217813,1.0,-0.9902604089395499,-0.9682829840462279,0.9154473123053981,-0.9255608593376484,-0.9963405393787211,-0.6442301423336704,0.45851563514364657,0.9147493254099864,-0.9740101170042235,-0.9010082354280023,-0.9965320644298807,0.9995155102962499,1.0000000000000002,0.917921429288338,-0.8859935817433503
1.a.2,-0.4131658292119787,0.6172638209163694,-0.9100218298202731,0.35545694149759477,0.45964057888621024,-0.962039385560965,-0.8776046327641285,0.9830386401711806,0.9562609994502032,1.0,0.9615900880333594,0.8521555311450343,,-0.9600282966635514,-0.9562609994502029,,-0.8926075776624616,,-0.9528401914468729,,0.9512169260622253,0.45964057888621024,0.9784126711596868,,-0.9520541677697579,-0.21620575104817522,-0.8288703751623918,0.7788401556090575,-0.9403783071489924,-0.9555927884965667,0.9100108558160963,0.9202638774203129,-0.931255757819765,0.9477388747005356,,0.9562609994502029,-0.8900842764027588,0.9517981517673567,0.10934306661581018,-0.9504948297932698,0.23216426360624526,0.8859933650483915,-0.9030100353690363,0.7279239012611001,0.6172638209163694,-0.9528261572559189,-0.9514350689195779,0.9562609994502029,0.9545063700934135,0.9518535929365305,-0.4131658292119787,-0.4281364116501584,-0.9562609994502042,-0.42053441696499,-0.4131658292119787,0.9319935459649077,-0.9329291000702268,0.9452524917995713,-0.8696754636561987,0.8579339565517168,0.4920895415811909,-0.9562609994502032,0.6172638209163694,-0.2307332247292301,0.8698959279440236,-0.9552464483921873,-0.21620575104817522,0.917939918801302,-0.9799096543678778,-0.9585157341406575,-0.8565991510176699,-0.9596761850002817,0.2352248153268975,0.45964057888621024,-0.9334598153770579,-0.04971416545760584,0.9152599093728584,-0.06678324980054626,0.9562609994502063,-0.932580471749209,-0.8696754636561987,0.8754065618091588,-0.8695671704882116,-0.9677920764688088,-0.6340391023749778,0.48637107081030234,0.8997809400654571,-0.9116719974218791,-0.8301804637720657,-0.9539102114077449,0.9620813466069623,0.9562609994501964,0.811329486365065,-0.8657285861766069
