"","13.1.3","13.1.2","8.8.2","17.9.1","13.1.1","6.1.1","3.b.1","11.6.2","10.4.1","6.5.1","1.a.2","4.2.2","15.8.1","7.1.1","17.18.3","7.3.1","3.9.3","7.1.2","17.18.2","17.8.1","11.5.1","4.5.1","5.1.1","16.a.1","6.2.1","11.5.2","12.4.2","4.3.1","7.2.1","2.a.1","6.4.2","6.6.1","8.b.1","17.19.2","3.8.1","10.5.1","6.4.1","10.7.3","11.1.1","14.b.1","2.c.1","14.1.1","12.c.1","11.b.1","2.2.2","9.5.2","3.4.1","15.5.1","8.3.1","1.5.4","8.1.1","3.6.1","16.6.1","11.b.2","2.2.1","9.5.1","1.3.1","12.a.1","7.a.1","17.17.1","3.4.2","1.5.3","14.7.1","17.13.1","3.2.1","1.5.2","9.1.2","15.1.1","16.2.2","3.2.2","17.4.1","1.5.1","3.3.5","2.1.2","15.6.1","17.3.1","9.4.1","7.b.1","12.b.1","2.1.1","17.1.1","8.2.1","17.3.2","10.c.1","3.3.3","2.5.1","1.4.1","3.3.2","16.3.2","2.5.2","3.3.1","15.2.1"
"13.1.3",1,0.552003706965174,0.870952126280863,-0.104817459819858,0.72115194730641,-0.906910555713877,-0.887100121322462,-0.88360570801138,-0.782464456611189,0.92074637828866,-0.842385988360534,0.841447987624777,NA,-0.922031031369482,NA,0.901215626703198,-0.920746378288658,0.905319526446199,NA,0.918706741690239,0.72115194730641,-0.0649593522288134,NA,NA,-0.860786436451425,0.668811514606301,0.0225955885238698,-0.914467860623041,-0.907717694784829,-0.944026329980186,0.92364430671556,-0.888938167854136,NA,NA,0.920746378288664,-0.459667635167764,-0.926578823454616,0.61184347338382,-0.947332056710146,0.920746378288657,-0.418462134952783,-0.84350852973186,0.908322519134774,0.552003706965174,0.898323559834472,-0.659111369069023,0.934820085164394,-0.933556267403557,-0.398804148407063,1,-0.0645510402665201,-0.920746378288657,0.601242972461821,1,0.780172112541638,-0.840371681411821,0.93439929690436,0.900498571444124,-0.478352939140314,0.86520002424134,0.920746378288658,0.552003706965174,-0.926848474567924,0.937278219635476,-0.914747822125887,0.64617659370806,-0.943600477120019,-0.920745638172051,-0.91506505791405,0.92097933641809,-0.133160462628738,0.72115194730641,0.74570047190365,-0.946071596616567,0.913173047862889,-0.885034786994417,-0.960265476054442,0.900498571444124,NA,0.872756712516706,-0.813012524224192,0.00380536527841545,0.934599123554009,0.7264289964992,0.8300223198253,NA,0.919747020731482,-0.496820372378597,0.920746378288663,NA,-0.84292843604165,0.951847755767126
"13.1.2",0.552003706965174,1,0.77390357667398,0.207841426494175,0.0951104478552621,-0.728805021758262,-0.7428553270357,-0.734113282149892,-0.500209393461708,0.763959249071884,-0.633104363821471,0.76377525369556,NA,-0.771835819849236,NA,0.638687858155872,-0.763959249071893,0.769113484761397,NA,0.780225215443168,0.0951104478552621,-0.197674604324142,NA,NA,-0.66883405803816,0.341560189060199,-0.0925296856593978,-0.756318985363508,-0.573136930029522,-0.711257192916799,0.704637604297,-0.810453125225449,NA,NA,0.763959249071876,-0.911078112124124,-0.754158681003551,0.481028588556351,-0.73905228848224,0.763959249071884,-0.476841165068068,-0.681065764444516,0.78495366773077,1,0.714357271533365,-0.680494965338694,0.750367485731501,-0.753927561757035,-0.0851438407692802,0.552003706965174,-0.249334897685811,-0.763959249071878,-0.102705315486932,0.552003706965174,0.171742339915007,-0.52130504396409,0.727482025832441,0.802464225975521,-0.444909580547035,0.431115593900916,0.763959249071879,1,-0.752365278282815,0.501520929995253,-0.761445494772216,0.0937491927470044,-0.725387695473124,-0.763960861211977,-0.782917175313087,0.773459655230662,-0.112325429499102,0.0951104478552621,0.80381476530679,-0.710100300765493,0.538012536785935,-0.749466358743429,-0.678919151192882,0.802464225975521,NA,0.813019059977034,-0.664036120933773,-0.0608890537393485,0.668274212168027,0.275469196319416,0.745785414942171,NA,0.698567210773492,-0.356398215134459,0.763959249071874,NA,-0.71684384797528,0.682061250413853
"8.8.2",0.870952126280863,0.77390357667398,1,-0.123284960974031,0.6046155751781,-0.954885801776585,-0.966173339211774,-0.946828699909584,-0.797924011220125,0.986471474556112,-0.831661855479867,0.934350081549061,NA,-0.927936746239224,NA,0.780043002676949,-0.986471474556113,0.983643765327749,NA,0.988773801306634,0.6046155751781,-0.257291245286449,NA,NA,-0.916962975261444,0.687967658066424,-0.27642891389254,-0.945298016574064,-0.82248999522191,-0.899367512685773,0.917675456447944,-0.972100237730751,NA,NA,0.986471474556109,-0.650279537916038,-0.984346861670707,0.360459404183656,-0.958643221616192,0.986471474556113,-0.444103471774774,-0.802395537750093,0.984745763508068,0.77390357667398,0.928909135825499,-0.862564320841098,0.972764297648878,-0.982491190374515,-0.452496283864374,0.870952126280863,0.0503639838234996,-0.986471474556109,0.471568177101124,0.870952126280863,0.668085310901428,-0.83311484015226,0.969549815330224,0.938367618312376,-0.634204875967159,0.757754210325125,0.986471474556113,0.77390357667398,-0.980672837344395,0.88509495281399,-0.985894609981432,0.510179860942416,-0.924372472707553,-0.986471474548764,-0.932976317966173,0.986945781262381,-0.0552426376720064,0.6046155751781,0.926139139548888,-0.967407051633406,0.901871542116028,-0.844331042759938,-0.90766770417798,0.938367618312376,NA,0.981070458146293,-0.801889319748711,0.0793316560755219,0.932813800511381,0.670989605979929,0.89586228697845,NA,0.971111220086565,-0.54843265124302,0.986471474556112,NA,-0.954697181092274,0.914351706981874
"17.9.1",-0.104817459819858,0.207841426494175,-0.123284960974031,1,-0.0117468784293472,0.209524390179781,0.174949995831632,0.0827165598819361,0.225839594913161,-0.070635092283964,0.223533144961084,0.108595401340677,NA,0.0113572448459845,NA,-0.145386861721128,0.070635092283975,-0.022229573751409,NA,-0.0509332550501444,-0.0117468784293472,-0.0370632595225224,NA,NA,0.161449431543831,0.26792498362433,0.111398264699537,0.0528693555933778,0.317377830594734,0.10715629597085,-0.230767718871794,0.0649342333129678,NA,NA,-0.0706350922839509,-0.0336499679571756,0.101756234856531,0.187704816513366,0.155978370068449,-0.0706350922839651,-0.519264774225064,0.0781593794313816,-0.0392170788307282,0.207841426494175,0.0743545820027027,-0.099547774287243,0.00403085305475382,0.112355646468695,0.638872872810143,-0.104817459819858,-0.366415479070389,0.0706350922839676,-0.240710041357585,-0.104817459819858,-0.0619764565810119,0.409999153579522,0.00674704507945308,-0.0106090057526718,0.372298795942298,-0.0110977999754096,-0.0706350922839688,0.207841426494175,0.089186111652493,-0.140023968008206,0.0953785202142491,0.222303822885112,0.0526430258644221,0.0706321350014158,0.0929046335804351,-0.059456761706037,-0.298237288762446,-0.0117468784293472,0.181610345038979,0.141721389101702,-0.171594028184017,-0.222398901177603,0.167198935414935,-0.0106090057526718,NA,0.0128305646841,0.0917790260291472,-0.163868278244323,0.0613122095523579,-0.61049169720923,0.142727908913662,NA,-0.209619315739762,0.438990863660024,-0.0706350922839756,NA,0.0855281852267102,-0.021315588893139
"13.1.1",0.72115194730641,0.0951104478552621,0.6046155751781,-0.0117468784293472,1,-0.532813626224805,-0.599903330915985,-0.599608613689701,-0.525010736001405,0.612724107289187,-0.562699654361321,0.608199719110551,NA,-0.57694234431193,NA,0.487322187148765,-0.612724107289178,0.613892326459362,NA,0.611411726643067,1,-0.120794435469322,NA,NA,-0.614385311995794,0.900184418127082,-0.0884951357058876,-0.597777597821815,-0.545497502110633,-0.588052162511996,0.583708625885869,-0.536925714427253,NA,NA,0.612724107289199,0.0581939399123213,-0.612374455716062,0.0709793448235563,-0.591947818574021,0.612724107289194,-0.245485652856455,-0.460991481949681,0.608596482283618,0.0951104478552621,0.670527630156618,-0.503068510501786,0.648282365670472,-0.607109210102211,-0.262790887060011,0.72115194730641,0.0285947050735335,-0.61272410728919,0.940687858609857,0.72115194730641,0.789351058960683,-0.512380182501232,0.652446893463238,0.595614794890078,-0.2778981943557,0.875393933598123,0.6127241072892,0.0951104478552621,-0.615900445515617,0.852030369060631,-0.612776021286447,0.949031336129982,-0.596586040870359,-0.612723652865342,-0.507390202925222,0.613431812039333,-0.128207064616354,1,0.558642171859217,-0.60181323749909,0.648903848194654,-0.551832487254572,-0.587815920607376,0.595614794890078,NA,0.615121707394488,-0.526328049583781,0.0201580484365919,0.690513989820043,0.385801032867131,0.536443412841157,NA,0.598454415163553,-0.323862163150308,0.612724107289198,NA,-0.601204281001625,0.605741889604084
"6.1.1",-0.906910555713877,-0.728805021758262,-0.954885801776585,0.209524390179781,-0.532813626224805,1,0.961266205750147,0.958146328926885,0.855695872179301,-0.969087423704703,0.847402476794304,-0.86789289450455,NA,0.89399817481519,NA,-0.874380856475178,0.969087423704701,-0.959136296538577,NA,-0.966488448485022,-0.532813626224805,0.0787171307309284,NA,NA,0.944276465669434,-0.580824720235844,0.197566654594684,0.966125479374598,0.875693255029462,0.902192384689441,-0.91402464600891,0.958165731645008,NA,NA,-0.969087423704699,0.684935480189054,0.973302959000878,-0.519756936733168,0.97458451974365,-0.969087423704698,0.445429947729555,0.890360618829082,-0.967617522678594,-0.728805021758262,-0.909010243027089,0.740860723483526,-0.948999638717901,0.977509230251152,0.536191698587403,-0.906910555713877,-0.0134800710189162,0.969087423704701,-0.393288947407476,-0.906910555713877,-0.621611529136613,0.921504116501842,-0.948700734428205,-0.931006441984421,0.531872249736604,-0.724956475393225,-0.9690874237047,-0.728805021758262,0.966828528156648,-0.875692292377356,0.969099245971077,-0.453081535982177,0.947470703178164,0.969087086202522,0.966109152459069,-0.968725320339297,0.148899161352505,-0.532813626224805,-0.822332041131148,0.975246316009107,-0.902714672652663,0.808832462763178,0.939528384425894,-0.931006441984421,NA,-0.940919836460003,0.728629801222834,0.0298492558707861,-0.90450355802896,-0.729599583348163,-0.890998119925049,NA,-0.963454345042248,0.65459807615387,-0.969087423704702,NA,0.932540054591322,-0.933412803035239
"3.b.1",-0.887100121322462,-0.7428553270357,-0.966173339211774,0.174949995831632,-0.599903330915985,0.961266205750147,1,0.935095437983315,0.861524040625881,-0.97493112403044,0.897164835436768,-0.90169886270963,NA,0.893051889561437,NA,-0.82824279901321,0.974931124030444,-0.962501928043692,NA,-0.968609901856115,-0.599903330915985,0.246372032417122,NA,NA,0.968690547129938,-0.622731259366823,0.260200634790818,0.935229825977199,0.892895264439687,0.936798338107295,-0.930557447432535,0.981956051647708,NA,NA,-0.974931124030439,0.709670539223393,0.98003579999958,-0.478066573834823,0.972491647667635,-0.974931124030443,0.309663180330815,0.859364960166901,-0.978225164764227,-0.7428553270357,-0.870200618174975,0.79046617826454,-0.933872171910021,0.978606662135243,0.570734962715517,-0.887100121322462,-0.0300323776078864,0.974931124030447,-0.486171479865893,-0.887100121322462,-0.571266339530209,0.920042932005529,-0.939282088978986,-0.970124168473886,0.664258813280053,-0.759224820136569,-0.974931124030445,-0.7428553270357,0.975400331293626,-0.902636946035448,0.985744960719984,-0.482831195954105,0.968842399063826,0.974931193471322,0.973346101036657,-0.974653262888545,0.102525917060407,-0.599903330915985,-0.821756645319993,0.96109103794127,-0.834443941177337,0.783879421339513,0.949064697087867,-0.970124168473886,NA,-0.967684512477331,0.763893835871066,-0.10919164112496,-0.873148633533626,-0.631099121785215,-0.816458521836696,NA,-0.935170926104797,0.712504575453642,-0.974931124030445,NA,0.967304891339066,-0.930472280975774
"11.6.2",-0.88360570801138,-0.734113282149892,-0.946828699909584,0.0827165598819361,-0.599608613689701,0.958146328926885,0.935095437983315,1,0.873745026659073,-0.958082296374177,0.894437811970144,-0.936266920410455,NA,0.868782851618784,NA,-0.792680445904638,0.958082296374173,-0.965271170256782,NA,-0.956447853309883,-0.599608613689701,-0.0282521049326134,NA,NA,0.956596866523839,-0.694552435412462,0.140696000725312,0.990846686796346,0.859836282756709,0.885843722792008,-0.906044500001602,0.944148755519494,NA,NA,-0.958082296374171,0.619028931455585,0.959071427347061,-0.427534015008242,0.926262962521328,-0.958082296374173,0.439734355151772,0.932907890674183,-0.951113083491571,-0.734113282149892,-0.909242310934151,0.707885501082986,-0.952282920589858,0.951360334196618,0.442546083335357,-0.88360570801138,-0.0515271713278824,0.958082296374171,-0.40970910423868,-0.88360570801138,-0.62244417093026,0.840701638476783,-0.947676176987881,-0.917062420362524,0.42437895618432,-0.783736250230322,-0.958082296374174,-0.734113282149892,0.965140273072333,-0.863915563236952,0.954814044434993,-0.561867981605705,0.921803921500315,0.958082229569619,0.925434728917053,-0.960003039209729,0.355647931341062,-0.599608613689701,-0.86596590253566,0.949835289551322,-0.869536631769265,0.841039001582921,0.913570413661507,-0.917062420362524,NA,-0.964057826542587,0.769270058496882,0.171729285378075,-0.911629207757325,-0.655879467223797,-0.884980311917669,NA,-0.957318281546516,0.547754392511432,-0.958082296374172,NA,0.946791522427286,-0.927405776663267
"10.4.1",-0.782464456611189,-0.500209393461708,-0.797924011220125,0.225839594913161,-0.525010736001405,0.855695872179301,0.861524040625881,0.873745026659073,1,-0.843272074705105,0.857547151007053,-0.829747058346942,NA,0.647509646555237,NA,-0.613923963820282,0.8432720747051,-0.84877381114772,NA,-0.813214538045389,-0.525010736001405,0.0562329552204031,NA,NA,0.937373526318478,-0.518132699131142,0.364517246977482,0.827353135747005,0.846561705360551,0.791229522631998,-0.76523010954185,0.853540923419314,NA,NA,-0.843272074705104,0.496328392120567,0.853356730591459,-0.428226058776304,0.798859634878138,-0.843272074705102,0.158106307050302,0.873294052279118,-0.820829499473279,-0.500209393461708,-0.665071820663746,0.620152662147133,-0.778472598411558,0.834802094274279,0.761081516126153,-0.782464456611189,-0.399856691848459,0.843272074705117,-0.399251570650964,-0.782464456611189,-0.540531619346755,0.911323139401681,-0.818418018492689,-0.76466517866792,0.512887725247996,-0.567122416309108,-0.843272074705107,-0.500209393461708,0.863228371840796,-0.73642516626594,0.85338798406438,-0.426420229535817,0.862125156877483,0.843271497624069,0.848052700263997,-0.833463382678137,0.395509711777753,-0.525010736001405,-0.619893573939032,0.862116538204564,-0.753720583452725,0.603127185292951,0.850979823737038,-0.76466517866792,NA,-0.811457438912239,0.560767846775493,-0.0648802258307907,-0.738255974814069,-0.655609795568009,-0.654600369707608,NA,-0.827791027279274,0.66793537813667,-0.843272074705107,NA,0.921633829338391,-0.882486439742436
"6.5.1",0.92074637828866,0.763959249071884,0.986471474556112,-0.070635092283964,0.612724107289187,-0.969087423704703,-0.97493112403044,-0.958082296374177,-0.843272074705105,1,-0.859483483952602,0.950357270593764,NA,-0.94096581588635,NA,0.823201729141017,-1,0.996822663489554,NA,0.998244325461128,0.612724107289187,-0.226090700099989,NA,NA,-0.938699851130912,0.679620220441345,-0.235053888784844,-0.962379012992438,-0.866759874252203,-0.9388471343158,0.930260509419064,-0.99001722722113,NA,NA,1,-0.655841165578234,-0.999163868890794,0.486759157468158,-0.978492109580164,1,-0.459638559776941,-0.85458656919351,0.996034241736759,0.763959249071884,0.932990361414716,-0.843670378760804,0.98610484209551,-0.997402852560731,-0.466354777350017,0.92074637828866,0.0410792967318736,-1,0.463639546335525,0.92074637828866,0.685360534705995,-0.86555373003803,0.990333646128398,0.957977327178063,-0.611547768225907,0.768450634648531,1,0.763959249071884,-0.997669048743383,0.897863684765651,-0.998343652714287,0.52901841457214,-0.969909521925894,-0.99999999999255,-0.969495461097484,0.999593310383046,-0.116263964645484,0.612724107289187,0.900586735197865,-0.990910419717239,0.913962285685676,-0.880515542211996,-0.95127015135475,0.957977327178063,NA,0.983517663919645,-0.804917979060927,0.0790375719237198,0.953587972840719,0.673537836362586,0.903807379287039,NA,0.973396462006059,-0.559016994374943,1,NA,-0.967150362802346,0.966764620877702
