,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,6.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,7.1.1,17.18.3,7.3.1,3.9.3,7.1.2,17.18.2,17.8.1,11.5.1,4.5.1,5.1.1,16.a.1,6.2.1,11.5.2,12.4.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,8.b.1,17.19.2,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,14.b.1,2.c.1,14.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,3.3.1,15.2.1
13.1.3,1.0,0.5520037069651739,0.8709521262808627,-0.10481745981985792,0.7211519473064097,-0.9069105557138767,-0.8871001213224617,-0.8836057080113798,-0.7824644566111895,0.9207463782886591,-0.8423859883605341,0.8414479876247775,,-0.9220310313694822,,0.9012156267031983,-0.9207463782886577,0.9053195264461993,,0.9187067416902394,0.7211519473064097,-0.06495935222881345,,,-0.8607864364514254,0.6688115146063011,0.022595588523869743,-0.9144678606230409,-0.9077176947848292,-0.944026329980186,0.9236443067155605,-0.8889381678541366,,,0.9207463782886637,-0.45966763516776454,-0.926578823454616,0.6118434733838202,-0.9473320567101454,0.9207463782886574,-0.4184621349527829,-0.8435085297318606,0.9083225191347742,0.5520037069651739,0.8983235598344724,-0.6591113690690227,0.9348200851643939,-0.9335562674035569,-0.3988041484070632,1.0,-0.06455104026652007,-0.9207463782886571,0.6012429724618209,1.0,0.7801721125416383,-0.8403716814118208,0.9343992969043604,0.9004985714441238,-0.4783529391403137,0.8652000242413403,0.9207463782886579,0.5520037069651739,-0.9268484745679243,0.9372782196354755,-0.914747822125887,0.6461765937080604,-0.9436004771200195,-0.9207456381720511,-0.9150650579140498,0.9209793364180905,-0.1331604626287378,0.7211519473064097,0.7457004719036502,-0.9460715966165667,0.9131730478628892,-0.8850347869944164,-0.9602654760544422,0.9004985714441238,,0.8727567125167054,-0.8130125242241922,0.0038053652784154285,0.9345991235540093,0.7264289964992,0.8300223198253,,0.9197470207314823,-0.4968203723785972,0.920746378288663,,-0.84292843604165,0.9518477557671254
13.1.2,0.5520037069651739,1.0,0.7739035766739805,0.20784142649417545,0.09511044785526207,-0.7288050217582622,-0.7428553270356999,-0.7341132821498922,-0.5002093934617079,0.7639592490718838,-0.6331043638214706,0.7637752536955603,,-0.7718358198492355,,0.6386878581558721,-0.7639592490718933,0.7691134847613968,,0.7802252154431685,0.09511044785526207,-0.1976746043241422,,,-0.6688340580381601,0.34156018906019936,-0.09252968565939787,-0.7563189853635085,-0.5731369300295219,-0.7112571929167989,0.7046376042970004,-0.810453125225449,,,0.7639592490718758,-0.9110781121241238,-0.7541586810035508,0.48102858855635144,-0.7390522884822396,0.7639592490718841,-0.47684116506806773,-0.6810657644445159,0.7849536677307694,1.0,0.7143572715333646,-0.6804949653386944,0.7503674857315008,-0.7539275617570345,-0.08514384076928032,0.552003706965174,-0.24933489768581088,-0.7639592490718777,-0.10270531548693221,0.552003706965174,0.17174233991500712,-0.5213050439640898,0.7274820258324411,0.8024642259755204,-0.44490958054703494,0.431115593900916,0.7639592490718785,1.0,-0.7523652782828145,0.5015209299952524,-0.7614454947722159,0.09374919274700433,-0.7253876954731235,-0.7639608612119774,-0.7829171753130871,0.7734596552306617,-0.11232542949910246,0.09511044785526207,0.8038147653067896,-0.7101003007654929,0.538012536785935,-0.7494663587434294,-0.6789191511928819,0.8024642259755204,,0.8130190599770345,-0.6640361209337728,-0.06088905373934848,0.6682742121680265,0.2754691963194162,0.745785414942171,,0.6985672107734924,-0.35639821513445896,0.7639592490718745,,-0.7168438479752804,0.6820612504138527
8.8.2,0.8709521262808627,0.7739035766739805,1.0,-0.12328496097403109,0.6046155751780998,-0.9548858017765844,-0.9661733392117744,-0.9468286999095842,-0.7979240112201251,0.9864714745561121,-0.8316618554798674,0.9343500815490605,,-0.9279367462392238,,0.7800430026769485,-0.9864714745561132,0.9836437653277491,,0.9887738013066336,0.6046155751780998,-0.25729124528644887,,,-0.9169629752614433,0.6879676580664237,-0.2764289138925397,-0.9452980165740635,-0.8224899952219099,-0.8993675126857724,0.9176754564479441,-0.9721002377307509,,,0.9864714745561093,-0.6502795379160383,-0.984346861670707,0.3604594041836555,-0.9586432216161916,0.9864714745561134,-0.44410347177477427,-0.8023955377500926,0.9847457635080678,0.7739035766739804,0.9289091358254989,-0.8625643208410981,0.9727642976488785,-0.9824911903745149,-0.45249628386437407,0.8709521262808627,0.050363983823499624,-0.9864714745561096,0.47156817710112386,0.8709521262808627,0.6680853109014275,-0.8331148401522597,0.9695498153302242,0.9383676183123758,-0.6342048759671586,0.7577542103251248,0.9864714745561132,0.7739035766739804,-0.9806728373443955,0.8850949528139903,-0.9858946099814317,0.5101798609424162,-0.9243724727075533,-0.9864714745487635,-0.932976317966173,0.9869457812623809,-0.05524263767200632,0.6046155751780998,0.9261391395488882,-0.9674070516334056,0.9018715421160282,-0.8443310427599383,-0.9076677041779807,0.9383676183123758,,0.9810704581462926,-0.8018893197487111,0.07933165607552192,0.9328138005113807,0.6709896059799296,0.8958622869784504,,0.9711112200865649,-0.54843265124302,0.9864714745561112,,-0.9546971810922735,0.9143517069818742
17.9.1,-0.10481745981985792,0.20784142649417545,-0.12328496097403109,1.0,-0.011746878429347194,0.20952439017978142,0.17494999583163173,0.082716559881936,0.22583959491316097,-0.07063509228396402,0.22353314496108365,0.10859540134067719,,0.011357244845984417,,-0.1453868617211282,0.07063509228397487,-0.022229573751409066,,-0.05093325505014443,-0.011746878429347194,-0.037063259522522374,,,0.1614494315438314,0.2679249836243305,0.11139826469953736,0.05286935559337776,0.31737783059473434,0.1071562959708505,-0.23076771887179348,0.06493423331296776,,,-0.07063509228395087,-0.03364996795717564,0.10175623485653071,0.1877048165133662,0.1559783700684489,-0.07063509228396506,-0.5192647742250639,0.07815937943138163,-0.03921707883072825,0.2078414264941754,0.07435458200270276,-0.099547774287243,0.004030853054753942,0.11235564646869466,0.6388728728101434,-0.1048174598198579,-0.36641547907038874,0.07063509228396753,-0.2407100413575849,-0.1048174598198579,-0.061976456581011856,0.40999915357952244,0.006747045079453091,-0.010609005752671813,0.3722987959422982,-0.011097799975409599,-0.07063509228396883,0.2078414264941754,0.08918611165249304,-0.1400239680082058,0.09537852021424904,0.222303822885112,0.052643025864421995,0.07063213500141573,0.09290463358043506,-0.05945676170603702,-0.2982372887624456,-0.011746878429347194,0.1816103450389785,0.1417213891017016,-0.1715940281840167,-0.22239890117760297,0.16719893541493475,-0.010609005752671813,,0.01283056468410006,0.09177902602914711,-0.16386827824432257,0.06131220955235787,-0.6104916972092302,0.1427279089136616,,-0.2096193157397623,0.43899086366002366,-0.0706350922839756,,0.08552818522671027,-0.021315588893138997
13.1.1,0.7211519473064097,0.09511044785526207,0.6046155751780998,-0.011746878429347194,1.0,-0.5328136262248045,-0.5999033309159847,-0.5996086136897014,-0.5250107360014054,0.6127241072891864,-0.5626996543613207,0.6081997191105508,,-0.5769423443119298,,0.48732218714876535,-0.6127241072891784,0.6138923264593622,,0.6114117266430674,1.0,-0.12079443546932225,,,-0.614385311995794,0.9001844181270822,-0.08849513570588767,-0.5977775978218152,-0.5454975021106326,-0.5880521625119958,0.5837086258858689,-0.5369257144272525,,,0.6127241072891988,0.05819393991232135,-0.6123744557160617,0.07097934482355626,-0.5919478185740213,0.6127241072891945,-0.24548565285645538,-0.4609914819496813,0.6085964822836182,0.09511044785526207,0.6705276301566179,-0.5030685105017859,0.6482823656704723,-0.6071092101022113,-0.2627908870600108,0.7211519473064097,0.02859470507353349,-0.61272410728919,0.9406878586098574,0.7211519473064097,0.7893510589606831,-0.5123801825012317,0.6524468934632385,0.5956147948900778,-0.2778981943557003,0.8753939335981232,0.6127241072891999,0.09511044785526207,-0.6159004455156172,0.8520303690606312,-0.6127760212864469,0.9490313361299819,-0.5965860408703593,-0.6127236528653425,-0.5073902029252224,0.6134318120393333,-0.12820706461635384,1.0,0.5586421718592167,-0.6018132374990898,0.6489038481946541,-0.5518324872545719,-0.5878159206073765,0.5956147948900778,,0.6151217073944879,-0.5263280495837812,0.020158048436591844,0.6905139898200429,0.38580103286713124,0.5364434128411566,,0.5984544151635527,-0.3238621631503082,0.6127241072891983,,-0.6012042810016247,0.6057418896040844
6.1.1,-0.9069105557138767,-0.7288050217582622,-0.9548858017765844,0.20952439017978142,-0.5328136262248045,1.0,0.9612662057501471,0.9581463289268852,0.8556958721793011,-0.9690874237047031,0.8474024767943038,-0.8678928945045495,,0.8939981748151895,,-0.8743808564751784,0.9690874237047008,-0.9591362965385771,,-0.9664884484850216,-0.5328136262248047,0.07871713073092847,,,0.9442764656694334,-0.5808247202358435,0.19756665459468375,0.9661254793745976,0.8756932550294623,0.9021923846894411,-0.9140246460089106,0.9581657316450086,,,-0.9690874237046988,0.6849354801890533,0.9733029590008778,-0.5197569367331684,0.9745845197436506,-0.9690874237046978,0.44542994772955474,0.8903606188290819,-0.9676175226785934,-0.7288050217582622,-0.909010243027089,0.7408607234835255,-0.9489996387179009,0.9775092302511518,0.5361916985874031,-0.9069105557138767,-0.01348007101891617,0.9690874237047006,-0.39328894740747644,-0.9069105557138767,-0.6216115291366128,0.9215041165018418,-0.9487007344282047,-0.9310064419844208,0.5318722497366041,-0.7249564753932247,-0.9690874237046997,-0.7288050217582622,0.9668285281566479,-0.8756922923773558,0.9690992459710772,-0.4530815359821771,0.9474707031781642,0.9690870862025225,0.9661091524590693,-0.9687253203392975,0.1488991613525053,-0.5328136262248047,-0.8223320411311479,0.9752463160091074,-0.9027146726526626,0.8088324627631779,0.9395283844258937,-0.9310064419844208,,-0.9409198364600033,0.7286298012228338,0.029849255870786174,-0.9045035580289605,-0.7295995833481629,-0.8909981199250491,,-0.9634543450422486,0.6545980761538701,-0.9690874237047016,,0.9325400545913217,-0.9334128030352394
3.b.1,-0.8871001213224617,-0.7428553270356999,-0.9661733392117744,0.17494999583163173,-0.5999033309159847,0.9612662057501471,1.0,0.9350954379833146,0.8615240406258811,-0.9749311240304395,0.8971648354367682,-0.90169886270963,,0.8930518895614371,,-0.8282427990132096,0.9749311240304436,-0.9625019280436914,,-0.9686099018561151,-0.5999033309159848,0.24637203241712216,,,0.9686905471299379,-0.6227312593668229,0.2602006347908176,0.935229825977199,0.8928952644396875,0.9367983381072953,-0.9305574474325352,0.9819560516477083,,,-0.9749311240304391,0.709670539223393,0.9800357999995798,-0.47806657383482287,0.9724916476676352,-0.9749311240304431,0.309663180330815,0.8593649601669012,-0.9782251647642272,-0.7428553270356999,-0.870200618174975,0.7904661782645395,-0.9338721719100211,0.9786066621352434,0.5707349627155174,-0.8871001213224617,-0.030032377607886376,0.9749311240304465,-0.48617147986589265,-0.8871001213224617,-0.5712663395302088,0.920042932005529,-0.9392820889789862,-0.9701241684738858,0.6642588132800528,-0.759224820136569,-0.9749311240304442,-0.7428553270356999,0.9754003312936265,-0.9026369460354474,0.9857449607199835,-0.4828311959541045,0.9688423990638263,0.9749311934713221,0.9733461010366573,-0.9746532628885451,0.10252591706040656,-0.5999033309159848,-0.8217566453199933,0.9610910379412696,-0.834443941177337,0.7838794213395129,0.9490646970878673,-0.9701241684738858,,-0.9676845124773309,0.7638938358710659,-0.1091916411249602,-0.8731486335336263,-0.6310991217852153,-0.816458521836696,,-0.9351709261047969,0.7125045754536421,-0.9749311240304449,,0.9673048913390658,-0.9304722809757738
11.6.2,-0.8836057080113798,-0.7341132821498922,-0.9468286999095842,0.082716559881936,-0.5996086136897014,0.9581463289268852,0.9350954379833146,1.0,0.873745026659073,-0.958082296374177,0.8944378119701439,-0.9362669204104552,,0.8687828516187842,,-0.7926804459046379,0.9580822963741735,-0.9652711702567827,,-0.9564478533098827,-0.5996086136897015,-0.028252104932613317,,,0.9565968665238386,-0.6945524354124625,0.14069600072531208,0.990846686796346,0.8598362827567089,0.8858437227920083,-0.9060445000016014,0.9441487555194942,,,-0.9580822963741712,0.6190289314555855,0.9590714273470614,-0.42753401500824206,0.9262629625213281,-0.9580822963741726,0.43973435515177167,0.9329078906741826,-0.9511130834915706,-0.7341132821498922,-0.9092423109341513,0.707885501082986,-0.9522829205898581,0.9513603341966181,0.442546083335357,-0.8836057080113798,-0.05152717132788235,0.9580822963741712,-0.40970910423868045,-0.8836057080113798,-0.6224441709302598,0.8407016384767834,-0.9476761769878814,-0.9170624203625235,0.42437895618431976,-0.7837362502303222,-0.9580822963741743,-0.7341132821498922,0.9651402730723334,-0.8639155632369515,0.9548140444349926,-0.5618679816057053,0.9218039215003154,0.958082229569619,0.9254347289170528,-0.960003039209729,0.35564793134106154,-0.5996086136897015,-0.8659659025356593,0.9498352895513219,-0.8695366317692649,0.8410390015829208,0.9135704136615069,-0.9170624203625235,,-0.9640578265425869,0.769270058496882,0.17172928537807533,-0.9116292077573251,-0.6558794672237968,-0.8849803119176689,,-0.9573182815465164,0.5477543925114319,-0.9580822963741719,,0.946791522427286,-0.9274057766632672
10.4.1,-0.7824644566111895,-0.5002093934617079,-0.7979240112201251,0.22583959491316097,-0.5250107360014054,0.8556958721793011,0.8615240406258811,0.873745026659073,1.0,-0.8432720747051046,0.8575471510070527,-0.8297470583469422,,0.6475096465552368,,-0.6139239638202826,0.8432720747051,-0.8487738111477204,,-0.8132145380453887,-0.5250107360014054,0.05623295522040331,,,0.9373735263184779,-0.5181326991311423,0.3645172469774816,0.8273531357470053,0.8465617053605509,0.791229522631998,-0.76523010954185,0.853540923419314,,,-0.8432720747051042,0.49632839212056695,0.8533567305914593,-0.4282260587763046,0.7988596348781377,-0.8432720747051023,0.15810630705030224,0.8732940522791174,-0.8208294994732791,-0.5002093934617078,-0.6650718206637459,0.6201526621471335,-0.7784725984115582,0.8348020942742793,0.7610815161261533,-0.7824644566111895,-0.3998566918484595,0.8432720747051169,-0.3992515706509643,-0.7824644566111895,-0.5405316193467553,0.911323139401681,-0.8184180184926891,-0.7646651786679202,0.5128877252479956,-0.5671224163091079,-0.8432720747051065,-0.5002093934617078,0.8632283718407954,-0.7364251662659401,0.8533879840643799,-0.4264202295358175,0.8621251568774823,0.8432714976240689,0.8480527002639967,-0.8334633826781372,0.3955097117777528,-0.5250107360014054,-0.6198935739390323,0.8621165382045642,-0.7537205834527251,0.6031271852929508,0.8509798237370383,-0.7646651786679202,,-0.8114574389122385,0.5607678467754933,-0.06488022583079073,-0.7382559748140688,-0.6556097955680088,-0.6546003697076078,,-0.8277910272792739,0.6679353781366694,-0.8432720747051067,,0.9216338293383911,-0.8824864397424359
6.5.1,0.9207463782886591,0.7639592490718838,0.9864714745561121,-0.07063509228396402,0.6127241072891864,-0.9690874237047031,-0.9749311240304395,-0.958082296374177,-0.8432720747051046,1.0,-0.8594834839526018,0.9503572705937643,,-0.94096581588635,,0.8232017291410165,-1.0,0.9968226634895535,,0.9982443254611275,0.6127241072891865,-0.22609070009998894,,,-0.9386998511309121,0.6796202204413451,-0.23505388878484407,-0.9623790129924374,-0.8667598742522027,-0.9388471343157998,0.9302605094190644,-0.9900172272211297,,,1.0,-0.6558411655782341,-0.9991638688907938,0.4867591574681583,-0.9784921095801636,1.0000000000000002,-0.45963855977694046,-0.8545865691935096,0.9960342417367588,0.7639592490718841,0.9329903614147163,-0.8436703787608038,0.9861048420955097,-0.9974028525607311,-0.46635477735001707,0.9207463782886592,0.04107929673187365,-0.9999999999999998,0.4636395463355248,0.9207463782886592,0.6853605347059948,-0.86555373003803,0.9903336461283987,0.957977327178063,-0.6115477682259073,0.7684506346485307,1.0,0.7639592490718841,-0.9976690487433826,0.8978636847656506,-0.9983436527142866,0.5290184145721394,-0.969909521925894,-0.9999999999925496,-0.9694954610974837,0.9995933103830463,-0.11626396464548394,0.6127241072891865,0.9005867351978648,-0.9909104197172385,0.9139622856856764,-0.8805155422119962,-0.9512701513547505,0.957977327178063,,0.9835176639196447,-0.8049179790609269,0.07903757192371977,0.9535879728407186,0.673537836362586,0.9038073792870386,,0.973396462006059,-0.5590169943749429,0.9999999999999998,,-0.9671503628023458,0.9667646208777023
