,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,6.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,7.1.1,17.18.3,7.3.1,3.9.3,7.1.2,17.18.2,17.8.1,11.5.1,4.5.1,5.1.1,16.a.1,6.2.1,11.5.2,12.4.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,8.b.1,17.19.2,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,14.b.1,2.c.1,14.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,3.3.1,15.2.1
13.1.3,1.0,0.5520037069651739,0.8709521262808627,-0.10481745981985795,0.7211519473064096,-0.9069105557138768,-0.8871001213224619,-0.8836057080113796,-0.7824644566111895,0.9207463782886592,-0.8423859883605341,0.8414479876247773,,-0.9220310313694822,,0.9012156267031983,-0.9207463782886577,0.9053195264461993,,0.9187067416902391,0.7211519473064096,-0.06495935222881347,,,-0.8607864364514256,0.6688115146063011,0.022595588523869732,-0.914467860623041,-0.9077176947848292,-0.9440263299801859,0.9236443067155604,-0.8889381678541365,,,0.9207463782886638,-0.4596676351677647,-0.926578823454616,0.6118434733838201,-0.9473320567101453,0.9207463782886572,-0.418462134952783,-0.8435085297318606,0.9083225191347741,0.5520037069651739,0.8983235598344722,-0.6591113690690225,0.9348200851643939,-0.9335562674035569,-0.3988041484070631,1.0,-0.06455104026652005,-0.9207463782886571,0.6012429724618209,1.0,0.7801721125416382,-0.840371681411821,0.9343992969043605,0.9004985714441239,-0.47835293914031357,0.8652000242413402,0.920746378288658,0.5520037069651739,-0.9268484745679244,0.9372782196354754,-0.914747822125887,0.6461765937080604,-0.9436004771200194,-0.920745638172051,-0.9150650579140497,0.9209793364180903,-0.13316046262873787,0.7211519473064096,0.7457004719036503,-0.9460715966165666,0.913173047862889,-0.8850347869944165,-0.960265476054442,0.9004985714441239,,0.8727567125167055,-0.8130125242241922,0.0038053652784154376,0.9345991235540093,0.7264289964992001,0.8300223198253002,,0.9197470207314821,-0.4968203723785974,0.920746378288663,,-0.8429284360416501,0.9518477557671255
13.1.2,0.5520037069651739,1.0,0.7739035766739805,0.20784142649417547,0.09511044785526204,-0.7288050217582622,-0.7428553270356999,-0.7341132821498925,-0.5002093934617078,0.7639592490718837,-0.6331043638214707,0.7637752536955603,,-0.7718358198492355,,0.6386878581558721,-0.7639592490718932,0.7691134847613966,,0.7802252154431681,0.09511044785526204,-0.1976746043241422,,,-0.66883405803816,0.34156018906019936,-0.09252968565939786,-0.7563189853635085,-0.5731369300295219,-0.7112571929167988,0.7046376042970006,-0.8104531252254487,,,0.763959249071876,-0.9110781121241242,-0.7541586810035508,0.48102858855635144,-0.7390522884822395,0.7639592490718841,-0.4768411650680678,-0.6810657644445159,0.7849536677307694,1.0,0.7143572715333648,-0.6804949653386942,0.7503674857315008,-0.7539275617570345,-0.08514384076928021,0.5520037069651739,-0.249334897685811,-0.7639592490718778,-0.10270531548693222,0.5520037069651739,0.1717423399150071,-0.5213050439640898,0.7274820258324409,0.8024642259755204,-0.44490958054703506,0.431115593900916,0.7639592490718785,1.0,-0.7523652782828146,0.5015209299952524,-0.7614454947722158,0.09374919274700436,-0.7253876954731233,-0.7639608612119773,-0.7829171753130869,0.773459655230662,-0.11232542949910244,0.09511044785526204,0.8038147653067896,-0.7101003007654929,0.5380125367859349,-0.7494663587434293,-0.678919151192882,0.8024642259755204,,0.8130190599770345,-0.664036120933773,-0.06088905373934846,0.6682742121680266,0.27546919631941613,0.7457854149421711,,0.6985672107734923,-0.35639821513445896,0.7639592490718747,,-0.7168438479752804,0.6820612504138528
8.8.2,0.8709521262808627,0.7739035766739805,1.0,-0.12328496097403122,0.6046155751780998,-0.9548858017765848,-0.9661733392117744,-0.9468286999095843,-0.7979240112201254,0.9864714745561121,-0.8316618554798675,0.9343500815490609,,-0.9279367462392238,,0.7800430026769487,-0.9864714745561132,0.9836437653277493,,0.9887738013066336,0.6046155751780998,-0.2572912452864488,,,-0.9169629752614435,0.6879676580664237,-0.27642891389253965,-0.9452980165740635,-0.8224899952219098,-0.8993675126857722,0.917675456447944,-0.9721002377307509,,,0.9864714745561093,-0.6502795379160384,-0.9843468616707067,0.3604594041836555,-0.9586432216161919,0.9864714745561132,-0.44410347177477427,-0.8023955377500926,0.9847457635080681,0.7739035766739805,0.9289091358254988,-0.8625643208410982,0.9727642976488785,-0.9824911903745149,-0.452496283864374,0.8709521262808628,0.05036398382349966,-0.9864714745561096,0.47156817710112403,0.8709521262808628,0.6680853109014275,-0.8331148401522596,0.9695498153302241,0.9383676183123758,-0.6342048759671586,0.7577542103251249,0.9864714745561132,0.7739035766739805,-0.9806728373443954,0.8850949528139902,-0.9858946099814317,0.5101798609424164,-0.9243724727075533,-0.9864714745487636,-0.9329763179661731,0.9869457812623809,-0.05524263767200639,0.6046155751780998,0.9261391395488882,-0.9674070516334056,0.9018715421160282,-0.8443310427599382,-0.9076677041779804,0.9383676183123758,,0.9810704581462927,-0.8018893197487112,0.07933165607552194,0.9328138005113806,0.6709896059799296,0.8958622869784505,,0.971111220086565,-0.54843265124302,0.9864714745561112,,-0.9546971810922733,0.9143517069818743
17.9.1,-0.10481745981985795,0.20784142649417547,-0.12328496097403122,1.0,-0.011746878429347215,0.20952439017978136,0.17494999583163176,0.08271655988193602,0.22583959491316097,-0.07063509228396397,0.2235331449610836,0.10859540134067726,,0.01135724484598445,,-0.14538686172112825,0.07063509228397494,-0.02222957375140908,,-0.05093325505014454,-0.011746878429347215,-0.0370632595225224,,,0.16144943154383132,0.2679249836243305,0.11139826469953736,0.05286935559337768,0.31737783059473434,0.10715629597085048,-0.23076771887179343,0.06493423331296776,,,-0.07063509228395085,-0.03364996795717559,0.1017562348565307,0.1877048165133663,0.15597837006844892,-0.07063509228396508,-0.5192647742250638,0.07815937943138157,-0.03921707883072829,0.20784142649417536,0.07435458200270278,-0.09954777428724303,0.004030853054753958,0.1123556464686947,0.6388728728101433,-0.10481745981985799,-0.36641547907038857,0.07063509228396762,-0.24071004135758495,-0.10481745981985799,-0.06197645658101189,0.4099991535795224,0.006747045079453056,-0.010609005752671836,0.37229879594229826,-0.01109779997540955,-0.07063509228396883,0.20784142649417536,0.08918611165249295,-0.14002396800820582,0.09537852021424904,0.22230382288511205,0.05264302586442213,0.07063213500141578,0.09290463358043508,-0.05945676170603699,-0.2982372887624456,-0.011746878429347215,0.18161034503897847,0.14172138910170168,-0.17159402818401667,-0.222398901177603,0.1671989354149347,-0.010609005752671836,,0.012830564684100034,0.09177902602914717,-0.1638682782443226,0.061312209552357895,-0.6104916972092302,0.14272790891366158,,-0.20961931573976225,0.4389908636600236,-0.07063509228397569,,0.08552818522671027,-0.02131558889313904
13.1.1,0.7211519473064096,0.09511044785526204,0.6046155751780998,-0.011746878429347215,1.0,-0.5328136262248047,-0.5999033309159848,-0.5996086136897013,-0.5250107360014055,0.6127241072891864,-0.5626996543613206,0.6081997191105508,,-0.5769423443119299,,0.48732218714876535,-0.6127241072891783,0.6138923264593622,,0.6114117266430673,1.0,-0.12079443546932225,,,-0.614385311995794,0.9001844181270822,-0.08849513570588761,-0.5977775978218152,-0.5454975021106326,-0.5880521625119958,0.5837086258858689,-0.5369257144272526,,,0.6127241072891987,0.05819393991232128,-0.6123744557160617,0.07097934482355624,-0.5919478185740215,0.6127241072891944,-0.24548565285645538,-0.46099148194968126,0.6085964822836182,0.09511044785526203,0.6705276301566179,-0.5030685105017859,0.6482823656704721,-0.6071092101022113,-0.26279088706001075,0.7211519473064097,0.028594705073533493,-0.6127241072891901,0.9406878586098575,0.7211519473064097,0.789351058960683,-0.5123801825012317,0.6524468934632384,0.595614794890078,-0.2778981943557003,0.8753939335981233,0.6127241072892,0.09511044785526203,-0.6159004455156172,0.8520303690606312,-0.612776021286447,0.949031336129982,-0.5965860408703594,-0.6127236528653424,-0.5073902029252224,0.6134318120393333,-0.1282070646163539,1.0,0.5586421718592168,-0.6018132374990898,0.648903848194654,-0.551832487254572,-0.5878159206073764,0.595614794890078,,0.6151217073944879,-0.5263280495837812,0.020158048436591854,0.6905139898200426,0.3858010328671313,0.5364434128411566,,0.5984544151635527,-0.3238621631503082,0.6127241072891983,,-0.6012042810016247,0.6057418896040843
6.1.1,-0.9069105557138768,-0.7288050217582622,-0.9548858017765848,0.20952439017978136,-0.5328136262248047,1.0,0.9612662057501472,0.9581463289268852,0.855695872179301,-0.9690874237047031,0.8474024767943037,-0.8678928945045495,,0.8939981748151893,,-0.8743808564751785,0.9690874237047008,-0.9591362965385771,,-0.9664884484850216,-0.5328136262248045,0.07871713073092847,,,0.9442764656694335,-0.5808247202358435,0.19756665459468378,0.9661254793745976,0.8756932550294622,0.9021923846894411,-0.9140246460089104,0.9581657316450083,,,-0.969087423704699,0.6849354801890536,0.9733029590008778,-0.5197569367331683,0.9745845197436507,-0.969087423704698,0.44542994772955485,0.890360618829082,-0.9676175226785936,-0.7288050217582621,-0.9090102430270888,0.7408607234835255,-0.9489996387179009,0.9775092302511518,0.536191698587403,-0.9069105557138768,-0.013480071018916179,0.9690874237047006,-0.3932889474074764,-0.9069105557138768,-0.6216115291366129,0.9215041165018416,-0.9487007344282046,-0.9310064419844208,0.531872249736604,-0.7249564753932246,-0.9690874237046998,-0.7288050217582621,0.9668285281566479,-0.8756922923773557,0.9690992459710773,-0.4530815359821772,0.9474707031781642,0.9690870862025223,0.9661091524590693,-0.9687253203392971,0.14889916135250536,-0.5328136262248045,-0.8223320411311479,0.9752463160091074,-0.9027146726526624,0.808832462763178,0.9395283844258936,-0.9310064419844208,,-0.9409198364600032,0.7286298012228339,0.02984925587078616,-0.9045035580289604,-0.7295995833481628,-0.8909981199250492,,-0.9634543450422487,0.6545980761538701,-0.9690874237047018,,0.9325400545913217,-0.9334128030352393
3.b.1,-0.8871001213224619,-0.7428553270356999,-0.9661733392117744,0.17494999583163176,-0.5999033309159848,0.9612662057501472,1.0,0.9350954379833146,0.8615240406258814,-0.9749311240304395,0.8971648354367683,-0.9016988627096301,,0.8930518895614371,,-0.8282427990132095,0.9749311240304436,-0.9625019280436915,,-0.9686099018561151,-0.5999033309159848,0.24637203241712216,,,0.9686905471299379,-0.6227312593668229,0.26020063479081756,0.935229825977199,0.8928952644396877,0.9367983381072952,-0.9305574474325353,0.9819560516477084,,,-0.9749311240304392,0.7096705392233933,0.9800357999995799,-0.4780665738348228,0.9724916476676353,-0.9749311240304434,0.3096631803308149,0.8593649601669012,-0.9782251647642275,-0.7428553270356999,-0.8702006181749752,0.7904661782645395,-0.9338721719100211,0.978606662135243,0.5707349627155173,-0.8871001213224619,-0.030032377607886414,0.9749311240304466,-0.4861714798658927,-0.8871001213224619,-0.5712663395302089,0.9200429320055288,-0.9392820889789861,-0.9701241684738857,0.6642588132800528,-0.7592248201365689,-0.9749311240304444,-0.7428553270356999,0.9754003312936267,-0.9026369460354476,0.9857449607199834,-0.4828311959541045,0.9688423990638264,0.9749311934713218,0.9733461010366573,-0.9746532628885453,0.10252591706040665,-0.5999033309159848,-0.8217566453199934,0.9610910379412698,-0.8344439411773371,0.783879421339513,0.9490646970878672,-0.9701241684738857,,-0.9676845124773311,0.7638938358710661,-0.10919164112496017,-0.8731486335336263,-0.6310991217852154,-0.8164585218366961,,-0.935170926104797,0.7125045754536422,-0.9749311240304451,,0.9673048913390657,-0.9304722809757737
11.6.2,-0.8836057080113796,-0.7341132821498925,-0.9468286999095843,0.08271655988193602,-0.5996086136897013,0.9581463289268852,0.9350954379833146,1.0,0.8737450266590732,-0.9580822963741772,0.894437811970144,-0.9362669204104552,,0.8687828516187843,,-0.7926804459046378,0.9580822963741736,-0.9652711702567827,,-0.9564478533098827,-0.5996086136897015,-0.028252104932613233,,,0.9565968665238389,-0.6945524354124626,0.1406960007253121,0.9908466867963462,0.859836282756709,0.8858437227920084,-0.9060445000016016,0.9441487555194941,,,-0.9580822963741714,0.6190289314555857,0.9590714273470616,-0.42753401500824206,0.9262629625213281,-0.9580822963741729,0.4397343551517717,0.9329078906741829,-0.9511130834915706,-0.7341132821498925,-0.9092423109341511,0.707885501082986,-0.9522829205898583,0.9513603341966181,0.4425460833353569,-0.8836057080113797,-0.0515271713278824,0.9580822963741714,-0.40970910423868045,-0.8836057080113797,-0.6224441709302598,0.8407016384767834,-0.9476761769878816,-0.9170624203625235,0.4243789561843198,-0.7837362502303223,-0.9580822963741744,-0.7341132821498925,0.9651402730723336,-0.8639155632369516,0.9548140444349927,-0.5618679816057053,0.9218039215003154,0.9580822295696186,0.9254347289170529,-0.9600030392097292,0.35564793134106165,-0.5996086136897015,-0.8659659025356596,0.9498352895513218,-0.8695366317692648,0.841039001582921,0.9135704136615073,-0.9170624203625235,,-0.9640578265425871,0.769270058496882,0.17172928537807536,-0.9116292077573253,-0.6558794672237969,-0.8849803119176691,,-0.9573182815465162,0.547754392511432,-0.958082296374172,,0.946791522427286,-0.9274057766632671
10.4.1,-0.7824644566111895,-0.5002093934617078,-0.7979240112201254,0.22583959491316097,-0.5250107360014055,0.855695872179301,0.8615240406258814,0.8737450266590732,1.0,-0.8432720747051048,0.8575471510070526,-0.8297470583469423,,0.6475096465552368,,-0.6139239638202827,0.8432720747051001,-0.8487738111477204,,-0.8132145380453888,-0.5250107360014054,0.05623295522040331,,,0.9373735263184783,-0.5181326991311426,0.36451724697748167,0.8273531357470055,0.8465617053605512,0.7912295226319981,-0.7652301095418501,0.853540923419314,,,-0.8432720747051045,0.49632839212056723,0.8533567305914593,-0.4282260587763045,0.7988596348781377,-0.8432720747051025,0.1581063070503022,0.8732940522791175,-0.8208294994732791,-0.5002093934617079,-0.6650718206637461,0.6201526621471334,-0.7784725984115585,0.8348020942742794,0.7610815161261534,-0.7824644566111896,-0.3998566918484594,0.8432720747051172,-0.3992515706509644,-0.7824644566111896,-0.5405316193467553,0.911323139401681,-0.8184180184926892,-0.7646651786679202,0.5128877252479956,-0.5671224163091079,-0.8432720747051066,-0.5002093934617079,0.8632283718407956,-0.7364251662659405,0.8533879840643799,-0.4264202295358176,0.8621251568774821,0.8432714976240688,0.8480527002639968,-0.8334633826781374,0.39550971177775274,-0.5250107360014054,-0.6198935739390324,0.862116538204564,-0.7537205834527252,0.603127185292951,0.8509798237370383,-0.7646651786679202,,-0.8114574389122389,0.5607678467754934,-0.06488022583079076,-0.7382559748140688,-0.655609795568009,-0.654600369707608,,-0.8277910272792738,0.6679353781366696,-0.8432720747051068,,0.9216338293383911,-0.8824864397424359
6.5.1,0.9207463782886592,0.7639592490718837,0.9864714745561121,-0.07063509228396397,0.6127241072891864,-0.9690874237047031,-0.9749311240304395,-0.9580822963741772,-0.8432720747051048,1.0,-0.8594834839526018,0.9503572705937641,,-0.94096581588635,,0.8232017291410164,-1.0,0.9968226634895535,,0.9982443254611274,0.6127241072891865,-0.22609070009998897,,,-0.9386998511309123,0.679620220441345,-0.23505388878484398,-0.9623790129924374,-0.8667598742522027,-0.9388471343157997,0.9302605094190644,-0.9900172272211297,,,1.0,-0.6558411655782342,-0.9991638688907938,0.48675915746815807,-0.9784921095801634,1.0000000000000002,-0.45963855977694035,-0.8545865691935097,0.996034241736759,0.763959249071884,0.9329903614147165,-0.8436703787608039,0.9861048420955097,-0.9974028525607311,-0.4663547773500169,0.9207463782886592,0.04107929673187367,-0.9999999999999998,0.46363954633552473,0.9207463782886592,0.6853605347059948,-0.86555373003803,0.9903336461283985,0.9579773271780628,-0.6115477682259073,0.7684506346485309,1.0,0.763959249071884,-0.9976690487433826,0.8978636847656506,-0.9983436527142864,0.5290184145721395,-0.969909521925894,-0.9999999999925494,-0.969495461097484,0.9995933103830461,-0.116263964645484,0.6127241072891865,0.9005867351978648,-0.9909104197172385,0.9139622856856763,-0.8805155422119961,-0.9512701513547501,0.9579773271780628,,0.9835176639196447,-0.804917979060927,0.07903757192371981,0.9535879728407188,0.673537836362586,0.9038073792870388,,0.9733964620060591,-0.5590169943749429,1.0,,-0.9671503628023456,0.9667646208777023
