,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
0,13.1.3,13.1.2,pearson,two-sided,9,0.552003706965174,[-0.18  0.89],0.12332479716202106,1.156,0.35824194965725004
1,13.1.3,8.8.2,pearson,two-sided,9,0.8709521262808628,[0.49 0.97],0.0022355303638543753,21.465,0.9248432812258786
2,13.1.3,17.9.1,pearson,two-sided,9,-0.10481745981985796,[-0.72  0.6 ],0.7884129847652035,0.42,0.057355336272878386
3,13.1.3,13.1.1,pearson,two-sided,9,0.7211519473064097,[0.11 0.94],0.028335256042890455,3.28,0.6441814532647242
4,13.1.3,6.1.1,pearson,two-sided,9,-0.9069105557138768,[-0.98 -0.61],0.0007391183887831315,48.809,0.9690683915402759
5,13.1.3,3.b.1,pearson,two-sided,9,-0.8871001213224617,[-0.98 -0.54],0.0014233299737786054,30.018,0.9468607777604662
6,13.1.3,11.6.2,pearson,two-sided,9,-0.8836057080113798,[-0.98 -0.53],0.0015779778828366475,27.805,0.9423730692727779
7,13.1.3,10.4.1,pearson,two-sided,9,-0.7824644566111895,[-0.95 -0.25],0.012684864226556479,5.919,0.7660829997618545
8,13.1.3,6.5.1,pearson,two-sided,9,0.9207463782886594,[0.66 0.98],0.0004267336967965908,73.298,0.9810214661902789
9,13.1.3,1.a.2,pearson,two-sided,9,-0.842385988360534,[-0.97 -0.4 ],0.004371427395876537,13.04,0.8790602089350936
10,13.1.3,4.2.2,pearson,two-sided,9,0.8414479876247773,[0.4  0.97],0.004458849879875678,12.85,0.8774365370328511
11,13.1.3,7.1.1,pearson,two-sided,9,-0.922031031369482,[-0.98 -0.67],0.00040352866825665336,76.392,0.9819743617070325
12,13.1.3,7.3.1,pearson,two-sided,9,0.9012156267031984,[0.59 0.98],0.0009046517630639438,42.018,0.9632743461363518
13,13.1.3,3.9.3,pearson,two-sided,9,-0.9207463782886578,[-0.98 -0.66],0.0004267336967966195,73.298,0.9810214661902776
14,13.1.3,7.1.2,pearson,two-sided,9,0.9053195264461993,[0.6  0.98],0.0007830308144687572,46.765,0.9674996455089455
15,13.1.3,17.8.1,pearson,two-sided,9,0.9187067416902391,[0.65 0.98],0.000465472731543278,68.736,0.9794531726146966
16,13.1.3,11.5.1,pearson,two-sided,9,0.7211519473064097,[0.11 0.94],0.028335256042890455,3.28,0.6441814532647242
17,13.1.3,4.5.1,pearson,two-sided,9,-0.06495935222881338,[-0.7   0.63],0.8681303549007378,0.411,0.0520918091865105
18,13.1.3,6.2.1,pearson,two-sided,9,-0.8607864364514255,[-0.97 -0.46],0.002884895399797271,17.759,0.9094423955019559
19,13.1.3,11.5.2,pearson,two-sided,9,0.668811514606301,[0.01 0.92],0.048868505236247396,2.211,0.5450573078768253
20,13.1.3,12.4.2,pearson,two-sided,9,0.022595588523869795,[-0.65  0.68],0.95398822537933,0.407,0.04924014027256761
21,13.1.3,4.3.1,pearson,two-sided,9,-0.9144678606230409,[-0.98 -0.64],0.0005537468533715929,60.448,0.9759776833172872
22,13.1.3,7.2.1,pearson,two-sided,9,-0.9077176947848292,[-0.98 -0.61],0.0007175124947415742,49.894,0.9698492212201296
23,13.1.3,2.a.1,pearson,two-sided,9,-0.9440263299801861,[-0.99 -0.75],0.00012930235209930997,176.814,0.9941250636383328
24,13.1.3,6.4.2,pearson,two-sided,9,0.9236443067155604,[0.67 0.98],0.0003756588433479833,80.542,0.9831327301339977
25,13.1.3,6.6.1,pearson,two-sided,9,-0.8889381678541367,[-0.98 -0.55],0.0013463678983162634,31.283,0.9491561315945756
26,13.1.3,3.8.1,pearson,two-sided,9,0.9207463782886638,[0.66 0.98],0.00042673369679650905,73.298,0.9810214661902822
27,13.1.3,10.5.1,pearson,two-sided,9,-0.45966763516776454,[-0.86  0.29],0.21318284947850508,0.806,0.24805369843814332
28,13.1.3,6.4.1,pearson,two-sided,9,-0.926578823454616,[-0.98 -0.68],0.0003284705611711848,88.939,0.9851303266863523
29,13.1.3,10.7.3,pearson,two-sided,9,0.61184347338382,[-0.09  0.91],0.07993522193598017,1.559,0.4473511691400925
30,13.1.3,11.1.1,pearson,two-sided,9,-0.9473320567101455,[-0.99 -0.76],0.000104833211530232,206.296,0.9952939490230276
31,13.1.3,14.b.1,pearson,two-sided,9,0.9207463782886574,[0.66 0.98],0.00042673369679662766,73.298,0.9810214661902773
32,13.1.3,2.c.1,pearson,two-sided,9,-0.41846213495278306,[-0.85  0.34],0.26232044023016904,0.709,0.20876781173718884
33,13.1.3,14.1.1,pearson,two-sided,9,-0.8435085297318605,[-0.97 -0.41],0.004268357691056929,13.273,0.8809946147369169
34,13.1.3,12.c.1,pearson,two-sided,9,0.9083225191347744,[0.62 0.98],0.0007016141666134405,50.729,0.9704276743237871
35,13.1.3,11.b.1,pearson,two-sided,9,0.552003706965174,[-0.18  0.89],0.12332479716202106,1.156,0.35824194965725004
36,13.1.3,2.2.2,pearson,two-sided,9,0.8983235598344722,[0.58 0.98],0.0009978775824961163,39.07,0.9601446838036608
37,13.1.3,9.5.2,pearson,two-sided,9,-0.6591113690690226,[-0.92  0.01],0.0534886976700575,2.072,0.527590770781494
38,13.1.3,3.4.1,pearson,two-sided,9,0.934820085164394,[0.71 0.99],0.000218317311238807,120.229,0.9899868196819082
39,13.1.3,15.5.1,pearson,two-sided,9,-0.9335562674035568,[-0.99 -0.71],0.0002332021246485792,114.521,0.9893137831830606
40,13.1.3,8.3.1,pearson,two-sided,9,-0.3988041484070631,[-0.84  0.36],0.2876827973639422,0.671,0.19198056614521536
41,13.1.3,1.5.4,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
42,13.1.3,8.1.1,pearson,two-sided,9,-0.06455104026652006,[-0.7   0.63],0.8689534686766929,0.411,0.05205098732192753
43,13.1.3,3.6.1,pearson,two-sided,9,-0.920746378288657,[-0.98 -0.66],0.0004267336967966338,73.298,0.9810214661902771
44,13.1.3,16.6.1,pearson,two-sided,9,0.6012429724618209,[-0.1  0.9],0.08679550602443864,1.472,0.43052999558307115
45,13.1.3,11.b.2,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
46,13.1.3,2.2.1,pearson,two-sided,9,0.7801721125416381,[0.24 0.95],0.013127146381595673,5.771,0.7615330043420727
47,13.1.3,9.5.1,pearson,two-sided,9,-0.8403716814118211,[-0.97 -0.4 ],0.004560628793611095,12.636,0.8755654407416055
48,13.1.3,1.3.1,pearson,two-sided,9,0.9343992969043604,[0.71 0.99],0.00022319667372901046,118.285,0.9897655943584249
49,13.1.3,12.a.1,pearson,two-sided,9,0.9004985714441239,[0.59 0.98],0.0009271740971940317,41.259,0.962509974915339
