,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,7.1.1,3.d.2,7.3.1,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
13.1.3,1,-0.676105552,0.472808138,0.033007825,-0.115533827,0.550125066,0.484437813,-0.38493497,-0.44246566,-0.413165829,-0.493762373,-0.444613709,0.458730951,0.44246566,0.523027146,0.416328799,-0.464193105,-0.115533827,-0.459463465,0.45390947,-0.262973471,0.313672226,-0.415703106,0.354961139,0.443656219,-0.357082992,-0.185904676,0.493421341,-0.419103178,-0.44246566,0.379270141,-0.402856946,-0.476490528,0.50736968,0.400042139,-0.508841781,0.45776597,-0.247504528,-0.676105552,0.42604776,0.372763953,-0.44246566,-0.436062118,-0.524093448,1,0.244464462,0.44246566,0.469288885,1,-0.495059796,0.482118768,-0.401712936,0.47364971,-0.468045981,0.214287079,0.44246566,-0.676105552,0.235264042,-0.456672823,0.431742745,-0.262973471,-0.524260285,0.446310701,0.383330932,0.389859255,0.433623692,-0.231592948,-0.115533827,0.373968047,-0.367156591,0.47037896,-0.255110494,-0.44246566,0.472721491,0.47364971,-0.377854523,0.299049617,0.425280359,0.074906554,-0.392941357,-0.683208366,0.325159082,0.355585646,0.444626425,-0.454600012,-0.44246566,-0.562405388,0.09915904
13.1.2,-0.676105552,1,-0.627902876,-0.161270617,-0.008632565,-0.751958325,-0.553648608,0.63689021,0.645497224,0.617263821,0.615239203,0.766964989,-0.558519131,-0.645497224,-0.61265256,-0.597010496,0.735554756,-0.008632565,0.63039985,-0.634356754,0.072208081,-0.529036976,0.464238345,-0.536312093,-0.645426926,0.59526834,0.591237388,-0.630614641,0.676372332,0.645497224,-0.463860686,0.638986124,-0.033453861,-0.629727418,0.206848789,0.873046626,-0.620471918,0.194694385,1,-0.614108246,-0.642239615,0.645497224,0.6290866,0.680597513,-0.676105552,-0.152211396,-0.645497224,-0.211343437,-0.676105552,0.741346803,-0.625113754,0.563885558,-0.651039842,0.592044056,-0.01063822,-0.645497224,1,-0.257602698,0.543951972,-0.6241123,0.072208081,0.725965626,-0.593912476,-0.645671618,-0.602291444,-0.625412585,0.280221377,-0.008632565,-0.469393343,0.351703895,-0.701615897,-0.354201768,0.645497224,-0.639210345,-0.651039842,0.520576103,-0.39782969,-0.609750593,-0.639991255,0.219738919,0.829549862,-0.523229637,-0.404281756,-0.661484661,0.65837074,0.645497224,0.697851865,-0.533101618
8.8.2,0.472808138,-0.627902876,1,-0.013240626,-0.411302045,0.921217709,0.906857603,-0.943140045,-0.972742952,-0.91002183,-0.969478489,-0.837620019,0.920548909,0.972742952,0.934971286,0.971855166,-0.937280861,-0.411302045,-0.971587256,0.96623966,0.371871875,0.876525747,-0.589684356,0.781433136,0.972637015,-0.836080713,-0.817758472,0.972863941,-0.950814913,-0.972742952,0.939258069,-0.952345528,-0.273629606,0.986991431,-0.156823196,-0.810999427,0.951142579,-0.663166263,-0.627902876,0.973901469,0.96771693,-0.972742952,-0.975984151,-0.97639633,0.472808138,0.493407027,0.972742952,0.431395806,0.472808138,-0.924734974,0.986912684,-0.966583625,0.94548215,-0.832987128,-0.579535003,0.972742952,-0.627902876,0.445525613,-0.895661636,0.973343523,0.371871875,-0.930750091,0.954118743,0.936938182,0.919116169,0.974619024,-0.44908148,-0.411302045,0.945064911,0.294137296,0.966789468,-0.019945385,-0.972742952,0.972026031,0.94548215,-0.966498722,0.905810636,0.972430124,0.651345475,-0.338055755,-0.873826666,0.924606843,0.92545414,0.957657251,-0.972271668,-0.972742952,-0.873059343,0.783162832
17.9.1,0.033007825,-0.161270617,-0.013240626,1,0.248359437,-0.192819073,-0.048104477,0.264857892,0.169370127,0.355456941,0.166893295,0.037006326,-0.338958038,-0.169370127,-0.237038102,-0.203491847,0.120597932,0.248359437,0.186968588,-0.182104992,0.358130155,0.104336187,0.676401299,-0.427943768,-0.171001944,0.241162784,0.272661099,-0.181681561,0.124413501,0.169370127,-0.245051313,0.151865456,-0.139555335,-0.15177051,-0.017654993,0.193158959,-0.170731742,0.380975157,-0.161270617,-0.182004361,-0.156028453,0.169370127,0.173262994,0.153528518,0.033007825,-0.344264568,-0.169370127,-0.421286475,0.033007825,0.139456293,-0.111291636,0.195448593,-0.088073554,0.227477514,-0.060853612,-0.169370127,-0.161270617,0.475172475,0.195827847,-0.182907688,0.358130155,0.127076471,-0.293683538,-0.23685378,-0.009729093,-0.185344141,-0.223099053,0.248359437,-0.289236978,0.422312042,-0.146411024,0.094548548,0.169370127,-0.172281159,-0.088073554,-0.042257308,-0.304510864,-0.218524902,0.267914708,0.626516589,0.212476074,-0.248530694,-0.138797699,-0.199090796,0.179235441,0.169370127,0.022344075,-0.298089906
13.1.1,-0.115533827,-0.008632565,-0.411302045,0.248359437,1,-0.358919971,-0.43433999,0.485578326,0.500471851,0.459640579,0.393170794,0.501700597,-0.530984572,-0.500471851,-0.35016164,-0.4875337,0.515179034,1,0.454992423,-0.520807598,-0.588401308,-0.411659991,0.322411836,-0.470904158,-0.501004704,0.704895742,0.569284314,-0.361101393,0.549358811,0.500471851,-0.352217633,0.577424317,-0.109085533,-0.39935303,-0.137829511,0.210332,-0.477701629,0.927237934,-0.008632565,-0.496731017,-0.455072024,0.500471851,0.494505175,0.475835873,-0.115533827,-0.029365243,-0.500471851,0.219197543,-0.115533827,0.492741305,-0.343892763,0.529253882,-0.484214438,0.736451329,0.270444294,-0.500471851,-0.008632565,-0.615843067,0.264553497,-0.498667634,-0.588401308,0.549942562,-0.507440075,-0.50488235,-0.464168766,-0.498285002,-0.009130463,1,-0.410763494,-0.21916663,-0.422909583,-0.168666369,0.500471851,-0.44892132,-0.484214438,0.466081741,-0.4255048,-0.479207234,-0.123718375,0.335444168,0.287900537,-0.530587139,-0.421940597,-0.487397194,0.482843954,0.500471851,0.61932869,-0.518696747
3.b.1,0.550125066,-0.751958325,0.921217709,-0.192819073,-0.358919971,1,0.849666512,-0.946840013,-0.947970588,-0.962039386,-0.952711998,-0.860825635,0.946451513,0.947970588,0.884544032,0.936172084,-0.955263027,-0.358919971,-0.960535889,0.947988662,0.112522902,0.820349156,-0.763725343,0.852125578,0.945326789,-0.885216225,-0.86024272,0.937286344,-0.944627184,-0.947970588,0.838839428,-0.933034764,-0.129480945,0.944081248,-0.286040274,-0.933508879,0.900365817,-0.638935234,-0.751958325,0.94153377,0.937889888,-0.947970588,-0.941428588,-0.959568729,0.550125066,0.442225988,0.947970588,0.431984314,0.550125066,-0.936660346,0.947609776,-0.916273866,0.866908341,-0.839105804,-0.379913262,0.947970588,-0.751958325,0.220561542,-0.853343925,0.943212445,0.112522902,-0.918484978,0.944684132,0.939044086,0.911673662,0.945749415,-0.381463137,-0.358919971,0.903311332,-0.023307959,0.961957497,0.092538583,-0.947970588,0.921429576,0.866908341,-0.858427094,0.8211708,0.947955507,0.71410232,-0.499508364,-0.953301,0.886181878,0.809589066,0.948775486,-0.955276,-0.947970588,-0.835953798,0.810883736
11.6.2,0.484437813,-0.553648608,0.906857603,-0.048104477,-0.43433999,0.849666512,1,-0.865246971,-0.857708735,-0.877604633,-0.949605196,-0.764332377,0.804081649,0.857708735,0.783127549,0.845615736,-0.864025939,-0.43433999,-0.935859451,0.849508486,0.445924554,0.954286019,-0.430108329,0.885018644,0.85876917,-0.767840941,-0.757040955,0.834944389,-0.85334811,-0.857708735,0.833933744,-0.865532943,-0.430872783,0.918989816,0.025516815,-0.697507901,0.777810622,-0.61650853,-0.553648608,0.854287886,0.841371698,-0.857708735,-0.860833993,-0.869103194,0.484437813,0.174905504,0.857708735,0.298794913,0.484437813,-0.820764955,0.883451002,-0.856533284,0.785209831,-0.725394523,-0.596038942,0.857708735,-0.553648608,0.481636898,-0.814701513,0.853924802,0.445924554,-0.832643107,0.877604822,0.806205306,0.740933056,0.863849834,-0.067479056,-0.43433999,0.828154596,0.340777899,0.830976146,-0.194409618,-0.857708735,0.841676584,0.785209831,-0.960615613,0.730824252,0.867882518,0.582329644,-0.182524886,-0.756356417,0.743765324,0.801855818,0.82827397,-0.861805799,-0.857708735,-0.738233956,0.631737349
10.4.1,-0.38493497,0.63689021,-0.943140045,0.264857892,0.485578326,-0.946840013,-0.865246971,1,0.98666607,0.98303864,0.95237479,0.889717754,-0.959204885,-0.98666607,-0.927491861,-0.982016111,0.975916221,0.485578326,0.979641119,-0.980720969,-0.31095996,-0.823965692,0.739172143,-0.898052545,-0.987106791,0.927233406,0.944010255,-0.954857727,0.979901137,0.98666607,-0.916821476,0.983838578,0.0529383,-0.96337737,0.244831032,0.893722487,-0.953138497,0.745516949,0.63689021,-0.983053247,-0.987649898,0.98666607,0.985484632,0.97622928,-0.38493497,-0.462147804,-0.98666607,-0.385070938,-0.38493497,0.962215424,-0.946043213,0.973687711,-0.93678922,0.899209081,0.51650165,-0.98666607,0.63689021,-0.341952585,0.867176915,-0.985318126,-0.31095996,0.960670588,-0.990275399,-0.989996663,-0.885446394,-0.987467391,0.308187295,0.485578326,-0.93936223,-0.107990519,-0.977738736,-0.150566994,0.98666607,-0.972254649,-0.93678922,0.897796126,-0.905604321,-0.989038007,-0.647081543,0.451004098,0.903387818,-0.95424282,-0.868214917,-0.985650685,0.988707499,0.98666607,0.875492532,-0.912188749
6.5.1,-0.44246566,0.645497224,-0.972742952,0.169370127,0.500471851,-0.947970588,-0.857708735,0.98666607,1,0.956260999,0.953124474,0.891132789,-0.969681339,-1,-0.949117265,-0.996422726,0.977020116,0.500471851,0.976611248,-0.996545339,-0.322869592,-0.819580559,0.719194952,-0.830851121,-0.999891095,0.922185747,0.906391982,-0.976944,0.988789862,1,-0.92674848,0.989913047,0.099666344,-0.975569521,0.218487795,0.875715646,-0.982299787,0.756818724,0.645497224,-0.997685026,-0.994953333,1,0.999271408,0.995391,-0.44246566,-0.518650123,-1,-0.403994126,-0.44246566,0.970368244,-0.968422064,0.988487968,-0.968282984,0.917190708,0.509111881,-1,0.645497224,-0.399076384,0.878040184,-0.999381011,-0.322869592,0.974059274,-0.987580369,-0.991325694,-0.933065893,-0.999358489,0.427823546,0.500471851,-0.951428754,-0.148123415,-0.993428291,-0.127761743,1,-0.990260409,-0.968282984,0.915447312,-0.925560859,-0.996340539,-0.644230142,0.458515635,0.914749325,-0.974010117,-0.901008235,-0.996532064,0.99951551,1,0.917921429,-0.885993582
1.a.2,-0.413165829,0.617263821,-0.91002183,0.355456941,0.459640579,-0.962039386,-0.877604633,0.98303864,0.956260999,1,0.961590088,0.852155531,-0.960028297,-0.956260999,-0.892607578,-0.952840191,0.951216926,0.459640579,0.978412671,-0.952054168,-0.216205751,-0.828870375,0.778840156,-0.940378307,-0.955592788,0.910010856,0.920263877,-0.931255758,0.947738875,0.956260999,-0.890084276,0.951798152,0.109343067,-0.95049483,0.232164264,0.885993365,-0.903010035,0.727923901,0.617263821,-0.952826157,-0.951435069,0.956260999,0.95450637,0.951853593,-0.413165829,-0.428136412,-0.956260999,-0.420534417,-0.413165829,0.931993546,-0.9329291,0.945252492,-0.869675464,0.857933957,0.492089542,-0.956260999,0.617263821,-0.230733225,0.869895928,-0.955246448,-0.216205751,0.917939919,-0.979909654,-0.958515734,-0.856599151,-0.959676185,0.235224815,0.459640579,-0.933459815,-0.049714165,-0.94746968,-0.06678325,0.956260999,-0.932580472,-0.869675464,0.875406562,-0.86956717,-0.967792076,-0.634039102,0.486371071,0.89978094,-0.911671997,-0.830180464,-0.953910211,0.962081347,0.956260999,0.811329486,-0.865728586
4.2.2,-0.493762373,0.615239203,-0.969478489,0.166893295,0.393170794,-0.952711998,-0.949605196,0.95237479,0.953124474,0.961590088,1,0.814873365,-0.933298955,-0.953124474,-0.908620415,-0.952506653,0.930091571,0.393170794,0.993010624,-0.947160619,-0.278425499,-0.90172757,0.651818414,-0.885444067,-0.952519355,0.837560237,0.828097959,-0.955269851,0.930762599,0.953124474,-0.927601227,0.935177801,0.324503825,-0.988943921,0.135681357,0.826401149,-0.902237805,0.657752841,0.615239203,-0.953615479,-0.943453367,0.953124474,0.955805181,0.961122541,-0.493762373,-0.430698858,-0.953124474,-0.470093537,-0.493762373,0.907835341,-0.979245517,0.948356117,-0.879893121,0.801154795,0.564778024,-0.953124474,0.615239203,-0.319481646,0.910444703,-0.953554375,-0.278425499,0.901292616,-0.966315182,-0.920885172,-0.872376315,-0.958719299,0.299277459,0.393170794,-0.94976667,-0.214235661,-0.944395604,0.107224397,0.953124474,-0.942061332,-0.879893121,0.954660898,-0.874412026,-0.965824014,-0.635408572,0.378859011,0.88313164,-0.885052895,-0.887504789,-0.937489534,0.958091647,0.953124474,0.804587548,-0.759559174
15.8.1,-0.444613709,0.766964989,-0.837620019,0.037006326,0.501700597,-0.860825635,-0.764332377,0.889717754,0.891132789,0.852155531,0.814873365,1,-0.824232613,-0.891132789,-0.775793142,-0.857587869,0.945842368,0.501700597,0.860537283,-0.866933737,-0.354540746,-0.764501585,0.58749002,-0.775899162,-0.89103574,0.915273487,0.89978813,-0.811976833,0.928141485,0.891132789,-0.722045882,0.92003952,-0.040263229,-0.828089247,0.148550139,0.85875812,-0.850407331,0.680520922,0.766964989,-0.859073135,-0.886635539,0.891132789,0.884212277,0.887025558,-0.444613709,-0.231630491,-0.891132789,-0.108191903,-0.444613709,0.969189759,-0.806684958,0.880874039,-0.866218012,0.892899577,0.469515358,-0.891132789,0.766964989,-0.498850835,0.789239726,-0.877929515,-0.354540746,0.93363727,-0.854971614,-0.898684302,-0.831485611,-0.879066801,0.273029402,0.501700597,-0.738587856,0.0011665,-0.880493839,-0.381819938,0.891132789,-0.857610082,-0.866218012,0.792663555,-0.696139014,-0.863092743,-0.710920484,0.20794375,0.851436988,-0.827814992,-0.620139904,-0.880316135,0.891134475,0.891132789,0.918976288,-0.816317613
