,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,2.b.1,7.1.1,3.d.2,17.18.3,7.3.1,3.9.3,7.1.2,17.18.2,17.8.1,11.5.1,4.5.1,16.a.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,8.b.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
13.1.3,1.0,-0.6761055520136801,0.47280813797945975,0.0330078250472668,-0.11553382684750531,0.5501250658917831,0.4844378126817853,-0.3849349696627937,-0.44246566002278276,-0.4131658292119788,-0.49376237343894447,-0.4446137090769551,,0.4587309509968558,0.4424656600227753,,0.523027145739231,,0.4163287991097235,,-0.464193104991072,-0.11553382684750531,-0.45946346542993605,,0.4539094700043572,-0.26297347067629456,0.3136722263668732,-0.4157031058691916,0.3549611385743218,0.4436562193048051,-0.3570829922955055,-0.18590467646241765,0.4934213405079948,-0.4191031784437768,,-0.4424656600227667,0.3792701406686769,-0.4028569456658099,-0.4764905276620759,0.5073696803227973,0.400042138962477,-0.50884178101796,0.4577659696026431,-0.24750452796333852,-0.6761055520136801,0.4260477602433052,0.3727639529950504,-0.44246566002276666,-0.43606211822911195,-0.5240934477190863,1.0,0.24446446207497663,0.44246566002276877,0.4692888852246602,1.0,-0.495059796325742,0.4821187675671313,-0.40171293555452314,0.4736497102260255,-0.4680459808565691,0.2142870789992251,0.44246566002276677,-0.6761055520136801,0.23526404154049724,-0.4566728228758609,0.4317427446412393,-0.26297347067629456,-0.524260284754521,0.44631070139203244,0.38333093215701414,0.3898592552734599,0.43362369178431215,-0.23159294844165526,-0.11553382684750531,0.37396804671947936,-0.3671565909545249,0.47037895957745063,-0.25511049368186356,-0.4424656600227652,0.47272149094481286,0.4736497102260255,-0.3778545227434902,0.29904961734749524,0.42528035892926347,0.07490655365914366,-0.3929413573384125,-0.6832083657498986,0.32515908235980173,0.3555856457392516,0.4446264247181956,-0.4546000117228377,-0.4424656600227719,-0.5624053876432558,0.09915903956555487
13.1.2,-0.6761055520136801,1.0,-0.62790287571089,-0.16127061706891363,-0.008632564808538171,-0.7519583251030363,-0.5536486079373235,0.6368902095909783,0.645497224367901,0.6172638209163694,0.6152392027276954,0.7669649888473675,,-0.5585191314342227,-0.6454972243679008,,-0.6126525602280329,,-0.5970104962223464,,0.7355547562546446,-0.008632564808538171,0.6303998501167158,,-0.6343567544862025,0.07220808099430298,-0.5290369761236194,0.46423834544262593,-0.5363120925812788,-0.6454269262347824,0.5952683399353993,0.591237387834237,-0.6306146406647157,0.6763723320186807,,0.6454972243679008,-0.4638606856730581,0.6389861239787382,-0.03345386118292827,-0.6297274182484492,0.20684878897226724,0.8730466256791796,-0.6204719176885634,0.1946943849950436,1.0,-0.6141082458030571,-0.6422396150286985,0.6454972243679008,0.6290865995930721,0.6805975133131019,-0.67610555201368,-0.15221139645057238,-0.6454972243679036,-0.21134343718583326,-0.67610555201368,0.7413468032113993,-0.6251137543279132,0.5638855575469264,-0.6510398423222948,0.5920440559905554,-0.010638220225993431,-0.6454972243679008,1.0,-0.25760269787335055,0.5439519722037298,-0.6241123003862753,0.07220808099430298,0.725965626011565,-0.5939124757018351,-0.6456716179318273,-0.6022914441217172,-0.625412584820405,0.2802213766524746,-0.008632564808538171,-0.46939334336441935,0.3517038947913047,-0.7016158972063677,-0.3542017681685071,0.6454972243679026,-0.6392103453719156,-0.6510398423222948,0.5205761025302087,-0.39782969001497587,-0.609750593082167,-0.6399912550762799,0.219738918956272,0.8295498624807313,-0.523229637184619,-0.40428175561929286,-0.6614846607661065,0.658370739910391,0.6454972243679163,0.6978518654233813,-0.5331016177641157
8.8.2,0.47280813797945975,-0.62790287571089,1.0,-0.013240626025567017,-0.4113020452958807,0.9212177087126504,0.9068576025748024,-0.9431400453008884,-0.972742952265595,-0.9100218298202729,-0.969478489182854,-0.8376200187221451,,0.9205489090191951,0.9727429522655914,,0.9349712864245912,,0.9718551657607182,,-0.9372808609161534,-0.4113020452958807,-0.9715872556513384,,0.9662396598921209,0.37187187495279816,0.8765257470057766,-0.5896843560110054,0.7814331360440882,0.972637015305723,-0.8360807130116363,-0.8177584717808871,0.972863941040308,-0.9508149128323435,,-0.9727429522655913,0.939258068603948,-0.9523455284485417,-0.27362960642330125,0.9869914306791188,-0.15682319596826846,-0.8109994265345788,0.9511425790537795,-0.6631662631427887,-0.6279028757108901,0.9739014688831678,0.967716929801182,-0.9727429522655913,-0.9759841511272969,-0.9763963297189083,0.47280813797945964,0.49340702707244144,0.9727429522655905,0.43139580596903404,0.47280813797945964,-0.9247349738682803,0.9869126844758408,-0.9665836250665463,0.9454821500843974,-0.8329871284939413,-0.5795350025106663,0.9727429522655913,-0.6279028757108901,0.4455256133189713,-0.8956616360781228,0.973343522829531,0.37187187495279816,-0.9307500910328513,0.9541187428036935,0.936938182419382,0.9191161691018331,0.9746190241819445,-0.4490814802703469,-0.4113020452958807,0.9450649105941399,0.2941372957883658,0.966789467851403,-0.019945385143119547,-0.9727429522655895,0.9720260306558166,0.9454821500843974,-0.966498721757259,0.905810635505006,0.9724301237177697,0.651345474859206,-0.3380557554940503,-0.8738266658088147,0.924606842813237,0.9254541396510148,0.9576572508523675,-0.9722716683208231,-0.9727429522655924,-0.8730593432721523,0.783162831594279
17.9.1,0.0330078250472668,-0.16127061706891363,-0.013240626025567017,1.0,0.24835943662604182,-0.1928190733228435,-0.04810447692601381,0.26485789195654824,0.1693701274759206,0.35545694149759466,0.1668932947560094,0.03700632557090571,,-0.33895803799088187,-0.16937012747593225,,-0.23703810172532913,,-0.2034918469565752,,0.12059793211924112,0.24835943662604182,0.18696858789744245,,-0.18210499159065005,0.358130155277465,0.10433618722070549,0.6764012985797847,-0.42794376822818,-0.1710019443347393,0.24116278394341098,0.2726610989789126,-0.1816815609247168,0.12441350104031931,,0.1693701274759295,-0.24505131278504483,0.15186545590138606,-0.1395553349637226,-0.15177051017585969,-0.01765499282991566,0.1931589593082329,-0.17073174195893762,0.38097515702208323,-0.16127061706891369,-0.18200436145444365,-0.1560284534685318,0.16937012747592955,0.17326299392144703,0.15352851827261116,0.03300782504726675,-0.3442645682267647,-0.16937012747593264,-0.4212864750469275,0.03300782504726675,0.13945629344538238,-0.11129163643654559,0.19544859335478854,-0.08807355428909058,0.2274775142793832,-0.060853612363868485,-0.16937012747592955,-0.16127061706891369,0.4751724751669173,0.19582784679665438,-0.18290768833565338,0.358130155277465,0.12707647072387307,-0.29368353834419836,-0.23685378041134114,-0.009729093406647796,-0.18534414139719382,-0.2230990528121885,0.24835943662604182,-0.28923697813607696,0.4223120419331761,-0.14641102414025406,0.09454854834361946,0.16937012747592844,-0.1722811590814745,-0.08807355428909058,-0.042257307853027365,-0.30451086421576323,-0.21852490232092442,0.2679147080468829,0.6265165886556068,0.2124760744089462,-0.24853069371584174,-0.13879769931569425,-0.19909079580659605,0.17923544065284785,0.16937012747590466,0.022344075118081924,-0.2980899061740463
13.1.1,-0.11553382684750531,-0.008632564808538171,-0.4113020452958807,0.24835943662604182,1.0,-0.35891997105723994,-0.43433999016362534,0.4855783261599219,0.5004718511509918,0.4596405788862103,0.39317079447282904,0.5017005974818757,,-0.5309845722048632,-0.500471851150985,,-0.35016164023350455,,-0.4875337000506105,,0.5151790340797225,1.0,0.45499242344944685,,-0.520807597591883,-0.5884013084483073,-0.411659991027202,0.32241183634701925,-0.4709041578924241,-0.5010047039022952,0.7048957423691535,0.5692843144239145,-0.361101392750422,0.5493588112204025,,0.500471851150984,-0.35221763292459196,0.5774243168650813,-0.1090855330533157,-0.3993530301440711,-0.13782951107810704,0.2103320003991127,-0.47770162897765045,0.9272379339301206,-0.008632564808538188,-0.4967310167906445,-0.4550720240416057,0.500471851150984,0.49450517458656673,0.4758358731388411,-0.11553382684750531,-0.029365242661253312,-0.5004718511509814,0.21919754298257416,-0.11553382684750531,0.4927413047942034,-0.3438927626850561,0.5292538818695225,-0.48421443803947634,0.7364513285236646,0.27044429419713306,-0.500471851150984,-0.008632564808538188,-0.6158430674454223,0.26455349676578166,-0.49866763372487893,-0.5884013084483073,0.5499425623450387,-0.5074400751647663,-0.50488235007986,-0.46416876581138133,-0.4982850015443382,-0.009130462753737637,1.0,-0.4107634942659743,-0.21916662993705588,-0.42290958279890056,-0.16866636882127725,0.5004718511510011,-0.44892132032748205,-0.48421443803947634,0.46608174088340837,-0.42550479955687803,-0.4792072335242934,-0.12371837511929792,0.33544416814323313,0.2879005365715741,-0.5305871390725128,-0.4219405965761458,-0.487397193550891,0.4828439543052405,0.5004718511509763,0.6193286902875077,-0.5186967473347202
3.b.1,0.5501250658917831,-0.7519583251030363,0.9212177087126504,-0.1928190733228435,-0.35891997105723994,1.0,0.8496665118517661,-0.9468400132473027,-0.9479705879819834,-0.9620393855609648,-0.9527119976619731,-0.8608256346893579,,0.9464515134394947,0.9479705879819827,,0.8845440315629652,,0.9361720843384922,,-0.9552630274904762,-0.35891997105723983,-0.9605358887765799,,0.9479886619646006,0.11252290151967942,0.8203491555443381,-0.7637253434343934,0.8521255775861539,0.9453267888714839,-0.8852162248796701,-0.8602427204913382,0.9372863436081312,-0.9446271837755257,,-0.9479705879819817,0.8388394282955959,-0.9330347636028821,-0.1294809446120555,0.944081247815677,-0.2860402738726778,-0.933508879240997,0.9003658172165923,-0.6389352336793699,-0.7519583251030366,0.9415337701658484,0.9378898876186073,-0.9479705879819817,-0.9414285875253615,-0.959568729252409,0.550125065891783,0.44222598765646637,0.947970587981983,0.43198431388403047,0.550125065891783,-0.9366603464394078,0.9476097763671703,-0.9162738663854443,0.8669083411533248,-0.8391058035833215,-0.3799132620970719,0.9479705879819816,-0.7519583251030366,0.22056154170235256,-0.85334392451938,0.9432124446978659,0.11252290151967942,-0.9184849775369343,0.94468413156106,0.9390440864290264,0.9116736622024468,0.9457494146539811,-0.38146313749307953,-0.35891997105723983,0.9033113321961049,-0.02330795863469228,0.961957497409857,0.0925385830132595,-0.9479705879819814,0.9214295760708837,0.8669083411533248,-0.8584270944945708,0.8211708000097062,0.9479555074461812,0.7141023195096681,-0.4995083643537498,-0.9533010000497899,0.886181877666629,0.8095890663171275,0.9487754863283835,-0.9552759997056601,-0.9479705879819801,-0.83595379771867,0.8108837358446735
11.6.2,0.4844378126817853,-0.5536486079373235,0.9068576025748024,-0.04810447692601381,-0.43433999016362534,0.8496665118517661,1.0,-0.8652469708942075,-0.8577087352768997,-0.8776046327641285,-0.949605196025539,-0.7643323771416325,,0.8040816491011556,0.8577087352768884,,0.7831275491540437,,0.8456157356748897,,-0.8640259393773095,-0.4343399901636253,-0.9358594513224047,,0.8495084859813511,0.4459245536911053,0.9542860194242037,-0.43010832930620246,0.8850186439339488,0.8587691702671372,-0.767840941424535,-0.7570409547237481,0.8349443894930492,-0.8533481100506326,,-0.8577087352768882,0.8339337444955925,-0.8655329434720499,-0.43087278284521235,0.9189898155362507,0.025516815244045813,-0.6975079008321569,0.7778106219298492,-0.6165085296432795,-0.5536486079373236,0.8542878861433507,0.8413716975574713,-0.8577087352768882,-0.8608339929006212,-0.8691031938729946,0.4844378126817852,0.17490550409996208,0.8577087352768873,0.2987949134658638,0.4844378126817852,-0.8207649545003749,0.8834510023858174,-0.8565332841013992,0.7852098312153991,-0.725394522594522,-0.5960389424036506,0.8577087352768881,-0.5536486079373236,0.48163689813199234,-0.8147015125472367,0.8539248018011,0.4459245536911053,-0.8326431066070695,0.8776048221168892,0.8062053062348012,0.7409330557970883,0.8638498335022559,-0.06747905551917154,-0.4343399901636253,0.8281545959495872,0.34077789855889323,0.8309761455874152,-0.1944096180818965,-0.8577087352768962,0.8416765836916116,0.7852098312153991,-0.960615612912648,0.7308242518464438,0.8678825180963003,0.5823296440976949,-0.18252488598360628,-0.7563564166097856,0.7437653242303729,0.8018558176937234,0.8282739697877486,-0.8618057993198087,-0.8577087352768837,-0.7382339562390333,0.6317373487899285
10.4.1,-0.3849349696627937,0.6368902095909783,-0.9431400453008884,0.26485789195654824,0.4855783261599219,-0.9468400132473027,-0.8652469708942075,1.0,0.9866660700433718,0.9830386401711808,0.9523747902001232,0.8897177541890485,,-0.9592048853225512,-0.9866660700433725,,-0.9274918613442699,,-0.9820161112892413,,0.9759162212537285,0.4855783261599219,0.9796411192032107,,-0.9807209685690278,-0.310959959919611,-0.8239656915418702,0.7391721428228228,-0.898052544631641,-0.9871067912279184,0.927233405541033,0.9440102547324459,-0.954857726578203,0.9799011374280718,,0.9866660700433734,-0.9168214762855538,0.9838385779678478,0.05293830031781336,-0.9633773699731911,0.24483103248375387,0.8937224866722425,-0.9531384969379177,0.7455169494028837,0.6368902095909783,-0.9830532474469262,-0.9876498979542073,0.9866660700433734,0.9854846324369985,0.9762292796765377,-0.3849349696627937,-0.4621478041472554,-0.9866660700433738,-0.3850709382937305,-0.3849349696627937,0.9622154237276976,-0.9460432126446564,0.9736877113764895,-0.9367892201092916,0.8992090812422994,0.5165016504144492,-0.9866660700433736,0.6368902095909783,-0.34195258471827106,0.8671769152136855,-0.9853181255360939,-0.310959959919611,0.9606705881115428,-0.990275399223974,-0.989996662657225,-0.8854463939621441,-0.987467390633061,0.3081872952980229,0.4855783261599219,-0.9393622302221384,-0.10799051852245908,-0.9777387355170383,-0.15056699444793045,0.9866660700433754,-0.9722546485401711,-0.9367892201092916,0.8977961259744554,-0.9056043208030943,-0.9890380068562484,-0.6470815431491637,0.45100409763489363,0.9033878183863329,-0.9542428197665416,-0.8682149174716556,-0.985650684645079,0.9887074989890032,0.9866660700433708,0.8754925316030373,-0.9121887486810577
6.5.1,-0.44246566002278276,0.645497224367901,-0.972742952265595,0.1693701274759206,0.5004718511509918,-0.9479705879819834,-0.8577087352768997,0.9866660700433718,1.0,0.9562609994502032,0.9531244744392942,0.8911327886790057,,-0.9696813389509936,-1.0000000000000002,,-0.9491172651098272,,-0.9964227255892502,,0.9770201162915964,0.5004718511509917,0.976611248381484,,-0.9965453386929354,-0.3228695919625289,-0.8195805592219215,0.7191949522280708,-0.830851121174785,-0.9998910946004579,0.9221857468377854,0.9063919816167281,-0.9769440004676233,0.9887898619676507,,1.0,-0.9267484796056465,0.9899130466509168,0.09966634402141673,-0.9755695214106164,0.21848779496528017,0.8757156462534509,-0.9822997871164143,0.7568187244008122,0.6454972243679011,-0.9976850262509761,-0.9949533333123516,1.0,0.9992714076536109,0.995391000452586,-0.44246566002278276,-0.5186501228216773,-1.0,-0.40399412574269605,-0.44246566002278276,0.9703682442484395,-0.9684220639988838,0.9884879675559658,-0.9682829840462279,0.9171907076290103,0.5091118809071714,-1.0,0.6454972243679011,-0.3990763835206435,0.8780401836207474,-0.9993810113611729,-0.3228695919625289,0.9740592741533725,-0.9875803689386089,-0.9913256939298463,-0.9330658930586636,-0.9993584885712888,0.4278235460527817,0.5004718511509917,-0.9514287535718561,-0.14812341491974496,-0.9934282906715541,-0.12776174298217816,1.0,-0.99026040893955,-0.9682829840462279,0.9154473123053981,-0.9255608593376484,-0.9963405393787211,-0.6442301423336705,0.4585156351436466,0.9147493254099862,-0.9740101170042235,-0.9010082354280023,-0.9965320644298807,0.9995155102962501,1.0000000000000002,0.9179214292883382,-0.8859935817433505
1.a.2,-0.4131658292119788,0.6172638209163694,-0.9100218298202729,0.35545694149759466,0.4596405788862103,-0.9620393855609648,-0.8776046327641285,0.9830386401711808,0.9562609994502032,1.0,0.9615900880333594,0.8521555311450344,,-0.9600282966635514,-0.956260999450203,,-0.8926075776624616,,-0.9528401914468729,,0.9512169260622253,0.45964057888621024,0.9784126711596868,,-0.9520541677697577,-0.21620575104817527,-0.8288703751623918,0.7788401556090575,-0.9403783071489925,-0.9555927884965669,0.9100108558160963,0.9202638774203129,-0.931255757819765,0.9477388747005356,,0.9562609994502029,-0.8900842764027591,0.9517981517673566,0.10934306661581018,-0.9504948297932698,0.23216426360624526,0.8859933650483915,-0.9030100353690362,0.7279239012611003,0.6172638209163696,-0.9528261572559191,-0.9514350689195779,0.9562609994502029,0.9545063700934137,0.9518535929365305,-0.41316582921197875,-0.4281364116501585,-0.9562609994502039,-0.42053441696499,-0.41316582921197875,0.9319935459649079,-0.9329291000702268,0.945252491799571,-0.8696754636561989,0.857933956551717,0.4920895415811909,-0.9562609994502029,0.6172638209163696,-0.23073322472923005,0.8698959279440235,-0.9552464483921873,-0.21620575104817527,0.917939918801302,-0.9799096543678778,-0.9585157341406575,-0.8565991510176697,-0.9596761850002817,0.2352248153268975,0.45964057888621024,-0.9334598153770578,-0.049714165457605805,-0.9474696795675138,-0.06678324980054624,0.9562609994502063,-0.932580471749209,-0.8696754636561989,0.8754065618091587,-0.8695671704882116,-0.9677920764688088,-0.6340391023749778,0.48637107081030223,0.899780940065457,-0.9116719974218791,-0.8301804637720656,-0.9539102114077448,0.9620813466069623,0.9562609994501966,0.8113294863650649,-0.8657285861766068
