,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,2.b.1,7.1.1,3.d.2,17.18.3,7.3.1,3.9.3,7.1.2,17.18.2,17.8.1,11.5.1,4.5.1,16.a.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,8.b.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
13.1.3,1.0,-0.6761055520136798,0.47280813797945975,0.033007825047266716,-0.11553382684750534,0.5501250658917831,0.48443781268178526,-0.38493496966279367,-0.44246566002278276,-0.41316582921197864,-0.4937623734389445,-0.44461370907695513,,0.4587309509968557,0.4424656600227752,,0.5230271457392309,,0.4163287991097234,,-0.46419310499107197,-0.11553382684750534,-0.4594634654299359,,0.45390947000435705,-0.2629734706762946,0.31367222636687314,-0.41570310586919157,0.3549611385743219,0.44365621930480503,-0.35708299229550544,-0.1859046764624176,0.4934213405079948,-0.41910317844377676,,-0.44246566002276655,0.3792701406686768,-0.40285694566580993,-0.476490527662076,0.5073696803227973,0.4000421389624772,-0.5088417810179597,0.45776596960264304,-0.2475045279633385,-0.6761055520136798,0.4260477602433051,0.37276395299505044,-0.44246566002276666,-0.436062118229112,-0.5240934477190863,1.0,0.2444644620749766,0.4424656600227687,0.4692888852246603,1.0,-0.495059796325742,0.4821187675671312,-0.40171293555452325,0.4736497102260253,-0.46804598085656907,0.2142870789992251,0.44246566002276666,-0.6761055520136798,0.2352640415404973,-0.456672822875861,0.4317427446412393,-0.2629734706762946,-0.5242602847545209,0.4463107013920324,0.383330932157014,0.3898592552734599,0.4336236917843121,-0.23159294844165532,-0.11553382684750534,0.37396804671947936,-0.3671565909545249,0.4703789595774506,-0.25511049368186356,-0.4424656600227653,0.47272149094481275,0.4736497102260253,-0.37785452274349013,0.29904961734749524,0.42528035892926336,0.0749065536591435,-0.39294135733841246,-0.6832083657498983,0.3251590823598016,0.3555856457392515,0.4446264247181955,-0.45460001172283765,-0.4424656600227718,-0.5624053876432558,0.09915903956555479
13.1.2,-0.6761055520136798,1.0,-0.6279028757108899,-0.16127061706891366,-0.008632564808538221,-0.7519583251030364,-0.5536486079373236,0.6368902095909782,0.6454972243679009,0.6172638209163694,0.6152392027276954,0.7669649888473676,,-0.5585191314342228,-0.6454972243679007,,-0.6126525602280327,,-0.5970104962223465,,0.7355547562546445,-0.008632564808538221,0.6303998501167158,,-0.6343567544862023,0.07220808099430301,-0.5290369761236193,0.46423834544262593,-0.5363120925812788,-0.6454269262347823,0.5952683399353993,0.5912373878342368,-0.6306146406647158,0.6763723320186806,,0.6454972243679006,-0.46386068567305805,0.6389861239787382,-0.03345386118292834,-0.6297274182484491,0.2068487889722673,0.8730466256791796,-0.6204719176885634,0.19469438499504343,1.0,-0.6141082458030571,-0.6422396150286986,0.6454972243679007,0.6290865995930721,0.6805975133131019,-0.6761055520136798,-0.15221139645057236,-0.6454972243679035,-0.21134343718583326,-0.6761055520136798,0.7413468032113992,-0.625113754327913,0.5638855575469264,-0.6510398423222948,0.5920440559905554,-0.010638220225993637,-0.6454972243679006,1.0,-0.2576026978733505,0.5439519722037297,-0.6241123003862751,0.07220808099430301,0.725965626011565,-0.593912475701835,-0.6456716179318273,-0.6022914441217172,-0.625412584820405,0.28022137665247465,-0.008632564808538221,-0.46939334336441924,0.35170389479130476,-0.7016158972063675,-0.35420176816850707,0.6454972243679025,-0.6392103453719153,-0.6510398423222948,0.5205761025302086,-0.3978296900149758,-0.609750593082167,-0.6399912550762799,0.21973891895627198,0.8295498624807313,-0.5232296371846188,-0.40428175561929275,-0.6614846607661065,0.6583707399103909,0.6454972243679163,0.6978518654233813,-0.5331016177641156
8.8.2,0.47280813797945975,-0.6279028757108899,1.0,-0.013240626025567019,-0.4113020452958809,0.9212177087126504,0.9068576025748024,-0.9431400453008882,-0.972742952265595,-0.9100218298202731,-0.969478489182854,-0.8376200187221454,,0.9205489090191953,0.9727429522655915,,0.934971286424591,,0.9718551657607184,,-0.9372808609161534,-0.4113020452958809,-0.9715872556513384,,0.9662396598921207,0.3718718749527982,0.8765257470057765,-0.5896843560110054,0.7814331360440882,0.972637015305723,-0.8360807130116363,-0.8177584717808872,0.972863941040308,-0.9508149128323437,,-0.972742952265591,0.939258068603948,-0.9523455284485417,-0.27362960642330125,0.986991430679119,-0.15682319596826844,-0.8109994265345788,0.9511425790537795,-0.6631662631427887,-0.6279028757108899,0.9739014688831679,0.967716929801182,-0.972742952265591,-0.9759841511272968,-0.9763963297189081,0.47280813797945975,0.49340702707244144,0.9727429522655905,0.43139580596903404,0.47280813797945975,-0.9247349738682803,0.9869126844758408,-0.9665836250665463,0.9454821500843974,-0.8329871284939413,-0.5795350025106661,0.972742952265591,-0.6279028757108899,0.4455256133189713,-0.8956616360781228,0.9733435228295311,0.3718718749527982,-0.9307500910328511,0.9541187428036935,0.9369381824193821,0.9191161691018331,0.9746190241819446,-0.44908148027034694,-0.4113020452958809,0.9450649105941401,0.2941372957883659,0.966789467851403,-0.01994538514311954,-0.9727429522655895,0.9720260306558165,0.9454821500843974,-0.9664987217572588,0.905810635505006,0.9724301237177697,0.6513454748592061,-0.3380557554940503,-0.8738266658088147,0.924606842813237,0.9254541396510145,0.9576572508523675,-0.9722716683208231,-0.9727429522655926,-0.8730593432721522,0.7831628315942788
17.9.1,0.033007825047266716,-0.16127061706891366,-0.013240626025567019,1.0,0.2483594366260419,-0.19281907332284343,-0.04810447692601385,0.2648578919565482,0.16937012747592053,0.3554569414975947,0.16689329475600947,0.03700632557090574,,-0.33895803799088187,-0.16937012747593228,,-0.2370381017253292,,-0.20349184695657527,,0.12059793211924116,0.2483594366260419,0.18696858789744253,,-0.18210499159065013,0.358130155277465,0.10433618722070542,0.676401298579785,-0.42794376822818003,-0.17100194433473934,0.24116278394341098,0.27266109897891255,-0.18168156092471688,0.12441350104031937,,0.16937012747592958,-0.24505131278504472,0.15186545590138617,-0.13955533496372258,-0.1517705101758597,-0.017654992829915686,0.19315895930823299,-0.1707317419589377,0.38097515702208323,-0.16127061706891366,-0.18200436145444357,-0.15602845346853184,0.1693701274759295,0.17326299392144703,0.15352851827261116,0.033007825047266716,-0.34426456822676466,-0.1693701274759327,-0.4212864750469276,0.033007825047266716,0.1394562934453824,-0.11129163643654562,0.19544859335478856,-0.08807355428909057,0.22747751427938312,-0.06085361236386852,-0.16937012747592955,-0.16127061706891366,0.4751724751669169,0.19582784679665435,-0.1829076883356534,0.358130155277465,0.1270764707238731,-0.29368353834419825,-0.23685378041134106,-0.009729093406647836,-0.18534414139719385,-0.22309905281218853,0.2483594366260419,-0.28923697813607696,0.422312041933176,-0.14641102414025411,0.09454854834361945,0.16937012747592836,-0.17228115908147446,-0.08807355428909057,-0.042257307853027316,-0.30451086421576323,-0.21852490232092442,0.26791470804688294,0.626516588655607,0.21247607440894622,-0.24853069371584174,-0.13879769931569425,-0.19909079580659603,0.17923544065284783,0.16937012747590469,0.022344075118081928,-0.2980899061740463
13.1.1,-0.11553382684750534,-0.008632564808538221,-0.4113020452958809,0.2483594366260419,1.0,-0.3589199710572399,-0.4343399901636253,0.48557832615992186,0.5004718511509918,0.45964057888621024,0.39317079447282904,0.5017005974818756,,-0.5309845722048632,-0.500471851150985,,-0.3501616402335046,,-0.4875337000506105,,0.5151790340797224,1.0,0.45499242344944674,,-0.5208075975918829,-0.5884013084483073,-0.411659991027202,0.32241183634701925,-0.47090415789242407,-0.5010047039022952,0.7048957423691534,0.5692843144239143,-0.361101392750422,0.5493588112204025,,0.5004718511509839,-0.3522176329245919,0.5774243168650813,-0.10908553305331563,-0.39935303014407114,-0.13782951107810715,0.21033200039911276,-0.4777016289776505,0.9272379339301207,-0.008632564808538221,-0.4967310167906445,-0.45507202404160574,0.5004718511509839,0.49450517458656684,0.475835873138841,-0.11553382684750534,-0.02936524266125328,-0.5004718511509814,0.2191975429825742,-0.11553382684750534,0.49274130479420347,-0.3438927626850561,0.5292538818695225,-0.4842144380394763,0.7364513285236645,0.27044429419713306,-0.5004718511509839,-0.008632564808538221,-0.6158430674454223,0.26455349676578166,-0.4986676337248789,-0.5884013084483073,0.5499425623450386,-0.5074400751647664,-0.50488235007986,-0.4641687658113812,-0.4982850015443382,-0.009130462753737646,1.0,-0.41076349426597436,-0.21916662993705585,-0.42290958279890045,-0.16866636882127725,0.500471851151001,-0.448921320327482,-0.4842144380394763,0.4660817408834082,-0.42550479955687803,-0.47920723352429323,-0.1237183751192979,0.33544416814323313,0.2879005365715741,-0.5305871390725126,-0.42194059657614563,-0.4873971935508911,0.4828439543052406,0.5004718511509761,0.6193286902875078,-0.5186967473347202
3.b.1,0.5501250658917831,-0.7519583251030364,0.9212177087126504,-0.19281907332284343,-0.3589199710572399,1.0,0.8496665118517662,-0.9468400132473028,-0.9479705879819836,-0.962039385560965,-0.9527119976619731,-0.860825634689358,,0.9464515134394951,0.9479705879819826,,0.8845440315629652,,0.9361720843384924,,-0.9552630274904763,-0.3589199710572399,-0.96053588877658,,0.9479886619646005,0.11252290151967943,0.8203491555443381,-0.7637253434343934,0.852125577586154,0.9453267888714839,-0.88521622487967,-0.8602427204913383,0.9372863436081315,-0.9446271837755257,,-0.9479705879819815,0.838839428295596,-0.9330347636028821,-0.12948094461205553,0.9440812478156771,-0.2860402738726777,-0.933508879240997,0.9003658172165923,-0.63893523367937,-0.7519583251030364,0.9415337701658483,0.9378898876186071,-0.9479705879819816,-0.9414285875253614,-0.9595687292524087,0.5501250658917831,0.44222598765646626,0.9479705879819831,0.4319843138840306,0.5501250658917831,-0.9366603464394075,0.9476097763671704,-0.9162738663854445,0.8669083411533248,-0.8391058035833215,-0.3799132620970718,0.9479705879819816,-0.7519583251030364,0.2205615417023525,-0.85334392451938,0.9432124446978657,0.11252290151967943,-0.9184849775369344,0.94468413156106,0.9390440864290263,0.9116736622024469,0.9457494146539811,-0.3814631374930795,-0.3589199710572399,0.9033113321961047,-0.0233079586346923,0.961957497409857,0.09253858301325948,-0.9479705879819815,0.9214295760708835,0.8669083411533248,-0.8584270944945708,0.8211708000097063,0.9479555074461812,0.7141023195096682,-0.49950836435374985,-0.9533010000497898,0.8861818776666291,0.8095890663171273,0.9487754863283835,-0.9552759997056602,-0.9479705879819801,-0.83595379771867,0.8108837358446738
11.6.2,0.48443781268178526,-0.5536486079373236,0.9068576025748024,-0.04810447692601385,-0.4343399901636253,0.8496665118517662,1.0,-0.8652469708942075,-0.8577087352768998,-0.8776046327641285,-0.949605196025539,-0.7643323771416325,,0.8040816491011559,0.8577087352768884,,0.7831275491540438,,0.8456157356748896,,-0.8640259393773098,-0.4343399901636253,-0.9358594513224046,,0.8495084859813513,0.4459245536911054,0.9542860194242037,-0.43010832930620246,0.8850186439339489,0.8587691702671374,-0.7678409414245349,-0.757040954723748,0.8349443894930494,-0.8533481100506325,,-0.8577087352768883,0.8339337444955923,-0.86553294347205,-0.43087278284521235,0.9189898155362511,0.025516815244045823,-0.6975079008321567,0.7778106219298493,-0.6165085296432795,-0.5536486079373236,0.8542878861433507,0.8413716975574714,-0.8577087352768883,-0.8608339929006212,-0.8691031938729947,0.48443781268178526,0.17490550409996208,0.8577087352768873,0.29879491346586373,0.48443781268178526,-0.8207649545003748,0.8834510023858174,-0.8565332841013995,0.785209831215399,-0.725394522594522,-0.5960389424036505,0.8577087352768882,-0.5536486079373236,0.48163689813199245,-0.8147015125472366,0.8539248018010999,0.4459245536911054,-0.8326431066070696,0.8776048221168892,0.8062053062348012,0.7409330557970883,0.863849833502256,-0.06747905551917158,-0.4343399901636253,0.8281545959495872,0.34077789855889323,0.8309761455874152,-0.1944096180818965,-0.8577087352768962,0.8416765836916116,0.785209831215399,-0.960615612912648,0.7308242518464438,0.8678825180963003,0.5823296440976948,-0.18252488598360628,-0.7563564166097856,0.743765324230373,0.8018558176937234,0.8282739697877486,-0.8618057993198086,-0.8577087352768835,-0.7382339562390333,0.6317373487899285
10.4.1,-0.38493496966279367,0.6368902095909782,-0.9431400453008882,0.2648578919565482,0.48557832615992186,-0.9468400132473028,-0.8652469708942075,1.0,0.986666070043372,0.9830386401711806,0.9523747902001232,0.8897177541890484,,-0.9592048853225512,-0.9866660700433724,,-0.9274918613442699,,-0.9820161112892415,,0.9759162212537282,0.48557832615992186,0.9796411192032105,,-0.9807209685690279,-0.31095995991961106,-0.8239656915418699,0.7391721428228228,-0.898052544631641,-0.9871067912279184,0.927233405541033,0.9440102547324459,-0.954857726578203,0.9799011374280716,,0.9866660700433734,-0.9168214762855535,0.9838385779678478,0.052938300317813373,-0.9633773699731911,0.24483103248375393,0.8937224866722424,-0.9531384969379175,0.7455169494028837,0.6368902095909782,-0.9830532474469261,-0.9876498979542071,0.9866660700433734,0.9854846324369981,0.9762292796765377,-0.38493496966279367,-0.4621478041472553,-0.9866660700433739,-0.3850709382937305,-0.38493496966279367,0.9622154237276975,-0.9460432126446564,0.9736877113764896,-0.9367892201092916,0.8992090812422996,0.5165016504144492,-0.9866660700433734,0.6368902095909782,-0.3419525847182711,0.8671769152136855,-0.9853181255360938,-0.31095995991961106,0.9606705881115428,-0.9902753992239739,-0.9899966626572247,-0.8854463939621442,-0.9874673906330611,0.30818729529802297,0.48557832615992186,-0.9393622302221382,-0.1079905185224591,-0.9777387355170382,-0.15056699444793045,0.9866660700433754,-0.972254648540171,-0.9367892201092916,0.8977961259744554,-0.9056043208030942,-0.9890380068562483,-0.6470815431491639,0.4510040976348935,0.9033878183863328,-0.9542428197665418,-0.8682149174716552,-0.9856506846450787,0.9887074989890033,0.9866660700433708,0.8754925316030372,-0.9121887486810577
6.5.1,-0.44246566002278276,0.6454972243679009,-0.972742952265595,0.16937012747592053,0.5004718511509918,-0.9479705879819836,-0.8577087352768998,0.986666070043372,1.0,0.9562609994502032,0.9531244744392944,0.8911327886790057,,-0.9696813389509941,-1.0,,-0.9491172651098272,,-0.9964227255892502,,0.9770201162915961,0.5004718511509918,0.9766112483814838,,-0.9965453386929356,-0.32286959196252885,-0.8195805592219215,0.7191949522280708,-0.8308511211747851,-0.9998910946004579,0.9221857468377852,0.906391981616728,-0.9769440004676233,0.9887898619676508,,1.0,-0.9267484796056465,0.9899130466509168,0.09966634402141675,-0.9755695214106164,0.21848779496528012,0.8757156462534508,-0.9822997871164141,0.7568187244008122,0.6454972243679009,-0.9976850262509761,-0.9949533333123516,0.9999999999999998,0.9992714076536109,0.995391000452586,-0.44246566002278276,-0.5186501228216773,-1.0000000000000002,-0.4039941257426961,-0.44246566002278276,0.9703682442484395,-0.9684220639988838,0.988487967555966,-0.9682829840462279,0.9171907076290103,0.5091118809071714,-0.9999999999999998,0.6454972243679009,-0.39907638352064356,0.8780401836207474,-0.999381011361173,-0.32286959196252885,0.974059274153372,-0.9875803689386089,-0.9913256939298462,-0.9330658930586636,-0.9993584885712887,0.4278235460527818,0.5004718511509918,-0.9514287535718563,-0.14812341491974498,-0.9934282906715541,-0.12776174298217813,1.0,-0.9902604089395497,-0.9682829840462279,0.9154473123053981,-0.9255608593376485,-0.9963405393787208,-0.6442301423336704,0.45851563514364657,0.9147493254099864,-0.9740101170042235,-0.9010082354280023,-0.9965320644298808,0.9995155102962499,1.0000000000000002,0.917921429288338,-0.8859935817433505
1.a.2,-0.41316582921197864,0.6172638209163694,-0.9100218298202731,0.3554569414975947,0.45964057888621024,-0.962039385560965,-0.8776046327641285,0.9830386401711806,0.9562609994502032,1.0,0.9615900880333594,0.8521555311450344,,-0.9600282966635514,-0.9562609994502029,,-0.8926075776624613,,-0.9528401914468729,,0.9512169260622253,0.45964057888621024,0.9784126711596868,,-0.9520541677697578,-0.2162057510481752,-0.8288703751623918,0.7788401556090575,-0.9403783071489925,-0.9555927884965669,0.9100108558160964,0.9202638774203131,-0.931255757819765,0.9477388747005355,,0.9562609994502029,-0.8900842764027589,0.9517981517673566,0.10934306661581017,-0.9504948297932698,0.23216426360624526,0.8859933650483915,-0.9030100353690363,0.7279239012611003,0.6172638209163694,-0.9528261572559189,-0.9514350689195779,0.9562609994502032,0.9545063700934135,0.9518535929365305,-0.41316582921197864,-0.4281364116501584,-0.9562609994502042,-0.42053441696499005,-0.41316582921197864,0.9319935459649078,-0.9329291000702269,0.9452524917995709,-0.8696754636561985,0.8579339565517169,0.49208954158119084,-0.9562609994502032,0.6172638209163694,-0.2307332247292301,0.8698959279440235,-0.9552464483921873,-0.2162057510481752,0.917939918801302,-0.9799096543678778,-0.9585157341406575,-0.8565991510176699,-0.959676185000282,0.2352248153268975,0.45964057888621024,-0.9334598153770579,-0.04971416545760583,-0.9474696795675138,-0.06678324980054623,0.9562609994502063,-0.9325804717492089,-0.8696754636561985,0.8754065618091587,-0.8695671704882115,-0.9677920764688088,-0.634039102374978,0.48637107081030234,0.899780940065457,-0.9116719974218791,-0.8301804637720657,-0.9539102114077447,0.9620813466069623,0.9562609994501964,0.8113294863650646,-0.8657285861766066
