,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
0,13.1.3,13.1.2,pearson,two-sided,9,-0.67610555201368,[-0.92 -0.02],0.045568115850209374,2.325,0.5583976422978177
1,13.1.3,8.8.2,pearson,two-sided,9,0.47280813797945964,[-0.28  0.87],0.1986778001505437,0.843,0.2618081950419522
2,13.1.3,17.9.1,pearson,two-sided,9,0.03300782504726675,[-0.65  0.68],0.932818033009614,0.408,0.04968369408621187
3,13.1.3,13.1.1,pearson,two-sided,9,-0.11553382684750536,[-0.72  0.59],0.7672387603938815,0.423,0.059210590088093415
4,13.1.3,3.b.1,pearson,two-sided,9,0.5501250658917831,[-0.18  0.89],0.1248732884585665,1.146,0.3556746872730734
5,13.1.3,11.6.2,pearson,two-sided,9,0.48443781268178526,[-0.26  0.87],0.18631493038645675,0.879,0.2744963802153426
6,13.1.3,10.4.1,pearson,two-sided,9,-0.3849349696627938,[-0.84  0.38],0.3063062275926204,0.646,0.18085684104392202
7,13.1.3,6.5.1,pearson,two-sided,9,-0.44246566002278276,[-0.86  0.31],0.2330263373165213,0.763,0.23095799116741847
8,13.1.3,1.a.2,pearson,two-sided,9,-0.41316582921197864,[-0.85  0.35],0.2690331117046495,0.698,0.20412469630863767
9,13.1.3,4.2.2,pearson,two-sided,9,-0.4937623734389444,[-0.87  0.25],0.17672518262417974,0.91,0.28502579973793946
10,13.1.3,15.8.1,pearson,two-sided,9,-0.4446137090769552,[-0.86  0.31],0.2304956908884973,0.768,0.23303738632726778
11,13.1.3,7.1.1,pearson,two-sided,9,0.4587309509968557,[-0.3   0.86],0.214238458068191,0.804,0.24709646967149082
12,13.1.3,3.d.2,pearson,two-sided,9,0.4424656600227752,[-0.31  0.86],0.2330263373165303,0.763,0.2309579911674112
13,13.1.3,7.3.1,pearson,two-sided,9,0.523027145739231,[-0.22  0.88],0.1484953162464345,1.02,0.3201836022483397
14,13.1.3,7.1.2,pearson,two-sided,9,0.41632879910972337,[-0.34  0.85],0.2650135335061171,0.705,0.2068867757066392
15,13.1.3,17.8.1,pearson,two-sided,9,-0.464193104991072,[-0.86  0.29],0.20812336513354193,0.819,0.25272173286516814
16,13.1.3,11.5.1,pearson,two-sided,9,-0.11553382684750536,[-0.72  0.59],0.7672387603938815,0.423,0.059210590088093415
17,13.1.3,4.5.1,pearson,two-sided,9,-0.459463465429936,[-0.86  0.29],0.21341269605790728,0.806,0.24784478932598586
18,13.1.3,6.2.1,pearson,two-sided,9,0.45390947000435716,[-0.3   0.86],0.2197175698883781,0.791,0.24221756776279826
19,13.1.3,11.5.2,pearson,two-sided,9,-0.26297347067629456,[-0.79  0.49],0.49419544990671643,0.5,0.10583774546871157
20,13.1.3,12.4.2,pearson,two-sided,9,0.3136722263668731,[-0.44  0.81],0.411093329874655,0.549,0.13237867772610173
21,13.1.3,8.9.1,pearson,two-sided,9,-0.4157031058691916,[-0.85  0.34],0.26580615231362453,0.703,0.20633784921919973
22,13.1.3,3.8.2,pearson,two-sided,9,0.3549611385743219,[-0.4   0.82],0.34856570534756753,0.6,0.15875641880907268
23,13.1.3,4.3.1,pearson,two-sided,9,0.4436562193048051,[-0.31  0.86],0.23162186896552145,0.765,0.2321085667468449
24,13.1.3,7.2.1,pearson,two-sided,9,-0.3570829922955054,[-0.83  0.4 ],0.34548542931264237,0.603,0.16023644599227582
25,13.1.3,2.a.1,pearson,two-sided,9,-0.18590467646241757,[-0.76  0.55],0.6320165331004726,0.45,0.0763059088352546
26,13.1.3,6.4.2,pearson,two-sided,9,0.4934213405079948,[-0.25  0.87],0.17707084965769226,0.909,0.2846350544873377
27,13.1.3,6.6.1,pearson,two-sided,9,-0.41910317844377676,[-0.85  0.34],0.26151403438000786,0.71,0.2093359014961593
28,13.1.3,3.8.1,pearson,two-sided,9,-0.44246566002276666,[-0.86  0.31],0.23302633731654038,0.763,0.23095799116740298
29,13.1.3,10.5.1,pearson,two-sided,9,0.3792701406686768,[-0.38  0.83],0.3140840302957533,0.637,0.17647978559901414
