"","Var1","Var2","value"
"1","13.1.3","13.1.3",1
"2","13.1.3","13.1.2",-0.67610555201368
"3","13.1.2","13.1.2",1
"4","13.1.3","8.8.2",0.47280813797946
"5","13.1.2","8.8.2",-0.62790287571089
"6","8.8.2","8.8.2",1
"7","13.1.3","17.9.1",0.0330078250472667
"8","13.1.2","17.9.1",-0.161270617068914
"9","8.8.2","17.9.1",-0.013240626025567
"10","17.9.1","17.9.1",1
"11","13.1.3","13.1.1",-0.115533826847505
"12","13.1.2","13.1.1",-0.00863256480853822
"13","8.8.2","13.1.1",-0.411302045295881
"14","17.9.1","13.1.1",0.248359436626042
"15","13.1.1","13.1.1",1
"16","13.1.3","3.b.1",0.550125065891783
"17","13.1.2","3.b.1",-0.751958325103036
"18","8.8.2","3.b.1",0.92121770871265
"19","17.9.1","3.b.1",-0.192819073322843
"20","13.1.1","3.b.1",-0.35891997105724
"21","3.b.1","3.b.1",1
"22","13.1.3","11.6.2",0.484437812681785
"23","13.1.2","11.6.2",-0.553648607937324
"24","8.8.2","11.6.2",0.906857602574802
"25","17.9.1","11.6.2",-0.0481044769260138
"26","13.1.1","11.6.2",-0.434339990163625
"27","3.b.1","11.6.2",0.849666511851766
"28","11.6.2","11.6.2",1
"29","13.1.3","10.4.1",-0.384934969662794
"30","13.1.2","10.4.1",0.636890209590978
"31","8.8.2","10.4.1",-0.943140045300888
"32","17.9.1","10.4.1",0.264857891956548
"33","13.1.1","10.4.1",0.485578326159922
"34","3.b.1","10.4.1",-0.946840013247303
"35","11.6.2","10.4.1",-0.865246970894208
"36","10.4.1","10.4.1",1
"37","13.1.3","6.5.1",-0.442465660022783
"38","13.1.2","6.5.1",0.645497224367901
"39","8.8.2","6.5.1",-0.972742952265595
"40","17.9.1","6.5.1",0.16937012747592
"41","13.1.1","6.5.1",0.500471851150992
"42","3.b.1","6.5.1",-0.947970587981984
"43","11.6.2","6.5.1",-0.8577087352769
"44","10.4.1","6.5.1",0.986666070043372
"45","6.5.1","6.5.1",1
"46","13.1.3","1.a.2",-0.413165829211979
"47","13.1.2","1.a.2",0.61726382091637
"48","8.8.2","1.a.2",-0.910021829820273
"49","17.9.1","1.a.2",0.355456941497595
"50","13.1.1","1.a.2",0.45964057888621
"51","3.b.1","1.a.2",-0.962039385560965
"52","11.6.2","1.a.2",-0.877604632764128
"53","10.4.1","1.a.2",0.983038640171181
"54","6.5.1","1.a.2",0.956260999450203
"55","1.a.2","1.a.2",1
"56","13.1.3","4.2.2",-0.493762373438945
"57","13.1.2","4.2.2",0.615239202727695
"58","8.8.2","4.2.2",-0.969478489182854
"59","17.9.1","4.2.2",0.166893294756009
"60","13.1.1","4.2.2",0.393170794472829
"61","3.b.1","4.2.2",-0.952711997661973
"62","11.6.2","4.2.2",-0.949605196025539
"63","10.4.1","4.2.2",0.952374790200123
"64","6.5.1","4.2.2",0.953124474439294
"65","1.a.2","4.2.2",0.961590088033359
"66","4.2.2","4.2.2",1
"67","13.1.3","15.8.1",-0.444613709076955
"68","13.1.2","15.8.1",0.766964988847368
"69","8.8.2","15.8.1",-0.837620018722145
"70","17.9.1","15.8.1",0.0370063255709057
"71","13.1.1","15.8.1",0.501700597481876
"72","3.b.1","15.8.1",-0.860825634689358
"73","11.6.2","15.8.1",-0.764332377141632
"74","10.4.1","15.8.1",0.889717754189048
"75","6.5.1","15.8.1",0.891132788679006
"76","1.a.2","15.8.1",0.852155531145034
"77","4.2.2","15.8.1",0.814873364968871
"78","15.8.1","15.8.1",1
"79","13.1.3","7.1.1",0.458730950996856
"80","13.1.2","7.1.1",-0.558519131434223
"81","8.8.2","7.1.1",0.920548909019195
"82","17.9.1","7.1.1",-0.338958037990882
"83","13.1.1","7.1.1",-0.530984572204863
"84","3.b.1","7.1.1",0.946451513439495
"85","11.6.2","7.1.1",0.804081649101156
"86","10.4.1","7.1.1",-0.959204885322551
"87","6.5.1","7.1.1",-0.969681338950994
"88","1.a.2","7.1.1",-0.960028296663551
"89","4.2.2","7.1.1",-0.933298954665956
