"","Var1","Var2","value","abs","tie"
"1","13.1.3","13.1.3",1,1,1
"2","13.1.3","13.1.2",0.552003706965174,0.552003706965174,1
"3","13.1.2","13.1.2",1,1,1
"4","13.1.3","8.8.2",0.870952126280863,0.870952126280863,1
"5","13.1.2","8.8.2",0.77390357667398,0.77390357667398,1
"6","8.8.2","8.8.2",1,1,1
"7","13.1.3","17.9.1",-0.104817459819858,0.104817459819858,0
"8","13.1.2","17.9.1",0.207841426494175,0.207841426494175,0
"9","8.8.2","17.9.1",-0.123284960974031,0.123284960974031,0
"10","17.9.1","17.9.1",1,1,1
"11","13.1.3","13.1.1",0.72115194730641,0.72115194730641,1
"12","13.1.2","13.1.1",0.0951104478552621,0.0951104478552621,0
"13","8.8.2","13.1.1",0.6046155751781,0.6046155751781,1
"14","17.9.1","13.1.1",-0.0117468784293472,0.0117468784293472,0
"15","13.1.1","13.1.1",1,1,1
"16","13.1.3","6.1.1",-0.906910555713877,0.906910555713877,0
"17","13.1.2","6.1.1",-0.728805021758262,0.728805021758262,0
"18","8.8.2","6.1.1",-0.954885801776585,0.954885801776585,0
"19","17.9.1","6.1.1",0.209524390179781,0.209524390179781,0
"20","13.1.1","6.1.1",-0.532813626224805,0.532813626224805,0
"21","6.1.1","6.1.1",1,1,1
"22","13.1.3","3.b.1",-0.887100121322462,0.887100121322462,0
"23","13.1.2","3.b.1",-0.7428553270357,0.7428553270357,0
"24","8.8.2","3.b.1",-0.966173339211774,0.966173339211774,0
"25","17.9.1","3.b.1",0.174949995831632,0.174949995831632,0
"26","13.1.1","3.b.1",-0.599903330915985,0.599903330915985,0
"27","6.1.1","3.b.1",0.961266205750147,0.961266205750147,1
"28","3.b.1","3.b.1",1,1,1
"29","13.1.3","11.6.2",-0.88360570801138,0.88360570801138,0
"30","13.1.2","11.6.2",-0.734113282149892,0.734113282149892,0
"31","8.8.2","11.6.2",-0.946828699909584,0.946828699909584,0
"32","17.9.1","11.6.2",0.0827165598819361,0.0827165598819361,0
"33","13.1.1","11.6.2",-0.599608613689701,0.599608613689701,0
"34","6.1.1","11.6.2",0.958146328926885,0.958146328926885,1
"35","3.b.1","11.6.2",0.935095437983315,0.935095437983315,1
"36","11.6.2","11.6.2",1,1,1
"37","13.1.3","10.4.1",-0.782464456611189,0.782464456611189,0
"38","13.1.2","10.4.1",-0.500209393461708,0.500209393461708,0
"39","8.8.2","10.4.1",-0.797924011220125,0.797924011220125,0
"40","17.9.1","10.4.1",0.225839594913161,0.225839594913161,0
"41","13.1.1","10.4.1",-0.525010736001405,0.525010736001405,0
"42","6.1.1","10.4.1",0.855695872179301,0.855695872179301,1
"43","3.b.1","10.4.1",0.861524040625881,0.861524040625881,1
"44","11.6.2","10.4.1",0.873745026659073,0.873745026659073,1
"45","10.4.1","10.4.1",1,1,1
"46","13.1.3","6.5.1",0.92074637828866,0.92074637828866,1
"47","13.1.2","6.5.1",0.763959249071884,0.763959249071884,1
"48","8.8.2","6.5.1",0.986471474556112,0.986471474556112,1
"49","17.9.1","6.5.1",-0.070635092283964,0.070635092283964,0
"50","13.1.1","6.5.1",0.612724107289187,0.612724107289187,1
"51","6.1.1","6.5.1",-0.969087423704703,0.969087423704703,0
"52","3.b.1","6.5.1",-0.97493112403044,0.97493112403044,0
"53","11.6.2","6.5.1",-0.958082296374177,0.958082296374177,0
"54","10.4.1","6.5.1",-0.843272074705105,0.843272074705105,0
"55","6.5.1","6.5.1",1,1,1
"56","13.1.3","1.a.2",-0.842385988360534,0.842385988360534,0
"57","13.1.2","1.a.2",-0.633104363821471,0.633104363821471,0
"58","8.8.2","1.a.2",-0.831661855479867,0.831661855479867,0
"59","17.9.1","1.a.2",0.223533144961084,0.223533144961084,0
"60","13.1.1","1.a.2",-0.562699654361321,0.562699654361321,0
"61","6.1.1","1.a.2",0.847402476794304,0.847402476794304,1
"62","3.b.1","1.a.2",0.897164835436768,0.897164835436768,1
"63","11.6.2","1.a.2",0.894437811970144,0.894437811970144,1
"64","10.4.1","1.a.2",0.857547151007053,0.857547151007053,1
"65","6.5.1","1.a.2",-0.859483483952602,0.859483483952602,0
"66","1.a.2","1.a.2",1,1,1
"67","13.1.3","4.2.2",0.841447987624777,0.841447987624777,1
"68","13.1.2","4.2.2",0.76377525369556,0.76377525369556,1
"69","8.8.2","4.2.2",0.934350081549061,0.934350081549061,1
"70","17.9.1","4.2.2",0.108595401340677,0.108595401340677,0
"71","13.1.1","4.2.2",0.608199719110551,0.608199719110551,1
"72","6.1.1","4.2.2",-0.86789289450455,0.86789289450455,0
"73","3.b.1","4.2.2",-0.90169886270963,0.90169886270963,0
"74","11.6.2","4.2.2",-0.936266920410455,0.936266920410455,0
"75","10.4.1","4.2.2",-0.829747058346942,0.829747058346942,0
"76","6.5.1","4.2.2",0.950357270593764,0.950357270593764,1
"77","1.a.2","4.2.2",-0.852173895192846,0.852173895192846,0
"78","4.2.2","4.2.2",1,1,1
"79","13.1.3","7.1.1",-0.922031031369482,0.922031031369482,0
"80","13.1.2","7.1.1",-0.771835819849236,0.771835819849236,0
"81","8.8.2","7.1.1",-0.927936746239224,0.927936746239224,0
"82","17.9.1","7.1.1",0.0113572448459845,0.0113572448459845,0
"83","13.1.1","7.1.1",-0.57694234431193,0.57694234431193,0
"84","6.1.1","7.1.1",0.89399817481519,0.89399817481519,1
"85","3.b.1","7.1.1",0.893051889561437,0.893051889561437,1
"86","11.6.2","7.1.1",0.868782851618784,0.868782851618784,1
"87","10.4.1","7.1.1",0.647509646555237,0.647509646555237,1
"88","6.5.1","7.1.1",-0.94096581588635,0.94096581588635,0
"89","1.a.2","7.1.1",0.798822006548171,0.798822006548171,1
"90","4.2.2","7.1.1",-0.878077783659274,0.878077783659274,0
"91","7.1.1","7.1.1",1,1,1
"92","13.1.3","7.3.1",0.901215626703198,0.901215626703198,1
"93","13.1.2","7.3.1",0.638687858155872,0.638687858155872,1
"94","8.8.2","7.3.1",0.780043002676949,0.780043002676949,1
"95","17.9.1","7.3.1",-0.145386861721128,0.145386861721128,0
"96","13.1.1","7.3.1",0.487322187148765,0.487322187148765,0
"97","6.1.1","7.3.1",-0.874380856475178,0.874380856475178,0
"98","3.b.1","7.3.1",-0.82824279901321,0.82824279901321,0
"99","11.6.2","7.3.1",-0.792680445904638,0.792680445904638,0
"100","10.4.1","7.3.1",-0.613923963820282,0.613923963820282,0
"101","6.5.1","7.3.1",0.823201729141017,0.823201729141017,1
"102","1.a.2","7.3.1",-0.762798859909265,0.762798859909265,0
"103","4.2.2","7.3.1",0.665864975866014,0.665864975866014,1
"104","7.1.1","7.3.1",-0.879164328620135,0.879164328620135,0
"105","7.3.1","7.3.1",1,1,1
"106","13.1.3","3.9.3",-0.920746378288658,0.920746378288658,0
"107","13.1.2","3.9.3",-0.763959249071893,0.763959249071893,0
"108","8.8.2","3.9.3",-0.986471474556113,0.986471474556113,0
"109","17.9.1","3.9.3",0.070635092283975,0.070635092283975,0
"110","13.1.1","3.9.3",-0.612724107289178,0.612724107289178,0
"111","6.1.1","3.9.3",0.969087423704701,0.969087423704701,1
"112","3.b.1","3.9.3",0.974931124030444,0.974931124030444,1
"113","11.6.2","3.9.3",0.958082296374173,0.958082296374173,1
"114","10.4.1","3.9.3",0.8432720747051,0.8432720747051,1
"115","6.5.1","3.9.3",-1,1,0
"116","1.a.2","3.9.3",0.859483483952613,0.859483483952613,1
"117","4.2.2","3.9.3",-0.950357270593764,0.950357270593764,0
"118","7.1.1","3.9.3",0.940965815886356,0.940965815886356,1
"119","7.3.1","3.9.3",-0.823201729141019,0.823201729141019,0
"120","3.9.3","3.9.3",1,1,1
"121","13.1.3","7.1.2",0.905319526446199,0.905319526446199,1
"122","13.1.2","7.1.2",0.769113484761397,0.769113484761397,1
"123","8.8.2","7.1.2",0.983643765327749,0.983643765327749,1
"124","17.9.1","7.1.2",-0.022229573751409,0.022229573751409,0
"125","13.1.1","7.1.2",0.613892326459362,0.613892326459362,1
"126","6.1.1","7.1.2",-0.959136296538577,0.959136296538577,0
"127","3.b.1","7.1.2",-0.962501928043692,0.962501928043692,0
"128","11.6.2","7.1.2",-0.965271170256782,0.965271170256782,0
"129","10.4.1","7.1.2",-0.84877381114772,0.84877381114772,0
"130","6.5.1","7.1.2",0.996822663489554,0.996822663489554,1
"131","1.a.2","7.1.2",-0.848318673120409,0.848318673120409,0
"132","4.2.2","7.1.2",0.966596472976658,0.966596472976658,1
"133","7.1.1","7.1.2",-0.92667189183858,0.92667189183858,0
"134","7.3.1","7.1.2",0.790403177195903,0.790403177195903,1
"135","3.9.3","7.1.2",-0.996822663489552,0.996822663489552,0
"136","7.1.2","7.1.2",1,1,1
"137","13.1.3","17.8.1",0.918706741690239,0.918706741690239,1
"138","13.1.2","17.8.1",0.780225215443168,0.780225215443168,1
"139","8.8.2","17.8.1",0.988773801306634,0.988773801306634,1
"140","17.9.1","17.8.1",-0.0509332550501444,0.0509332550501444,0
"141","13.1.1","17.8.1",0.611411726643067,0.611411726643067,1
"142","6.1.1","17.8.1",-0.966488448485022,0.966488448485022,0
"143","3.b.1","17.8.1",-0.968609901856115,0.968609901856115,0
"144","11.6.2","17.8.1",-0.956447853309883,0.956447853309883,0
"145","10.4.1","17.8.1",-0.813214538045389,0.813214538045389,0
"146","6.5.1","17.8.1",0.998244325461128,0.998244325461128,1
"147","1.a.2","17.8.1",-0.847153380834,0.847153380834,0
"148","4.2.2","17.8.1",0.946636415728421,0.946636415728421,1
"149","7.1.1","17.8.1",-0.953299269392259,0.953299269392259,0
"150","7.3.1","17.8.1",0.833278342190993,0.833278342190993,1
"151","3.9.3","17.8.1",-0.998244325461128,0.998244325461128,0
"152","7.1.2","17.8.1",0.995063460282126,0.995063460282126,1
"153","17.8.1","17.8.1",1,1,1
"154","13.1.3","11.5.1",0.72115194730641,0.72115194730641,1
"155","13.1.2","11.5.1",0.0951104478552621,0.0951104478552621,0
"156","8.8.2","11.5.1",0.6046155751781,0.6046155751781,1
"157","17.9.1","11.5.1",-0.0117468784293472,0.0117468784293472,0
"158","13.1.1","11.5.1",1,1,1
"159","6.1.1","11.5.1",-0.532813626224805,0.532813626224805,0
"160","3.b.1","11.5.1",-0.599903330915985,0.599903330915985,0
"161","11.6.2","11.5.1",-0.599608613689701,0.599608613689701,0
