Var1,Var2,value
1.3.1,10.c.1,0.666763725810986
2.2.2,1.5.2,0.666823875555173
17.3.2,10.c.1,0.667084664026239
10.4.1,3.3.2,0.66793537813667
8.8.2,2.2.1,0.668085310901428
1.5.3,17.3.2,0.668274212168027
11.b.1,17.3.2,0.668274212168027
13.1.2,17.3.2,0.668274212168027
2.a.1,10.c.1,-0.668387704053855
11.5.2,3.2.1,-0.668434404580063
11.5.2,1.5.4,0.668811514606301
11.5.2,11.b.2,0.668811514606301
13.1.3,11.5.2,0.668811514606301
13.1.2,6.2.1,-0.66883405803816
6.2.1,1.5.3,-0.66883405803816
6.2.1,11.b.1,-0.66883405803816
11.5.2,14.7.1,-0.669698889890614
11.5.2,15.6.1,0.669956691851903
11.5.1,2.2.2,0.670527630156618
13.1.1,2.2.2,0.670527630156618
2.2.2,1.5.1,0.670527630156618
10.5.1,3.2.1,0.670601048601908
8.8.2,10.c.1,0.670989605979929
15.1.1,10.c.1,-0.673535054320722
3.6.1,10.c.1,-0.673537836362575
14.b.1,10.c.1,0.673537836362578
3.4.2,10.c.1,0.673537836362578
3.8.1,10.c.1,0.673537836362578
10.c.1,16.3.2,0.673537836362584
6.5.1,10.c.1,0.673537836362586
3.9.3,10.c.1,-0.673537836362587
9.5.1,3.3.3,-0.673914955465377
11.5.2,3.3.1,-0.675331693240958
2.2.1,3.2.2,0.678286887338869
6.2.1,17.1.1,0.67836361103887
6.4.1,2.2.1,-0.678782962799587
1.5.3,9.4.1,-0.678919151192882
11.b.1,9.4.1,-0.678919151192882
13.1.2,9.4.1,-0.678919151192882
3.9.3,11.5.2,-0.67962022044133
11.5.2,3.6.1,-0.67962022044134
11.5.2,16.3.2,0.679620220441345
6.5.1,11.5.2,0.679620220441345
11.5.2,14.b.1,0.679620220441348
11.5.2,3.4.2,0.679620220441352
11.5.2,3.8.1,0.679620220441353
11.5.2,15.1.1,-0.679620931413243
2.2.1,14.7.1,-0.680208919956258
15.5.1,2.2.1,-0.68039264020927
11.b.1,9.5.2,-0.680494965338694
13.1.2,9.5.2,-0.680494965338694
9.5.2,1.5.3,-0.680494965338694
13.1.2,14.1.1,-0.681065764444516
14.1.1,1.5.3,-0.681065764444516
14.1.1,11.b.1,-0.681065764444516
10.5.1,11.1.1,0.681863969703423
1.5.3,15.2.1,0.682061250413853
11.b.1,15.2.1,0.682061250413853
13.1.2,15.2.1,0.682061250413853
10.5.1,9.1.2,0.682301958765163
9.5.2,9.4.1,0.68321414986596
2.c.1,2.2.2,-0.68337465460376
7.1.1,2.2.1,-0.684510616821061
11.5.2,3.2.2,0.684688314411666
6.1.1,10.5.1,0.684935480189054
17.8.1,2.2.1,0.685052202164916
2.2.1,15.1.1,-0.6853590808974
3.9.3,2.2.1,-0.685360534705981
3.6.1,2.2.1,-0.685360534705985
14.b.1,2.2.1,0.68536053470599
2.2.1,3.4.2,0.685360534705992
2.2.1,16.3.2,0.685360534705994
6.5.1,2.2.1,0.685360534705995
3.8.1,2.2.1,0.685360534706003
10.c.1,15.2.1,0.685513522764542
11.5.2,4.3.1,-0.686349949978415
2.2.1,17.17.1,0.687371066614466
8.8.2,11.5.2,0.687967658066424
6.4.1,10.c.1,-0.688964844406692
11.5.2,12.c.1,0.68931976607757
2.a.1,9.5.2,0.689335277057014
17.8.1,11.5.2,0.689487556349046
14.7.1,10.c.1,-0.689716315332562
10.5.1,12.c.1,-0.690032500291196
7.1.2,2.2.1,0.690096545935982
4.5.1,17.4.1,-0.690148998585897
1.5.1,17.3.2,0.690513989820043
11.5.1,17.3.2,0.690513989820043
13.1.1,17.3.2,0.690513989820043
9.5.2,17.13.1,-0.690603553342476
10.5.1,2.1.1,-0.691904066319647
17.17.1,3.3.1,-0.692559396466002
17.17.1,3.3.5,0.693723136780841
11.6.2,11.5.2,-0.694552435412462
15.5.1,10.c.1,-0.69526531131281
4.3.1,9.5.2,0.696206809346213
17.4.1,8.2.1,0.698206863871628
1.5.3,1.4.1,0.698567210773492
11.b.1,1.4.1,0.698567210773492
13.1.2,1.4.1,0.698567210773492
2.2.1,17.3.1,-0.699222466614909
2.2.1,10.c.1,0.699851824273979
1.a.2,15.6.1,-0.700429277301118
11.1.1,10.c.1,-0.700453408975305
6.2.1,9.5.2,0.700584966360136
17.17.1,3.3.3,0.700757661004708
7.3.1,3.3.1,-0.70249908594978006
13.1.2,6.4.2,0.704637604297
6.4.2,1.5.3,0.704637604297
6.4.2,11.b.1,0.704637604297
17.1.1,3.3.1,0.705249289228833
2.2.1,15.2.1,0.7055237119645
7.1.2,11.5.2,0.706620364649601
2.2.1,3.3.3,0.706643216716422
11.6.2,9.5.2,0.707885501082986
14.1.1,17.1.1,0.708865498505126
3.b.1,10.5.1,0.709670539223393
1.5.3,2.1.2,-0.710100300765493
11.b.1,2.1.2,-0.710100300765493
13.1.2,2.1.2,-0.710100300765493
9.5.2,17.3.1,0.710107719611539
14.1.1,17.17.1,-0.711195654361581
13.1.2,2.a.1,-0.711257192916799
2.a.1,1.5.3,-0.711257192916799
2.a.1,11.b.1,-0.711257192916799
3.b.1,3.3.2,0.712504575453642
1.a.2,2.2.2,-0.7132336636286
9.5.2,7.a.1,0.714232391461069
11.b.1,2.2.2,0.714357271533365
13.1.2,2.2.2,0.714357271533365
2.2.2,1.5.3,0.714357271533365
2.2.2,9.5.1,-0.716056310005135
1.5.3,3.3.1,-0.71684384797528
11.b.1,3.3.1,-0.71684384797528
13.1.2,3.3.1,-0.71684384797528
6.6.1,17.17.1,-0.71829567860014
2.2.1,2.1.2,-0.719277369901845
11.5.2,3.3.3,0.719788581889625
17.17.1,16.2.2,-0.720455854378791
1.5.4,1.5.1,0.72115194730641
11.5.1,1.5.4,0.72115194730641
11.5.1,11.b.2,0.72115194730641
11.b.2,1.5.1,0.72115194730641
13.1.1,1.5.4,0.72115194730641
13.1.1,11.b.2,0.72115194730641
13.1.3,1.5.1,0.72115194730641
13.1.3,11.5.1,0.72115194730641
13.1.3,13.1.1,0.72115194730641
14.1.1,15.6.1,-0.721626596309125
16.6.1,2.2.1,0.721736274940052
9.5.1,10.c.1,-0.722934634673
7.2.1,2.2.2,-0.723383823638775
6.2.1,17.3.1,0.723489177853869
11.5.2,16.6.1,0.7242878878782
9.4.1,10.c.1,-0.724498847218831
6.1.1,17.17.1,-0.724956475393225
17.17.1,15.6.1,0.725369699703203
1.5.3,9.1.2,-0.725387695473124
11.b.1,9.1.2,-0.725387695473124
13.1.2,9.1.2,-0.725387695473124
7.3.1,17.1.1,-0.725455998967218
11.5.2,2.1.1,0.725630999892568
1.5.4,10.c.1,0.7264289964992
11.b.2,10.c.1,0.7264289964992
13.1.3,10.c.1,0.7264289964992
1.3.1,1.5.3,0.727482025832441
11.b.1,1.3.1,0.727482025832441
13.1.2,1.3.1,0.727482025832441
6.1.1,17.1.1,0.728629801222834
13.1.2,6.1.1,-0.728805021758262
6.1.1,1.5.3,-0.728805021758262
6.1.1,11.b.1,-0.728805021758262
6.1.1,10.c.1,-0.729599583348163
4.2.2,11.5.2,0.730850353955858
2.2.1,1.4.1,0.731143332340386
7.1.1,9.5.1,0.731822504271643
11.5.2,1.3.1,0.731873667404908
4.2.2,9.5.1,-0.732323210665544
6.6.1,10.5.1,0.733106363154137
2.2.1,1.5.2,0.733283850531839
4.2.2,17.17.1,0.733915892394748
7.3.1,10.7.3,0.734032643375822
11.5.2,3.4.1,0.734075887252866
11.6.2,1.5.3,-0.734113282149892
11.6.2,11.b.1,-0.734113282149892
13.1.2,11.6.2,-0.734113282149892
3.3.5,17.1.1,-0.735051916185395
17.13.1,17.1.1,-0.736396603531471
10.4.1,17.13.1,-0.73642516626594
1.a.2,17.3.1,0.736886930622217
6.2.1,3.3.2,0.737600942709527
10.4.1,17.3.2,-0.738255974814069
6.4.2,10.c.1,0.738624507539591
9.5.1,17.3.2,-0.738972277609293
11.1.1,1.5.3,-0.73905228848224
11.1.1,11.b.1,-0.73905228848224
13.1.2,11.1.1,-0.73905228848224
15.6.1,17.1.1,-0.739140345171713
6.1.1,9.5.2,0.740860723483526
13.1.2,3.b.1,-0.7428553270357
3.b.1,1.5.3,-0.7428553270357
3.b.1,11.b.1,-0.7428553270357
3.4.1,2.2.1,0.742987180344916
11.5.2,2.2.1,0.743179012925763
14.1.1,3.3.3,-0.743504979339802
6.2.1,17.17.1,-0.743552637499537
2.2.2,2.2.1,0.743661963184321
