,indicators,evr
0,13.1.3,0.8183140694368155
1,13.1.2,1.0
2,8.8.2,1.0
3,17.9.1,1.0
4,13.1.1,0.7972760563503339
5,6.1.1,1.0
6,3.b.1,0.7082960797085832
7,11.6.2,1.0
8,10.4.1,1.0
9,6.5.1,1.0
10,1.a.2,1.0
11,4.2.2,1.0
12,15.8.1,
13,7.1.1,1.0
14,17.18.3,
15,7.3.1,1.0
16,3.9.3,1.0
17,7.1.2,1.0
18,17.18.2,
19,17.8.1,1.0
20,11.5.1,0.7972760563503339
21,4.5.1,0.8505113104400375
22,5.1.1,
23,16.a.1,
24,6.2.1,0.9108453614281502
25,11.5.2,0.38656666823709673
26,12.4.2,0.6408030232123204
27,4.3.1,1.0
28,7.2.1,1.0
29,2.a.1,0.9391143452442953
30,6.4.2,1.0
31,6.6.1,0.6219349611808873
32,8.b.1,
33,17.19.2,
34,3.8.1,1.0
35,10.5.1,0.6360204902004298
36,6.4.1,1.0
37,10.7.3,1.0
38,11.1.1,1.0
39,14.b.1,1.0
40,2.c.1,1.0
41,14.1.1,0.7717981286696467
42,12.c.1,0.9987478007663597
43,11.b.1,1.0
44,2.2.2,1.0
45,9.5.2,1.0
46,3.4.1,1.0
47,15.5.1,1.0
48,8.3.1,1.0
49,1.5.4,0.8183140694368155
50,8.1.1,1.0
51,3.6.1,1.0
52,16.6.1,1.0
53,11.b.2,0.8183140694368155
54,2.2.1,1.0
55,9.5.1,1.0
56,1.3.1,0.7873250623203593
57,12.a.1,1.0
58,7.a.1,1.0
59,17.17.1,0.5691481611964938
60,3.4.2,1.0
61,1.5.3,1.0
62,14.7.1,1.0
63,17.13.1,0.5158822236215898
64,3.2.1,0.9999532962373705
65,1.5.2,0.5219589456985941
66,9.1.2,1.0
67,15.1.1,0.9999999999850989
68,16.2.2,0.9429874233824275
69,3.2.2,0.9995814481334073
70,17.4.1,1.0
71,1.5.1,0.7972760563503339
72,3.3.5,1.0
73,2.1.2,0.9951578472146974
74,15.6.1,0.8797719279193326
75,17.3.1,1.0
76,9.4.1,0.9921727340883528
77,7.b.1,1.0
78,12.b.1,
79,2.1.1,0.6480468724483285
80,17.1.1,0.5790760906581989
81,8.2.1,1.0
82,17.3.2,1.0
83,10.c.1,1.0
84,3.3.3,1.0
85,2.5.1,
86,1.4.1,0.9558035947599003
87,3.3.2,1.0
88,16.3.2,1.0
89,2.5.2,
90,3.3.1,1.0
91,15.2.1,0.6382779327013052
