"","Var1","Var2","value","abs","tie"
"1","13.1.3","13.1.3",1,1,1
"2","13.1.3","13.1.2",-0.67610555201368,0.67610555201368,0
"3","13.1.2","13.1.2",1,1,1
"4","13.1.3","8.8.2",0.47280813797946,0.47280813797946,0
"5","13.1.2","8.8.2",-0.62790287571089,0.62790287571089,0
"6","8.8.2","8.8.2",1,1,1
"7","13.1.3","17.9.1",0.0330078250472667,0.0330078250472667,0
"8","13.1.2","17.9.1",-0.161270617068914,0.161270617068914,0
"9","8.8.2","17.9.1",-0.013240626025567,0.013240626025567,0
"10","17.9.1","17.9.1",1,1,1
"11","13.1.3","13.1.1",-0.115533826847505,0.115533826847505,0
"12","13.1.2","13.1.1",-0.00863256480853822,0.00863256480853822,0
"13","8.8.2","13.1.1",-0.411302045295881,0.411302045295881,0
"14","17.9.1","13.1.1",0.248359436626042,0.248359436626042,0
"15","13.1.1","13.1.1",1,1,1
"16","13.1.3","3.b.1",0.550125065891783,0.550125065891783,1
"17","13.1.2","3.b.1",-0.751958325103036,0.751958325103036,0
"18","8.8.2","3.b.1",0.92121770871265,0.92121770871265,1
"19","17.9.1","3.b.1",-0.192819073322843,0.192819073322843,0
"20","13.1.1","3.b.1",-0.35891997105724,0.35891997105724,0
"21","3.b.1","3.b.1",1,1,1
"22","13.1.3","11.6.2",0.484437812681785,0.484437812681785,0
"23","13.1.2","11.6.2",-0.553648607937324,0.553648607937324,0
"24","8.8.2","11.6.2",0.906857602574802,0.906857602574802,1
"25","17.9.1","11.6.2",-0.0481044769260138,0.0481044769260138,0
"26","13.1.1","11.6.2",-0.434339990163625,0.434339990163625,0
"27","3.b.1","11.6.2",0.849666511851766,0.849666511851766,1
"28","11.6.2","11.6.2",1,1,1
"29","13.1.3","10.4.1",-0.384934969662794,0.384934969662794,0
"30","13.1.2","10.4.1",0.636890209590978,0.636890209590978,1
"31","8.8.2","10.4.1",-0.943140045300888,0.943140045300888,0
"32","17.9.1","10.4.1",0.264857891956548,0.264857891956548,0
"33","13.1.1","10.4.1",0.485578326159922,0.485578326159922,0
"34","3.b.1","10.4.1",-0.946840013247303,0.946840013247303,0
"35","11.6.2","10.4.1",-0.865246970894208,0.865246970894208,0
"36","10.4.1","10.4.1",1,1,1
"37","13.1.3","6.5.1",-0.442465660022783,0.442465660022783,0
"38","13.1.2","6.5.1",0.645497224367901,0.645497224367901,1
"39","8.8.2","6.5.1",-0.972742952265595,0.972742952265595,0
"40","17.9.1","6.5.1",0.16937012747592,0.16937012747592,0
"41","13.1.1","6.5.1",0.500471851150992,0.500471851150992,1
"42","3.b.1","6.5.1",-0.947970587981984,0.947970587981984,0
"43","11.6.2","6.5.1",-0.8577087352769,0.8577087352769,0
"44","10.4.1","6.5.1",0.986666070043372,0.986666070043372,1
"45","6.5.1","6.5.1",1,1,1
"46","13.1.3","1.a.2",-0.413165829211979,0.413165829211979,0
"47","13.1.2","1.a.2",0.61726382091637,0.61726382091637,1
