Var1,Var2,value
8.9.1,17.13.1,0.667161933013168
8.9.1,2.a.1,0.667675880863181
12.4.2,7.a.1,-0.668897776681496
2.2.1,8.2.1,-0.668977575982988
17.17.1,17.13.1,0.669088770720871
15.6.1,8.2.1,0.669408331011924
8.9.1,10.5.1,-0.66969232527085
12.c.1,2.5.1,-0.671679196107725
11.1.1,12.c.1,-0.672342329238807
8.9.1,11.1.1,-0.672478902847462
6.4.1,8.2.1,-0.674571012288417
7.3.1,12.4.2,0.674830289223435
17.8.1,8.9.1,0.67496579156968906
3.8.2,12.c.1,-0.675118445289871
8.9.1,6.4.1,0.675586059506473
1.5.4,1.5.3,-0.67610555201368
11.b.1,1.5.4,-0.67610555201368
11.b.1,11.b.2,-0.67610555201368
11.b.2,1.5.3,-0.67610555201368
13.1.2,1.5.4,-0.67610555201368
13.1.2,11.b.2,-0.67610555201368
13.1.3,1.5.3,-0.67610555201368
13.1.3,11.b.1,-0.67610555201368
13.1.3,13.1.2,-0.67610555201368
13.1.2,6.6.1,0.676372332018681
6.6.1,1.5.3,0.676372332018681
6.6.1,11.b.1,0.676372332018681
17.9.1,8.9.1,0.676401298579785
4.5.1,8.9.1,0.676458426903083
12.4.2,17.17.1,-0.67703432694538
8.9.1,9.5.1,-0.677852084433508
8.9.1,6.6.1,0.679643298501161
15.8.1,12.c.1,0.680520922135179
11.b.1,8.3.1,0.680597513313102
13.1.2,8.3.1,0.680597513313102
8.3.1,1.5.3,0.680597513313102
9.5.2,8.2.1,0.681043987193317
8.9.1,9.1.2,0.681681591686608
14.1.1,2.5.1,-0.6822394293704
3.8.2,2.5.2,-0.682333328626555
17.17.1,12.b.1,0.6829105254259
1.5.4,10.c.1,-0.683208365749898
11.b.2,10.c.1,-0.683208365749898
13.1.3,10.c.1,-0.683208365749898
12.4.2,2.5.2,-0.685335343925468
3.8.2,2.5.1,0.688905789912579
8.9.1,8.1.1,-0.695852627372848
15.8.1,2.1.1,-0.696139014043611
7.3.1,8.1.1,0.696686712032995
11.6.2,14.1.1,-0.697507900832157
1.5.3,2.5.2,0.697851865423381
11.b.1,2.5.2,0.697851865423381
13.1.2,2.5.2,0.697851865423381
12.c.1,15.6.1,-0.697979367510471
14.1.1,8.2.1,-0.70035253901245
1.5.3,15.6.1,-0.701615897206368
11.b.1,15.6.1,-0.701615897206368
13.1.2,15.6.1,-0.701615897206368
14.1.1,12.b.1,0.702155456513781
8.9.1,9.5.2,-0.702253758404525
8.9.1,7.2.1,0.702664895626333
12.c.1,16.2.2,-0.703766799972511
7.a.1,17.13.1,0.703786272690269
11.5.1,7.2.1,0.704895742369153
13.1.1,7.2.1,0.704895742369153
7.2.1,1.5.1,0.704895742369153
12.c.1,3.3.5,-0.705643164843913
6.6.1,8.2.1,-0.705878215115632
8.9.1,1.3.1,0.706783054564773
3.8.2,2.1.1,0.706852835340057
8.9.1,2.2.1,0.709361510147487
12.4.2,3.3.3,0.709524978211467
8.9.1,7.a.1,0.709705415314664
8.9.1,15.2.1,-0.709723960663972
4.5.1,12.c.1,0.710776356810467
15.8.1,8.2.1,-0.710920483739396
2.a.1,17.13.1,0.712601229074752
2.a.1,8.2.1,-0.712799714780473
12.c.1,2.1.1,-0.712938806067819
3.b.1,8.2.1,0.714102319509668
7.2.1,17.13.1,0.715176710744015
8.9.1,15.5.1,0.715233958614551
12.4.2,1.1.1,0.715760372169344
8.9.1,9.4.1,-0.715952068336083
2.a.1,2.5.1,-0.716517579028024
8.9.1,4.3.1,-0.717158724418028
17.8.1,8.2.1,-0.718308424533003
12.c.1,9.4.1,-0.718512418410375
12.4.2,12.a.1,0.718881180540745
12.4.2,7.b.1,0.718881180540745
8.9.1,16.3.2,0.71919495222807
6.5.1,8.9.1,0.719194952228071
8.9.1,1.2.1,0.719194952228072
8.9.1,3.4.1,0.719194952228079
8.9.1,3.4.2,-0.719194952228079
8.9.1,3.8.1,0.719194952228079
8.9.1,3.6.1,-0.719194952228082
3.d.2,8.9.1,-0.719194952228083
12.c.1,9.5.2,-0.719546471123524
12.b.1,15.2.1,-0.720313138855865
8.9.1,2.2.2,-0.721074044698259
8.9.1,3.2.2,-0.721334573097707
15.8.1,10.5.1,-0.72204588160888
12.c.1,12.a.1,-0.722653623720769
12.c.1,7.b.1,-0.722653623720769
17.17.1,2.1.2,-0.722803137645075
14.1.1,2.1.1,-0.723605181866487
8.9.1,8.3.1,0.724055357948302
3.8.2,12.a.1,0.725029914683143
3.8.2,7.b.1,0.725029914683143
8.9.1,3.2.1,-0.725238365004852
11.6.2,7.a.1,-0.725394522594522
1.5.3,9.1.2,0.725965626011565
11.b.1,9.1.2,0.725965626011565
13.1.2,9.1.2,0.725965626011565
1.a.2,12.c.1,0.7279239012611
8.9.1,3.3.2,0.728028855605289
12.c.1,2.2.1,0.729184730525285
6.2.1,8.9.1,-0.729652636452654
11.6.2,2.1.1,0.730824251846444
7.2.1,2.5.1,-0.73145433102859
7.1.2,8.9.1,-0.73520128846137
13.1.2,17.8.1,0.735554756254645
17.8.1,1.5.3,0.735554756254645
17.8.1,11.b.1,0.735554756254645
12.c.1,15.2.1,-0.73563764530637
8.9.1,17.1.1,-0.735689166674764
10.5.1,14.1.1,-0.735938780299321
8.9.1,15.6.1,-0.736284895746729
12.c.1,8.3.1,0.736382558432912
11.5.1,7.a.1,0.736451328523664
13.1.1,7.a.1,0.736451328523664
7.a.1,1.5.1,0.736451328523664
14.1.1,17.13.1,0.73672199320683
17.13.1,2.5.2,0.736945193248532
11.6.2,2.5.2,-0.738233956239033
15.8.1,3.3.5,-0.738587855833166
8.9.1,1.1.1,-0.738836497068599
10.4.1,8.9.1,0.739172142822823
7.2.1,10.5.1,-0.739323578480864
17.8.1,12.c.1,0.739436136427192
12.4.2,2.5.1,0.740130792398312
11.6.2,16.2.2,0.740933055797088
3.8.2,1.1.1,0.741315163244987
11.b.1,2.2.1,0.741346803211399
13.1.2,2.2.1,0.741346803211399
2.2.1,1.5.3,0.741346803211399
8.9.1,6.4.2,-0.742389547227824
1.1.1,12.c.1,-0.742566147274658
11.6.2,3.3.3,0.743765324230373
12.4.2,10.5.1,0.744333938178305
8.9.1,2.1.1,-0.74461718809291
12.c.1,3.3.2,0.744828503942194
10.4.1,12.c.1,0.745516949402884
7.3.1,3.8.2,0.746309694794903
7.1.1,12.4.2,0.746815344289381
3.8.2,3.3.3,0.747398399101943
12.c.1,17.1.1,-0.748169746573149
8.9.1,1.4.1,-0.750113351800193
8.1.1,2.1.1,0.750377452350468
12.c.1,1.4.1,-0.750583324185409
12.4.2,17.13.1,-0.751253195131973
16.2.2,8.2.1,0.751510856965547
13.1.2,3.b.1,-0.751958325103036
3.b.1,1.5.3,-0.751958325103036
3.b.1,11.b.1,-0.751958325103036
8.9.1,3.3.5,-0.752744853794646
3.8.2,17.13.1,-0.753244487180301
2.5.1,15.2.1,0.75338022825685
12.c.1,15.5.1,0.75364179789403
12.b.1,10.c.1,0.755110578822744
7.1.2,12.c.1,-0.755407965094006
10.5.1,15.2.1,0.756334366728746
11.6.2,10.c.1,-0.756356416609786
4.3.1,12.c.1,-0.756736302755246
12.c.1,16.3.2,0.756818724400799
12.c.1,3.6.1,-0.756818724400807
12.c.1,3.4.1,0.756818724400808
12.c.1,3.4.2,-0.756818724400808
