Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Substance use disorders],[Tariff regime (status)],[Severity of price levels],[Sex],[Deviation Level],[Mountain Elevation],[Parliamentary committees],[Mode of transportation],[Fiscal intervention stage],[Type of support],[Type of speed],[Policy instruments],[Policy Domains],[Counterpart],[Type of skill],[Education level],[Type of waste treatment],[Location],[Food Waste Sector],[Name of international agreement],[Reporting Type],[Freq],[Type of product],[Cause of death],[Report Ordinal],[Type of facilities],[Government_Name],[Observation Status],[Type of occupation],[Type of mobile technology],[Name of non-communicable disease],[Grounds of discrimination],[Units],[Level/Status],[Age],[Disability status],[Frequency of Chlorophyll-a concentration],[Activity],[Nature],[Sampling Stations],[Cities],[Level of requirement],[Quantile],[IHR Capacity],[Hazard type],[Migratory status],[Name of international institution]
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2012","9.5000","2012","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2013","7.3000","2013","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2014","6.2000","2014","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2015","5.8000","2015","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2016","5.2000","2016","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2017","4.5000","2017","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2018","3.6000","2018","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2019","2.7000","2019","","","","","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","Based on data from SUSENAS. Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.4","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.2","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.3","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.9","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.5","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","9.5","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.0","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","8.2","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2012","7.8","2012","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","E","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","7.2","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","7.0","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","6.6","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","7.0","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","6.9","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","8.2","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","7.6","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","6.7","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2013","7.4","2013","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","5.8","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.0","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.1","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.5","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.0","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","BOTHSEX","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","5.6","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.2","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","6.4","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2014","7.1","2014","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","MALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2015","5.1","2015","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","15-24","","","","M","","","","","","","",""
"1","1.1","1.1.1","SI_POV_EMP1","Employed population below international poverty line, by sex and age (%)","360","Indonesia","2015","6.0","2015","","","","","ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","","","","","","FEMALE","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","PERCENT","","25+","","","","M","","","","","","","",""
